Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
032019Abl_EU3,1,TE,I,7366,295.17,239.57,6.344,3088.1,2.27E+07,39.865,2.94E+05,180.74,1.33E+06,1157.7,8.53E+06,352.67,2.60E+06
032019Abl_EU3,2,TE,I,10344,198.68,283.01,6.332,3339.9,3.45E+07,41.531,4.30E+05,236.6,2.45E+06,1138.9,1.18E+07,220.18,2.28E+06
032019Abl_EU3,3,TE,I,6699,342.82,273.24,9.3233,2838,1.90E+07,43.987,2.95E+05,293.16,1.96E+06,1157.1,7.75E+06,467.36,3.13E+06
032019Abl_EU3,4,TE,I,14143,232.78,208.44,11.257,2958.5,4.18E+07,38.529,5.45E+05,246.08,3.48E+06,1178.5,1.67E+07,218.94,3.10E+06
032019Abl_EU3,5,TE,I,8847,276.45,266.97,10.911,2755.9,2.44E+07,37.936,3.36E+05,249.99,2.21E+06,1216.4,1.08E+07,252.48,2.23E+06
032019Abl_EU3,6,TE,I,8980,261.59,307.27,11.746,3174.8,2.85E+07,41.223,3.70E+05,250.94,2.25E+06,1169.6,1.05E+07,719.44,6.46E+06
032019Abl_EU3,7,TE,I,9447,306.02,314.64,11.185,3191.6,3.02E+07,40.019,3.78E+05,198.59,1.88E+06,1150.1,1.09E+07,520.44,4.92E+06
032019Abl_EU3,8,TE,I,8920,394.16,210.17,11.799,2910.3,2.60E+07,42.84,3.82E+05,232.32,2.07E+06,1160.1,1.03E+07,264.48,2.36E+06
032019Abl_EU3,9,TE,I,7120,347.82,220.65,11.359,2486.6,1.77E+07,41.581,2.96E+05,226.92,1.62E+06,1176.6,8.38E+06,338.37,2.41E+06
032019Abl_EU3,11,TE,I,5917,347.4,310.83,12.45,3008.8,1.78E+07,46.103,2.73E+05,239.99,1.42E+06,1263.1,7.47E+06,413.66,2.45E+06
032019Abl_EU3,12,TE,I,7394,226.7,350.02,12.799,3139.8,2.32E+07,41.623,3.08E+05,253.88,1.88E+06,1101.5,8.14E+06,240.46,1.78E+06
032019Abl_EU3,13,TE,I,5828,376.92,250.53,13.998,2733.1,1.59E+07,41.811,2.44E+05,281.21,1.64E+06,1215,7.08E+06,251.07,1.46E+06
032019Abl_EU3,14,TE,I,6896,351.21,170.26,15.743,2753.5,1.90E+07,41.973,2.89E+05,269.14,1.86E+06,1137.9,7.85E+06,339.46,2.34E+06
032019Abl_EU3,15,TE,I,17164,135.86,247.95,17.899,2660.1,4.57E+07,48.551,8.33E+05,259.36,4.45E+06,1205.7,2.07E+07,168.67,2.90E+06
032019Abl_EU3,16,TE,I,10297,204.05,376.45,18.167,3173.3,3.27E+07,38.529,3.97E+05,220.25,2.27E+06,1118.8,1.15E+07,174.24,1.79E+06
032019Abl_EU3,17,TE,I,10363,287.12,183.3,19.103,2861.7,2.97E+07,36.94,3.83E+05,245.93,2.55E+06,1217.4,1.26E+07,231.9,2.40E+06
032019Abl_EU3,18,TE,I,5343,428.65,222.13,18.263,2510.4,1.34E+07,43.735,2.34E+05,281.14,1.50E+06,1087.5,5.81E+06,333.22,1.78E+06
032019Abl_EU3,19,TE,I,10582,392.97,297.55,18.706,2616.1,2.77E+07,40.821,4.32E+05,222.84,2.36E+06,1187.8,1.26E+07,251.58,2.66E+06
032019Abl_EU3,20,TE,I,12174,146.75,333.84,19.007,2963.8,3.61E+07,36.449,4.44E+05,243.81,2.97E+06,1230.8,1.50E+07,182.79,2.23E+06
