Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, ,
112018Abl_EA8,27,TE,I,16330,434.04,362.88,45.787,1460.3,2.38E+07,26.116,4.26E+05,44.359,7.24E+05,1325.7,2.16E+07,160.35,2.62E+06,,
112018Abl_EA8,30,ICM,I,6449,113.87,319.44,48.506,1575,1.02E+07,24.391,1.57E+05,41.059,2.65E+05,1279.9,8.25E+06,1037.6,6.69E+06,,
112018Abl_EA8,30.2,ICM,I,6449,109,312,56,1083.997,,27.131,,38.465,,1126.359,,704.334,,,
112018Abl_EA8,31,TE,I,14785,447.71,210.45,51.116,1811.9,2.68E+07,26.842,3.97E+05,45.961,6.80E+05,1207.2,1.78E+07,162.73,2.41E+06,,
112018Abl_EA8,32,TE,I,13454,53.287,253.65,49.841,1629.6,2.19E+07,25.907,3.49E+05,25.637,3.45E+05,1272.8,1.71E+07,91.994,1.24E+06,,
112018Abl_EA8,33,ICM,I,6284,111.5,194.08,46.986,1527,9.60E+06,25.313,1.59E+05,35.222,2.21E+05,1286.7,8.09E+06,426.14,2.68E+06,,
112018Abl_EA8,34,ICM,I,9924,82.198,224.98,49.76,1248.2,1.24E+07,81.395,8.08E+05,25.965,2.58E+05,1102.9,1.09E+07,146.76,1.46E+06,,
112018Abl_EA8,34.2,ICM,I,9924,82,273,44,1275.581,,63.874,,31.451,,1237.561,,167.555,,,
112018Abl_EA8,34.3,ICM,I,9924,86,265,53,951.259,,57.514,,28.394,,1166.815,,121.814,,,
112018Abl_EA8,35,TE,I,6768,215.09,419.06,50.14,1615.5,1.09E+07,24.702,1.67E+05,27.245,1.84E+05,1380,9.34E+06,162.5,1.10E+06,,
112018Abl_EA8,37,ICM,I,5661,122.5,290.86,49.765,1411.8,7.99E+06,24.321,1.38E+05,40.313,2.28E+05,1180.6,6.68E+06,909.08,5.15E+06,,
112018Abl_EA8,38,ICM,I,11752,130.62,359.07,56.059,1449.3,1.70E+07,21.522,2.53E+05,28.572,3.36E+05,1179.1,1.39E+07,593.98,6.98E+06,,
112018Abl_EA8,39,TE,I,20224,330.62,103.7,59.758,1427,2.89E+07,22.142,4.48E+05,32.472,6.57E+05,1169.9,2.37E+07,127.91,2.59E+06,,
112018Abl_EA8,41,TE,I,9537,87.983,176,54.92,1309.3,1.25E+07,23.411,2.23E+05,23.623,2.25E+05,1094.3,1.04E+07,102.38,9.76E+05,,
112018Abl_EA8,42,TE,I,7472,233.89,87.57,56.454,1090.5,8.15E+06,20.444,1.53E+05,27.153,2.03E+05,1189.8,8.89E+06,249.66,1.87E+06,,
112018Abl_EA8,43,TE,I,13333,262.13,425.71,58.493,1105.1,1.47E+07,20.381,2.72E+05,22.209,2.96E+05,1205.9,1.61E+07,88.911,1.19E+06,,
112018Abl_EA8,44,ICM,I,3199,86.982,315.35,54.757,1588.5,5.08E+06,76.812,2.46E+05,26.638,85215,1153.2,3.69E+06,138.97,4.45E+05,,
112018Abl_EA8,45,ICM,I,8326,181.07,393.92,57.891,1406.7,1.17E+07,21.027,1.75E+05,31.523,2.62E+05,1079,8.98E+06,606.44,5.05E+06,,
112018Abl_EA8,46,ICM,I,6522,131.64,156.1,59.114,924.24,6.03E+06,19.616,1.28E+05,25.612,1.67E+05,1197.5,7.81E+06,241.02,1.57E+06,,
112018Abl_EA8,47,ICM,I,6560,98.679,204.05,57.57,1069.6,7.02E+06,50.986,3.34E+05,28.8,1.89E+05,1089.5,7.15E+06,146.33,9.60E+05,,
112018Abl_EA8,48,ICM,I,14829,125.23,257.09,60.312,816.08,1.21E+07,20.834,3.09E+05,30.493,4.52E+05,1245.2,1.85E+07,615.97,9.13E+06,,
112018Abl_EA8,49,TE,I,14913,323.71,428.36,62.701,909.28,1.36E+07,18.438,2.75E+05,26.134,3.90E+05,1217.4,1.82E+07,302.34,4.51E+06,,
112018Abl_EA8,50,TE,I,7732,61.194,309.48,62.559,1280.1,9.90E+06,32.398,2.51E+05,21.483,1.66E+05,1224.2,9.47E+06,87.158,6.74E+05,,
112018Abl_EA8,51,ICM,I,12129,65.709,271.81,60.03,1062.7,1.29E+07,65.576,7.95E+05,26.283,3.19E+05,1247.4,1.51E+07,113.2,1.37E+06,,
