Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
031919Abl_ET3,54,TE,I,5296,85.86,204.62,47.723,967.89,5.13E+06,20.951,1.11E+05,44.539,2.36E+05,1160.8,6.15E+06,86.185,4.56E+05
031919Abl_ET3,56,TE,I,9751,217.38,388.27,48.636,1146,1.12E+07,18.302,1.78E+05,31.41,3.06E+05,1023.7,9.98E+06,264.61,2.58E+06
031919Abl_ET3,57,TE,I,16679,385.39,188.32,50.26,706.3,1.18E+07,18.693,3.12E+05,26.724,4.46E+05,1085,1.81E+07,81.349,1.36E+06
031919Abl_ET3,58,TE,I,6769,79.713,238.05,49.732,1285.6,8.70E+06,27.867,1.89E+05,92.201,6.24E+05,978.72,6.62E+06,85.619,5.80E+05
031919Abl_ET3,60,TE,I,20182,295.14,117.53,58.227,664.39,1.34E+07,16.554,3.34E+05,25.273,5.10E+05,1144,2.31E+07,168.04,3.39E+06
031919Abl_ET3,62,ICM,I,9724,116.44,263.01,55.49,941.24,9.15E+06,119.98,1.17E+06,38.278,3.72E+05,1145.9,1.11E+07,314.1,3.05E+06
031919Abl_ET3,63,TE,I,8052,369.65,346.3,53.046,823.3,6.63E+06,18.019,1.45E+05,45.099,3.63E+05,1039.1,8.37E+06,216.51,1.74E+06
031919Abl_ET3,64,ICM,I,3848,102.78,194.26,53.386,825.96,3.18E+06,21.764,83748,268.86,1.03E+06,956.59,3.68E+06,70.609,2.72E+05
031919Abl_ET3,65,TE,I,12975,263.44,395.75,56.448,577.64,7.49E+06,16.266,2.11E+05,23.354,3.03E+05,1100.3,1.43E+07,119.14,1.55E+06
031919Abl_ET3,67,TE,I,10088,154.39,365.16,61.987,752.54,7.59E+06,16.817,1.70E+05,24.92,2.51E+05,1066.2,1.08E+07,227.32,2.29E+06
031919Abl_ET3,68,TE,I,19000,387.23,228.33,65.097,335.55,6.38E+06,15.56,2.96E+05,19.318,3.67E+05,1044.2,1.98E+07,52.409,9.96E+05
031919Abl_ET3,69,ICM,I,11413,153.94,298.61,62.107,866.62,9.89E+06,113.43,1.29E+06,54.224,6.19E+05,1128.1,1.29E+07,299.28,3.42E+06
031919Abl_ET3,70,ICM,I,10501,103.67,301.57,61.283,880.03,9.24E+06,25.14,2.64E+05,165.99,1.74E+06,973.18,1.02E+07,71.446,7.50E+05
031919Abl_ET3,72,TE,I,17346,342.35,164.85,64.082,398.24,6.91E+06,15.351,2.66E+05,22.141,3.84E+05,1028.7,1.78E+07,61.208,1.06E+06
031919Abl_ET3,74,ICM,I,3620,133.26,324.34,61.618,675.99,2.45E+06,18.619,67401,164.41,5.95E+05,1119.7,4.05E+06,70.343,2.55E+05
031919Abl_ET3,75,TE,I,14459,204.39,102.24,62.499,597.31,8.64E+06,18.497,2.67E+05,37.664,5.45E+05,1088.8,1.57E+07,196.57,2.84E+06
031919Abl_ET3,76,TE,I,17699,390.01,183.05,62.841,588.48,1.04E+07,16.888,2.99E+05,47.322,8.38E+05,1018.2,1.80E+07,95.178,1.68E+06
031919Abl_ET3,77,ICM,I,14357,140.19,224.35,66.328,480.77,6.90E+06,69.745,1.00E+06,62.076,8.91E+05,1136.2,1.63E+07,238.32,3.42E+06
031919Abl_ET3,78,TE,I,10674,114,181.3,67.204,617,6.59E+06,17.424,1.86E+05,54.408,5.81E+05,860.97,9.19E+06,76.192,8.13E+05
031919Abl_ET3,79,TE,I,18488,366.93,330.87,65.196,428.48,7.92E+06,15.971,2.95E+05,24.453,4.52E+05,1011.4,1.87E+07,101.48,1.88E+06
031919Abl_ET3,81,TE,I,9464,153.43,161.5,69.758,536.93,5.08E+06,16.111,1.52E+05,21,1.99E+05,1193.1,1.13E+07,65.299,6.18E+05
031919Abl_ET3,82,TE,I,21285,322.14,365.55,70.364,363.64,7.74E+06,14.776,3.15E+05,19.961,4.25E+05,1121.4,2.39E+07,93.663,1.99E+06
031919Abl_ET3,83,TE,I,26564,386.56,285.77,69.328,249.77,6.63E+06,14.888,3.95E+05,19.399,5.15E+05,962.02,2.56E+07,47.851,1.27E+06
031919Abl_ET3,84,TE,I,12959,132.04,331.04,71.543,413.08,5.35E+06,17.729,2.30E+05,45.458,5.89E+05,987.07,1.28E+07,146.93,1.90E+06
031919Abl_ET3,85,ICM,I,13311,180.38,209.35,71.996,480.31,6.39E+06,68.331,9.10E+05,26.19,3.49E+05,1233.3,1.64E+07,217.02,2.89E+06
031919Abl_ET3,86,TE,I,17256,203.92,135.19,74.387,554.77,9.57E+06,17.656,3.05E+05,82.829,1.43E+06,1166.4,2.01E+07,190.74,3.29E+06
031919Abl_ET3,87,ICM,I,7141,152.74,262.55,70.402,491.45,3.51E+06,55.487,3.96E+05,38.324,2.74E+05,1121.7,8.01E+06,192.99,1.38E+06
031919Abl_ET3,88,TE,I,6490,98.312,222.41,73.107,317.7,2.06E+06,22.559,1.46E+05,25.033,1.62E+05,957.78,6.22E+06,50.993,3.31E+05
031919Abl_ET3,89,TE,I,10253,316.07,135.06,75.597,373.02,3.82E+06,15.088,1.55E+05,17.919,1.84E+05,880.16,9.02E+06,61.211,6.28E+05
031919Abl_ET3,90,TE,I,20545,373.62,187.06,79.102,301.71,6.20E+06,14.888,3.06E+05,19.187,3.94E+05,894.97,1.84E+07,39.449,8.10E+05
031919Abl_ET3,92,TE,I,14002,206.06,355.25,77.976,332.45,4.65E+06,13.924,1.95E+05,16.912,2.37E+05,1229.1,1.72E+07,57.115,8.00E+05
031919Abl_ET3,93,TE,I,15538,268.56,372.05,77.947,271.76,4.22E+06,14.019,2.18E+05,18.28,2.84E+05,1152,1.79E+07,78.704,1.22E+06
031919Abl_ET3,96,TE,I,24318,340.57,272.29,82.764,237.04,5.76E+06,13.939,3.39E+05,16.538,4.02E+05,1192.6,2.90E+07,34.489,8.39E+05
031919Abl_ET3,97,TE,I,16873,314.64,176.08,84.638,203.28,3.43E+06,14.211,2.40E+05,16.436,2.77E+05,1263.4,2.13E+07,32.874,5.55E+05
031919Abl_ET3,98,TE,I,19558,341.17,225.02,84.225,215.67,4.22E+06,13.704,2.68E+05,16.669,3.26E+05,1366.5,2.67E+07,44.332,8.67E+05
031919Abl_ET3,99,TE,I,24293,178.55,301.74,85.124,305.15,7.41E+06,16.585,4.03E+05,26.986,6.56E+05,1197.2,2.91E+07,42.298,1.03E+06
031919Abl_ET3,99.2,TE,I,24293,176,277,80,297.696,,19.099,,88.124,,1130.762,,54.707,
031919Abl_ET3,100,TE,I,16351,259.78,163.94,85.068,288.81,4.72E+06,14.457,2.36E+05,17.131,2.80E+05,1305.4,2.13E+07,39.881,6.52E+05
031919Abl_ET3,102,TE,I,7931,121.53,277.09,84.072,188.44,1.49E+06,16.922,1.34E+05,21.915,1.74E+05,1135.3,9.00E+06,35.381,2.81E+05
031919Abl_ET3,103,TE,I,15932,195.78,192.68,86.127,359.58,5.73E+06,22.019,3.51E+05,18.009,2.87E+05,1320.6,2.10E+07,61.418,9.79E+05
031919Abl_ET3,104,TE,I,21786,291.32,228.14,86.353,336.31,7.33E+06,14.295,3.11E+05,17.767,3.87E+05,1337.4,2.91E+07,38.643,8.42E+05
031919Abl_ET3,105,TE,I,16856,243.32,211.65,86.786,405.14,6.83E+06,14.112,2.38E+05,19.705,3.32E+05,1237.6,2.09E+07,76.225,1.28E+06
031919Abl_ET3,106,TE,I,20781,237.43,316.27,86.977,335.24,6.97E+06,13.835,2.88E+05,15.945,3.31E+05,1255.2,2.61E+07,51.444,1.07E+06
031919Abl_ET3,107,TE,I,10101,300.47,324.31,87.235,282.28,2.85E+06,14.078,1.42E+05,19.237,1.94E+05,1133.4,1.14E+07,103.58,1.05E+06
031919Abl_ET3,108,TE,I,15014,231.58,263.93,87.776,397.63,5.97E+06,14.024,2.11E+05,16.51,2.48E+05,1279.1,1.92E+07,48.012,7.21E+05
031919Abl_ET3,111,TE,I,8354,291.97,269.79,88.962,295.45,2.47E+06,13.967,1.17E+05,24.84,2.08E+05,1258,1.05E+07,99.943,8.35E+05
