Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
032019Abl_EU9,1,TE,I,14215,229.93,218.36,4.3496,1945.3,2.77E+07,38.222,5.43E+05,156.67,2.23E+06,1230.3,1.75E+07,154.74,2.20E+06
032019Abl_EU9,2,TE,I,13240,245.82,311.54,4.9191,2366.5,3.13E+07,38.284,5.07E+05,185.75,2.46E+06,1228.1,1.63E+07,131.36,1.74E+06
032019Abl_EU9,3,TE,I,10453,290.16,269.7,5.1238,2341,2.45E+07,37.958,3.97E+05,137.64,1.44E+06,1242.3,1.30E+07,127.63,1.33E+06
032019Abl_EU9,4,TE,I,11423,305.24,206.89,7.5625,1900.5,2.17E+07,31.421,3.59E+05,153.61,1.75E+06,1217.4,1.39E+07,296.09,3.38E+06
032019Abl_EU9,5,TE,I,20069,149.17,292.74,8.3154,1524.1,3.06E+07,28.243,5.67E+05,142.08,2.85E+06,1224.9,2.46E+07,102.04,2.05E+06
032019Abl_EU9,5.2,TE,I,20069,142,296,10,2470.58,,39.738,,185.94,,1221.375,,155.267,
032019Abl_EU9,6,TE,I,11139,348.25,248.76,9.1176,2016.4,2.25E+07,29.522,3.29E+05,151.95,1.69E+06,1248.6,1.39E+07,286.51,3.19E+06
032019Abl_EU9,8,TE,I,19132,336.11,331.37,13.935,2326.5,4.45E+07,31,5.93E+05,101.27,1.94E+06,1219.6,2.33E+07,133.52,2.55E+06
032019Abl_EU9,9,TE,I,11152,153.93,346.25,15.053,2363.7,2.64E+07,31.909,3.56E+05,180.69,2.02E+06,1150.9,1.28E+07,127,1.42E+06
032019Abl_EU9,10,TE,I,18632,131.93,214.97,15.983,1539.8,2.87E+07,29.706,5.53E+05,163.34,3.04E+06,1138.3,2.12E+07,137,2.55E+06
032019Abl_EU9,11,TE,I,10766,199.01,147.58,17.829,1998.1,2.15E+07,32.249,3.47E+05,128.23,1.38E+06,1228.7,1.32E+07,121.25,1.31E+06
032019Abl_EU9,12,TE,I,23806,185.6,399.23,23.556,2446.2,5.82E+07,30.716,7.31E+05,126.21,3.00E+06,1244.6,2.96E+07,101.61,2.42E+06
032019Abl_EU9,12.2,TE,I,23806,172,407,27,2903.115,,30.333,,121.889,,1270.682,,114.185,
