Embryo_ID,Cellcount,Cell_ID,Identity,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum,
012216_mzFGF4_G4,86,41,TE,15231,165.41,173.22,24.121,1135.2,1.73E+07,68.921,1.05E+06,38.99,5.94E+05,772.27,1.18E+07,59.354,9.04E+05,
012216_mzFGF4_G4,86,42,TE,21392,282.58,168.71,25.488,581.47,1.24E+07,36.294,7.76E+05,31.221,6.68E+05,678.48,1.45E+07,45.011,9.63E+05,
012216_mzFGF4_G4,86,43,TE,10750,344.59,221.17,23.612,563.4,6.06E+06,47.687,5.13E+05,32.253,3.47E+05,756.53,8.13E+06,47.991,5.16E+05,
012216_mzFGF4_G4,86,44,TE,12593,264.3,322.51,23.016,641.68,8.08E+06,587.05,7.39E+06,83.793,1.06E+06,778.51,9.80E+06,174.63,2.20E+06,
012216_mzFGF4_G4,86,45,TE,9394,231.46,157.95,24.039,1030.8,9.68E+06,27.386,2.57E+05,25.804,2.42E+05,756.46,7.11E+06,38.486,3.62E+05,
012216_mzFGF4_G4,86,47,EPI,2338,232.53,252.83,19.942,1040.3,2.43E+06,45.069,1.05E+05,469.16,1.10E+06,692.83,1.62E+06,100.51,2.35E+05,
012216_mzFGF4_G4,86,48,EPI,6655,172.98,349.89,24.486,1360.6,9.05E+06,27.93,1.86E+05,285.57,1.90E+06,767.03,5.10E+06,70.829,4.71E+05,
012216_mzFGF4_G4,86,50,EPI,4738,134.61,230.29,22.814,1163.1,5.51E+06,39.244,1.86E+05,426.94,2.02E+06,706.68,3.35E+06,83.266,3.95E+05,
012216_mzFGF4_G4,86,51,EPI,4110,186.32,249.53,21.763,1081.5,4.45E+06,47.258,1.94E+05,837.16,3.44E+06,671.56,2.76E+06,177.27,7.29E+05,
012216_mzFGF4_G4,86,52,EPI,4749,246.57,294.02,22.487,815.64,3.87E+06,38.532,1.83E+05,569.3,2.70E+06,790.66,3.75E+06,90.005,4.27E+05,
012216_mzFGF4_G4,86,53,EPI,8670,155.87,313.63,24.609,1119.7,9.71E+06,27.984,2.43E+05,589.19,5.11E+06,767.51,6.65E+06,105,9.10E+05,
012216_mzFGF4_G4,86,56,EPI,6224,115.29,292.38,25.878,889.91,5.54E+06,35.232,2.19E+05,435.58,2.71E+06,775.74,4.83E+06,72.782,4.53E+05,
