Embryo_ID,Cellcount,Cell_ID,Identity,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
090216_mzFGF4_V3,48,1,TE,15569,198.2,179.11,9.3871,1678.7,2.61E+07,1323.7,2.06E+07,356.31,5.55E+06,1757,2.74E+07,979.33,1.52E+07,
090216_mzFGF4_V3,48,2,TE,9413,248.53,202.27,7.2455,1712.6,1.61E+07,1717.4,1.62E+07,436.57,4.11E+06,1676.2,1.58E+07,1524.8,1.44E+07,
090216_mzFGF4_V3,48,3,TE,10230,263.87,254.53,9.3935,2229.6,2.28E+07,1619.4,1.66E+07,170.54,1.74E+06,1812.5,1.85E+07,1228.3,1.26E+07,
090216_mzFGF4_V3,48,4,TE,9260,199.3,263,8.6782,1866.3,1.73E+07,1627,1.51E+07,639.01,5.92E+06,1798.5,1.67E+07,1643.1,1.52E+07,
090216_mzFGF4_V3,48,5,TE,11546,293.48,189.25,14.682,2082.4,2.40E+07,2022.8,2.34E+07,249.88,2.89E+06,1811.9,2.09E+07,1393.3,1.61E+07,
090216_mzFGF4_V3,48,6,EPI,6733,194.86,210.39,13.803,1707.8,1.15E+07,61.225,4.12E+05,2816.9,1.90E+07,1739.3,1.17E+07,577.53,3.89E+06,
090216_mzFGF4_V3,48,7,TE,9716,160.43,252.71,14.863,2347.4,2.28E+07,1998.3,1.94E+07,267.22,2.60E+06,1742.6,1.69E+07,1436.5,1.40E+07,
090216_mzFGF4_V3,48,8,TE,10457,303.84,231.3,15.063,1675.5,1.75E+07,1429.2,1.49E+07,133.71,1.40E+06,1981.8,2.07E+07,1152.8,1.21E+07,
090216_mzFGF4_V3,48,9,TE,9186,243.4,299.07,16.271,2460.4,2.26E+07,1001.1,9.20E+06,115.89,1.06E+06,1830.7,1.68E+07,656.71,6.03E+06,
090216_mzFGF4_V3,48,10,EPI,3546,218.03,257.58,17.016,1846.4,6.55E+06,91.034,3.23E+05,1969.9,6.99E+06,1810,6.42E+06,377.24,1.34E+06,
090216_mzFGF4_V3,48,11,EPI,5132,261.02,220.65,18.49,1879.2,9.64E+06,106.43,5.46E+05,2107.2,1.08E+07,1872.4,9.61E+06,445.52,2.29E+06,
090216_mzFGF4_V3,48,12,EPI,5819,213.03,184.81,18.807,1460.7,8.50E+06,83.602,4.86E+05,3204.9,1.86E+07,1857.6,1.08E+07,330.61,1.92E+06,
090216_mzFGF4_V3,48,13,TE,8227,266.94,159.01,21.155,1240.8,1.02E+07,1265.8,1.04E+07,175.19,1.44E+06,2004.2,1.65E+07,867.58,7.14E+06,
090216_mzFGF4_V3,48,14,EPI,4482,185.75,245.25,21.359,1633.4,7.32E+06,83.528,3.74E+05,3087.4,1.38E+07,2009.3,9.01E+06,421.99,1.89E+06,
090216_mzFGF4_V3,48,15,DP,3494,217.51,287.88,22.123,1721.6,6.02E+06,77.447,2.71E+05,1821.3,6.36E+06,1817.9,6.35E+06,945.75,3.30E+06,
090216_mzFGF4_V3,48,16,TE,10033,273.62,287.94,23.948,1343.6,1.35E+07,996.67,1.00E+07,309.14,3.10E+06,1934.9,1.94E+07,1131.8,1.14E+07,
090216_mzFGF4_V3,48,18,DP,5506,236.67,166.44,25.191,1120.1,6.17E+06,108.61,5.98E+05,1006.1,5.54E+06,1674.6,9.22E+06,1076.5,5.93E+06,
