Embryo_ID,Cellcount,Cell_ID,Identity,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum
091415_FGF4ko_H8,76,2,TE,5228,285.91,235.77,3.2613,2122.6,1.11E+07,760.31,3.97E+06,354.84,1.86E+06,723.05,3.78E+06,443.01,2.32E+06
091415_FGF4ko_H8,76,3,TE,5421,284.96,291.85,3.2455,1566.4,8.49E+06,669.76,3.63E+06,251.09,1.36E+06,720.35,3.91E+06,348.01,1.89E+06
091415_FGF4ko_H8,76,4,TE,11421,244.07,215.34,6.1636,2354.9,2.69E+07,744.89,8.51E+06,493.39,5.64E+06,693.21,7.92E+06,314.86,3.60E+06
091415_FGF4ko_H8,76,5,TE,6183,225.53,299.62,5.3296,2123,1.31E+07,808.59,5.00E+06,168.1,1.04E+06,642.24,3.97E+06,272.71,1.69E+06
091415_FGF4ko_H8,76,6,TE,6925,203.51,266.32,6.0383,2081.9,1.44E+07,684.88,4.74E+06,411.38,2.85E+06,644.2,4.46E+06,416.27,2.88E+06
091415_FGF4ko_H8,76,7,TE,7148,355.17,278.13,6.4786,1785.1,1.28E+07,509.44,3.64E+06,169.66,1.21E+06,693.09,4.95E+06,312.41,2.23E+06
091415_FGF4ko_H8,76,8,TE,7900,340,219.12,7.1614,1866.9,1.47E+07,553.31,4.37E+06,188.14,1.49E+06,728.25,5.75E+06,278.92,2.20E+06
091415_FGF4ko_H8,76,9,TE,7100,266.8,350.97,6.7138,2023.5,1.44E+07,605.45,4.30E+06,109.01,7.74E+05,668.71,4.75E+06,221.16,1.57E+06
091415_FGF4ko_H8,76,10,TE,14054,329.24,337.99,9.6655,1850.3,2.60E+07,640.12,9.00E+06,239.19,3.36E+06,671.01,9.43E+06,368.48,5.18E+06
091415_FGF4ko_H8,76,11,TE,17591,178.66,216.26,12.936,2383.621,,567.906,,266.657,,746.743,,327.528,
091415_FGF4ko_H8,76,12,TE,13021,186.58,329.07,10.826,1956.6,2.55E+07,541.06,7.05E+06,216.99,2.83E+06,719.02,9.36E+06,225.69,2.94E+06
091415_FGF4ko_H8,76,13,EPI,8073,185.13,285.01,12.472,1699.9,1.37E+07,100.97,8.15E+05,1953.8,1.58E+07,677.37,5.47E+06,157.8,1.27E+06
091415_FGF4ko_H8,76,14,TE,5351,218.41,197.16,14.302,1888.5,1.01E+07,697.76,3.73E+06,298.92,1.60E+06,590.19,3.16E+06,340.67,1.82E+06
091415_FGF4ko_H8,76,15,TE,6441,235.17,367.49,14.285,1945.1,1.25E+07,558.51,3.60E+06,121.01,7.79E+05,737.9,4.75E+06,257.6,1.66E+06
091415_FGF4ko_H8,76,16,TE,5035,303.85,366.33,14.845,2253.2,1.13E+07,577.58,2.91E+06,131.75,6.63E+05,723.97,3.65E+06,272.89,1.37E+06
091415_FGF4ko_H8,76,17,TE,10621,324.57,173.39,17.302,1989.9,2.11E+07,115.36,1.23E+06,87.55,9.30E+05,689.6,7.32E+06,124.8,1.33E+06
091415_FGF4ko_H8,76,18,TE,5470,374.57,212.41,18.612,1874.5,1.03E+07,489.23,2.68E+06,150.36,8.22E+05,677.86,3.71E+06,283.76,1.55E+06
091415_FGF4ko_H8,76,19,EPI,8256,149.51,254.52,19.296,1765,1.46E+07,83.364,6.88E+05,2111.2,1.74E+07,636.25,5.25E+06,195.5,1.61E+06
091415_FGF4ko_H8,76,20,EPI,5316,204.3,258.11,18.444,1474.5,7.84E+06,97.126,5.16E+05,2491.7,1.32E+07,621.43,3.30E+06,142.01,7.55E+05
091415_FGF4ko_H8,76,21,TE,6955,130.29,243.4,21.009,1842.4,1.28E+07,464.21,3.23E+06,291.16,2.03E+06,631.9,4.39E+06,282.25,1.96E+06
091415_FGF4ko_H8,76,22,EPI,9122,211.96,305.29,20.215,1108.3,1.01E+07,80.535,7.35E+05,1561.4,1.42E+07,572.18,5.22E+06,110.15,1.00E+06
091415_FGF4ko_H8,76,23,TE,8044,207.34,373.67,22.31,1418.3,1.14E+07,517.9,4.17E+06,682.21,5.49E+06,751.13,6.04E+06,282.05,2.27E+06
091415_FGF4ko_H8,76,24,EPI,7126,196.54,223.87,20.929,1380.2,9.84E+06,96.856,6.90E+05,2244.6,1.60E+07,673.01,4.80E+06,161.63,1.15E+06
091415_FGF4ko_H8,76,26,EPI,8767,179.25,318.49,23.763,1337.1,1.17E+07,87.937,7.71E+05,1953.4,1.71E+07,684.69,6.00E+06,117.18,1.03E+06
091415_FGF4ko_H8,76,27,TE,5908,278.96,391.81,24.304,1547.5,9.14E+06,335.95,1.98E+06,490.43,2.90E+06,788.75,4.66E+06,189.58,1.12E+06
091415_FGF4ko_H8,76,28,TE,5698,290.66,145.64,26.672,1647.4,9.39E+06,494.63,2.82E+06,344.64,1.96E+06,781.98,4.46E+06,311.69,1.78E+06
091415_FGF4ko_H8,76,29,EPI,6125,164.31,271.21,24.71,1269.8,7.78E+06,66.689,4.08E+05,1892.9,1.16E+07,671.73,4.11E+06,119.02,7.29E+05
091415_FGF4ko_H8,76,30,TE,14763,132.1,317.37,31.179,1456.8,2.15E+07,470.88,6.95E+06,416.52,6.15E+06,648.92,9.58E+06,236.92,3.50E+06
091415_FGF4ko_H8,76,31,TE,16425,334.89,380.71,32.708,1254.6,2.06E+07,381.44,6.27E+06,112.86,1.85E+06,752.65,1.24E+07,179.83,2.95E+06
091415_FGF4ko_H8,76,32,TE,6203,190.47,176.25,28.533,1326.9,8.23E+06,328.54,2.04E+06,297.76,1.85E+06,806.95,5.01E+06,189.85,1.18E+06
091415_FGF4ko_H8,76,33,TE,14833,402.31,300.61,31.034,1286.9,1.91E+07,395.57,5.87E+06,133.61,1.98E+06,705.23,1.05E+07,202.24,3.00E+06
091415_FGF4ko_H8,76,34,EPI,11157,164.32,209.68,28.566,1145.9,1.28E+07,82.601,9.22E+05,1299.3,1.45E+07,667.45,7.45E+06,140.41,1.57E+06
091415_FGF4ko_H8,76,35,TE,14080,237.53,149.9,32.581,1225.8,1.73E+07,394.3,5.55E+06,356.03,5.01E+06,755.6,1.06E+07,176.33,2.48E+06
091415_FGF4ko_H8,76,36,TE,15177,396.1,208.59,32.659,1212.2,1.84E+07,349.97,5.31E+06,183.16,2.78E+06,737.59,1.12E+07,179.67,2.73E+06
091415_FGF4ko_H8,76,37,EPI,10347,137.48,284.76,31.975,1389.7,1.44E+07,69.898,7.23E+05,1520.1,1.57E+07,718.8,7.44E+06,123.59,1.28E+06
091415_FGF4ko_H8,76,38,EPI,6454,203.27,259.15,30.923,765.78,4.94E+06,60.917,3.93E+05,1129.5,7.29E+06,535.95,3.46E+06,151.72,9.79E+05
091415_FGF4ko_H8,76,39,EPI,11695,188.8,340.19,32.211,825.42,9.65E+06,54.634,6.39E+05,1637.3,1.91E+07,651.51,7.62E+06,93.471,1.09E+06
091415_FGF4ko_H8,76,40,EPI,11275,175.38,305.53,33.678,903.26,1.02E+07,55.684,6.28E+05,1530.3,1.73E+07,754.05,8.50E+06,113.09,1.28E+06
