Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,Identity,targeted
070919Abl_FF4,1,M,7974,148.85,262.27,3.9621,23.222,1.85E+05,346.15,2.76E+06,365.21,2.91E+06,TE,F
070919Abl_FF4,2,M,9994,209.22,193.88,6.3834,21.537,2.15E+05,219.8,2.20E+06,302.13,3.02E+06,TE,F
070919Abl_FF4,3,I,12062,325.87,222.29,4.4769,21.501,2.59E+05,310.45,3.74E+06,310.84,3.75E+06,TE,F
070919Abl_FF4,4,M,9637,271.83,255.77,5.6365,21.183,2.04E+05,206.61,1.99E+06,424.02,4.09E+06,TE,F
070919Abl_FF4,5,I,10356,174.39,297.61,6.4175,22.317,2.31E+05,395.78,4.10E+06,379.09,3.93E+06,TE,F
070919Abl_FF4,6,M,13966,160.2,162.46,7.3408,22.734,3.18E+05,300.16,4.19E+06,298.63,4.17E+06,TE,F
070919Abl_FF4,7,I,17250,326.07,165.52,6.6852,20.928,3.61E+05,215.79,3.72E+06,347.6,6.00E+06,TE,F
070919Abl_FF4,8,I,15314,299.12,302.99,7.0721,21.501,3.29E+05,284.58,4.36E+06,338.23,5.18E+06,TE,F
070919Abl_FF4,9,I,18359,385.22,248.32,8.5287,21.163,3.89E+05,174.17,3.20E+06,317.94,5.84E+06,TE,F
070919Abl_FF4,10,M,18211,231.89,326.32,9.2958,20.349,3.71E+05,89.214,1.62E+06,324.47,5.91E+06,TE,F
070919Abl_FF4,11,I,16231,259.47,151.85,9.4014,20.938,3.40E+05,178.27,2.89E+06,334.94,5.44E+06,TE,F
070919Abl_FF4,12,I,12159,82.479,286.57,11.081,22.545,2.74E+05,311.3,3.79E+06,356.63,4.34E+06,TE,F
070919Abl_FF4,13,I,20431,134.35,256.17,11.327,28.923,5.91E+05,242.32,4.95E+06,354.65,7.25E+06,DP,F
070919Abl_FF4,14,M,63021,347.5,330.26,17.658,20.404,1.29E+06,115.44,7.28E+06,347.64,2.19E+07,TE,F
070919Abl_FF4,15,I,15513,96.622,145.01,14.826,22.823,3.54E+05,307.95,4.78E+06,334.15,5.18E+06,TE,F
070919Abl_FF4,16,I,12698,419.26,175.23,15.534,21.593,2.74E+05,276.32,3.51E+06,344.52,4.37E+06,TE,F
070919Abl_FF4,18,I,11661,355.95,112.25,16.793,21.076,2.46E+05,222.72,2.60E+06,348.47,4.06E+06,TE,F
070919Abl_FF4,19,I,13053,170.92,120.73,16.21,22.293,2.91E+05,307.17,4.01E+06,400.62,5.23E+06,TE,F
070919Abl_FF4,20,I,13208,163.71,211.81,16.687,85.314,1.13E+06,173.94,2.30E+06,406.68,5.37E+06,PRE,F
070919Abl_FF4,21,I,21144,170.33,315.57,16.993,24.278,5.13E+05,252.47,5.34E+06,354.09,7.49E+06,EPI,F
070919Abl_FF4,22,I,11436,151.69,363.27,17.442,21.665,2.48E+05,306.32,3.50E+06,369.63,4.23E+06,TE,F
070919Abl_FF4,23,I,10618,272.33,91.058,17.384,21.563,2.29E+05,244.08,2.59E+06,351.74,3.73E+06,TE,F
070919Abl_FF4,25,I,14281,216.97,108.77,20.786,24.145,3.45E+05,205.71,2.94E+06,379.97,5.43E+06,TE,F
070919Abl_FF4,26,I,15894,72.203,322.72,19.217,25.631,4.07E+05,279.07,4.44E+06,352.87,5.61E+06,TE,F
070919Abl_FF4,28,I,17567,82.723,208.37,20.786,42.579,7.48E+05,220.26,3.87E+06,369.54,6.49E+06,PRE,T
070919Abl_FF4,29,I,12094,37.372,224.35,21.553,22.524,2.72E+05,365.25,4.42E+06,391.17,4.73E+06,TE,F
070919Abl_FF4,31,I,22942,180.68,175.48,22.287,28.012,6.43E+05,219.95,5.05E+06,362.58,8.32E+06,DP,F
070919Abl_FF4,32,I,14850,83.405,264.56,21.54,28.568,4.24E+05,276.52,4.11E+06,338.03,5.02E+06,DP,F
070919Abl_FF4,33,I,17408,119.79,163.19,23.584,46.435,8.08E+05,285.05,4.96E+06,358.37,6.24E+06,PRE,T
070919Abl_FF4,34,I,16568,459.99,274.64,25.497,21.075,3.49E+05,177.95,2.95E+06,302.64,5.01E+06,TE,F
070919Abl_FF4,35,I,22211,150.2,245.61,27.003,37.938,8.43E+05,112.43,2.50E+06,387.06,8.60E+06,PRE,F
070919Abl_FF4,36,I,10615,216.98,373.98,26.422,20.486,2.17E+05,182.36,1.94E+06,414.44,4.40E+06,TE,F
070919Abl_FF4,37,I,17060,80.481,313.63,28.038,47.646,8.13E+05,159.2,2.72E+06,327.09,5.58E+06,PRE,T
070919Abl_FF4,40,I,16136,437.08,129.67,32.949,20.659,3.33E+05,214.42,3.46E+06,432.89,6.99E+06,TE,F
070919Abl_FF4,41,I,14205,147.21,302.59,31.613,53.801,7.64E+05,114.6,1.63E+06,301.14,4.28E+06,PRE,T
070919Abl_FF4,42,I,13776,168.43,349.05,31.733,21.442,2.95E+05,209.97,2.89E+06,323.59,4.46E+06,EPI,F
070919Abl_FF4,44,I,14778,322.05,401.62,33.443,20.418,3.02E+05,172.85,2.55E+06,397.93,5.88E+06,TE,F
070919Abl_FF4,45,I,16200,260.14,64.279,32.443,20.342,3.30E+05,131.29,2.13E+06,271.83,4.40E+06,TE,F
070919Abl_FF4,46,I,14733,88.096,130.36,31.04,21.074,3.10E+05,147.11,2.17E+06,300.35,4.43E+06,TE,F
070919Abl_FF4,47,I,8876,452.89,337.18,32.964,21.375,1.90E+05,320.85,2.85E+06,410.83,3.65E+06,TE,F
070919Abl_FF4,48,M,30234,402.33,374.1,35.356,20.068,6.07E+05,76.22,2.30E+06,349.68,1.06E+07,TE,F
070919Abl_FF4,49,I,19938,143.28,166.52,33.151,24.892,4.96E+05,148.83,2.97E+06,313.02,6.24E+06,DP,F
070919Abl_FF4,50,I,16323,103.26,238.97,34.354,28.536,4.66E+05,176.16,2.88E+06,350.05,5.71E+06,DP,F
070919Abl_FF4,51,I,11735,93.94,359.68,36.506,20.998,2.46E+05,212.1,2.49E+06,317.49,3.73E+06,TE,F
070919Abl_FF4,52,I,21986,476.05,200.27,41.33,20.353,4.47E+05,124.98,2.75E+06,393.63,8.65E+06,TE,F
070919Abl_FF4,53,I,13591,61.528,291.56,38.22,22.027,2.99E+05,128.81,1.75E+06,300.48,4.08E+06,EPI,F
070919Abl_FF4,54,I,12273,255.78,401.26,40.085,20.024,2.46E+05,139.79,1.72E+06,437.54,5.37E+06,TE,F
070919Abl_FF4,55,I,18563,202.71,93.181,38.529,21.123,3.92E+05,82.666,1.53E+06,310.63,5.77E+06,TE,F
070919Abl_FF4,56,I,12972,362.85,71.189,41.093,19.974,2.59E+05,110.61,1.43E+06,283.32,3.68E+06,TE,F
070919Abl_FF4,57,I,20349,154.46,119.24,40.712,19.911,4.05E+05,80.762,1.64E+06,314.71,6.40E+06,EPI,F
070919Abl_FF4,58,I,19447,102.6,181.43,41.308,28.174,5.48E+05,128.71,2.50E+06,316.85,6.16E+06,PRE,F
070919Abl_FF4,59,I,11909,29.164,255.55,42.558,21.728,2.59E+05,249.18,2.97E+06,286.22,3.41E+06,TE,F
070919Abl_FF4,60,I,19514,113.08,325.31,43.513,29.631,5.78E+05,122.86,2.40E+06,362.52,7.07E+06,PRE,F
070919Abl_FF4,61,I,16325,182.79,362.84,41.935,20.098,3.28E+05,102.2,1.67E+06,246.53,4.02E+06,TE,F
070919Abl_FF4,62,I,12205,133.74,241.07,44.844,20.903,2.55E+05,75.708,9.24E+05,368.96,4.50E+06,EPI,F
070919Abl_FF4,63,I,16860,85.607,255.99,46.893,24.889,4.20E+05,156.62,2.64E+06,305.87,5.16E+06,DP,F
070919Abl_FF4,64,I,19393,470.52,299.61,48.241,19.99,3.88E+05,126.88,2.46E+06,290.97,5.64E+06,TE,F
070919Abl_FF4,65,I,16465,351.43,407.24,48.437,20.165,3.32E+05,156.48,2.58E+06,279.44,4.60E+06,TE,F
070919Abl_FF4,66,I,17408,289.13,70.016,49.844,19.739,3.44E+05,93.33,1.62E+06,223.45,3.89E+06,TE,F
070919Abl_FF4,67,I,19605,94.469,176.78,51.416,21.017,4.12E+05,119.03,2.33E+06,328.48,6.44E+06,EPI,F
070919Abl_FF4,68,I,21907,144.62,326.93,52.811,20.202,4.43E+05,98.041,2.15E+06,327.47,7.17E+06,EPI,F
070919Abl_FF4,69,I,15177,406.15,113.36,56.623,19.754,3.00E+05,83.173,1.26E+06,234.84,3.56E+06,TE,F
070919Abl_FF4,70,I,17483,107.43,258.7,57.926,20.002,3.50E+05,84.351,1.47E+06,332.19,5.81E+06,EPI,F
070919Abl_FF4,71,I,16374,330.31,394.39,57.232,19.829,3.25E+05,110.83,1.81E+06,234.71,3.84E+06,TE,F
070919Abl_FF4,72,I,22982,184.75,171.03,59.473,19.464,4.47E+05,58.613,1.35E+06,262.04,6.02E+06,TE,F
070919Abl_FF4,73,I,27100,465.18,225.99,59.268,19.777,5.36E+05,111.18,3.01E+06,200.51,5.43E+06,TE,F
070919Abl_FF4,74,I,14367,254.68,109.01,61.265,19.532,2.81E+05,79.663,1.14E+06,447.35,6.43E+06,TE,F
070919Abl_FF4,75,I,18434,177.52,242.77,60.614,19.383,3.57E+05,65.225,1.20E+06,208.07,3.84E+06,TE,F
070919Abl_FF4,76,I,34352,212.67,309.75,64.958,19.436,6.68E+05,87.484,3.01E+06,414.24,1.42E+07,TE,F
070919Abl_FF4,77,I,25801,412.73,172.48,68.608,19.679,5.08E+05,77.901,2.01E+06,374.78,9.67E+06,TE,F
070919Abl_FF4,78,I,18809,311.58,132.47,69.539,19.529,3.67E+05,92.168,1.73E+06,325,6.11E+06,TE,F
070919Abl_FF4,79,I,25216,351.8,330.55,70.483,19.416,4.90E+05,77.989,1.97E+06,340.15,8.58E+06,TE,F
070919Abl_FF4,80,I,18286,248.44,206.66,71.725,19.348,3.54E+05,74.24,1.36E+06,475.72,8.70E+06,TE,F
070919Abl_FF4,81,I,13599,357.31,285.13,73.349,19.424,2.64E+05,93.966,1.28E+06,264.24,3.59E+06,TE,F
070919Abl_FF4,82,I,9726,354.96,211.97,73.737,19.577,1.90E+05,120.38,1.17E+06,318.04,3.09E+06,TE,F
