Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum, 
021919Abl_EO7,82,I,13777,138.64,220.81,50.671,18.133,2.50E+05,120.09,1.65E+06,277.06,3.82E+06,
021919Abl_EO7,83,I,10919,371.71,119.11,51.063,18.855,2.06E+05,128.93,1.41E+06,282.18,3.08E+06,
021919Abl_EO7,84,I,16919,60.253,266.04,50.087,18.286,3.09E+05,120.18,2.03E+06,373.59,6.32E+06,
021919Abl_EO7,85,I,12419,294.59,426.05,49.286,18.519,2.30E+05,97.558,1.21E+06,258.9,3.22E+06,
021919Abl_EO7,86,I,18069,233.67,126.33,51.992,18.166,3.28E+05,65.454,1.18E+06,285.03,5.15E+06,
021919Abl_EO7,87,I,11524,443.81,185.61,52.959,18.697,2.15E+05,129.98,1.50E+06,375.44,4.33E+06,
021919Abl_EO7,88,I,13899,175.46,191.53,56.179,17.989,2.50E+05,65.915,9.16E+05,339.98,4.73E+06,
021919Abl_EO7,89,I,15668,116.05,263.9,56.988,18.159,2.85E+05,87.237,1.37E+06,319.61,5.01E+06,
021919Abl_EO7,90,I,12846,121.46,331.48,56.567,18.297,2.35E+05,114.21,1.47E+06,318.67,4.09E+06,
021919Abl_EO7,91,I,13648,243.41,395.85,58.225,18.132,2.47E+05,96.713,1.32E+06,476.6,6.50E+06,
021919Abl_EO7,92,I,12488,343.25,400.31,58.235,18.241,2.28E+05,100.95,1.26E+06,453.12,5.66E+06,
021919Abl_EO7,93,I,14282,306.35,130.54,60.032,18.151,2.59E+05,84.267,1.20E+06,532.04,7.60E+06,
021919Abl_EO7,94,I,12160,375.08,156.72,60.564,18.374,2.23E+05,115.82,1.41E+06,441.23,5.37E+06,
021919Abl_EO7,95,I,13929,400.58,358.95,60.18,18.482,2.57E+05,122.76,1.71E+06,466.21,6.49E+06,
021919Abl_EO7,96,I,17642,431,252.85,62.247,18.369,3.24E+05,114.93,2.03E+06,369.41,6.52E+06,
021919Abl_EO7,97,I,12684,169.56,322.75,60.761,18.152,2.30E+05,95.94,1.22E+06,281.63,3.57E+06,
021919Abl_EO7,98,I,11967,164.21,268.36,62.334,18.192,2.18E+05,107.52,1.29E+06,290.56,3.48E+06,
021919Abl_EO7,99,I,15437,211.65,345.14,64.909,18.128,2.80E+05,95.614,1.48E+06,506.64,7.82E+06,
021919Abl_EO7,100,I,19207,225.3,184.34,64.795,17.928,3.44E+05,75.462,1.45E+06,459.75,8.83E+06,
021919Abl_EO7,101,I,18099,207.66,251.92,68.468,17.938,3.25E+05,80.62,1.46E+06,457.48,8.28E+06,
021919Abl_EO7,102,I,18333,346.61,193.2,69.606,17.957,3.29E+05,87.365,1.60E+06,398.48,7.31E+06,
021919Abl_EO7,103,I,17580,380.47,298.87,69.726,18.203,3.20E+05,101.74,1.79E+06,435.68,7.66E+06,
021919Abl_EO7,104,I,34665,286.98,316.69,70.773,18.084,6.27E+05,83.202,2.88E+06,416.42,1.44E+07,
