Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,Identity,targeted
100719Abl_FM7,48,I,18239,147.82,253.13,53.294,24.887,4.54E+05,121.55,2.22E+06,358.82,6.54E+06,PRE,F
100719Abl_FM7,49,I,15112,159,165.28,53.111,21.779,3.29E+05,110.38,1.67E+06,275.75,4.17E+06,TE,F
100719Abl_FM7,50,I,18174,109.61,195.95,52.933,21.666,3.94E+05,135.43,2.46E+06,323.56,5.88E+06,EPI,T
100719Abl_FM7,51,I,17039,79.553,343.23,55.055,21.263,3.62E+05,173.46,2.96E+06,347.19,5.92E+06,TE,F
100719Abl_FM7,52,I,16423,77.706,256.33,55.427,23.895,3.92E+05,140.57,2.31E+06,324.52,5.33E+06,DP,F
100719Abl_FM7,53,I,14499,135.8,335.21,55.058,22.97,3.33E+05,141.77,2.06E+06,348.5,5.05E+06,DP,F
100719Abl_FM7,54,I,14185,294.76,437.2,58.798,21.327,3.03E+05,227.77,3.23E+06,307.39,4.36E+06,TE,F
100719Abl_FM7,55,I,17156,116.08,290.59,60.703,21.615,3.71E+05,118.85,2.04E+06,314.23,5.39E+06,EPI,T
100719Abl_FM7,56,I,13179,418.52,113.91,61.966,21.248,2.80E+05,242.27,3.19E+06,340.18,4.48E+06,TE,F
100719Abl_FM7,57,I,15096,476.18,318.99,63.947,22.03,3.33E+05,175.42,2.65E+06,329.31,4.97E+06,TE,F
100719Abl_FM7,58,I,14072,150.93,202.75,64.961,20.925,2.94E+05,99.475,1.40E+06,320.62,4.51E+06,EPI,T
100719Abl_FM7,59,I,21079,261.82,109.56,66.947,21.447,4.52E+05,164.05,3.46E+06,433.69,9.14E+06,TE,F
100719Abl_FM7,60,I,18228,479.49,223.46,64.147,21.655,3.95E+05,131.7,2.40E+06,326,5.94E+06,TE,F
100719Abl_FM7,61,I,34285,181.78,370.01,67.907,20.65,7.08E+05,83.37,2.86E+06,248,8.50E+06,TE,F
100719Abl_FM7,62,I,22236,155.81,264.23,69.12,20.859,4.64E+05,102.95,2.29E+06,292.36,6.50E+06,TE,F
100719Abl_FM7,63,M,19540,258.36,194.17,78.284,20.654,4.04E+05,67.803,1.32E+06,412.18,8.05E+06,TE,F
100719Abl_FM7,64,I,24696,420.19,221.2,81.786,21.043,5.20E+05,148.45,3.67E+06,336.81,8.32E+06,TE,F
100719Abl_FM7,65,M,16431,270.59,245.59,81.83,20.745,3.41E+05,75.17,1.24E+06,404.07,6.64E+06,TE,F
100719Abl_FM7,66,I,20506,371.3,335.88,82.816,20.648,4.23E+05,185.73,3.81E+06,393.11,8.06E+06,TE,F
