Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,Identity
080117Abl_BB6,2,I,20665,196.42,254.11,5.4306,113.86,2.35E+06,219.13,4.53E+06,DP
080117Abl_BB6,6,I,22791,122.5,243.22,8.873,117.66,2.68E+06,229,5.22E+06,DP
080117Abl_BB6,7,I,21687,221.29,305.15,9.1498,109.11,2.37E+06,218.66,4.74E+06,DP
080117Abl_BB6,9,I,12390,151.11,308.15,9.3061,153.19,1.90E+06,234.96,2.91E+06,PRE
080117Abl_BB6,10,I,6690,163.29,187.6,11.547,36.149,2.42E+05,218.78,1.46E+06,EPI
080117Abl_BB6,13,I,9400,197.34,246.49,15.534,147.82,1.39E+06,231.71,2.18E+06,PRE
080117Abl_BB6,15,I,5020,139.78,256.32,17.634,80.583,4.05E+05,219.57,2.42E+06,DP
080117Abl_BB6,19,I,9826,103.01,300.33,21.968,36.793,3.62E+05,246.19,2.60E+06,EPI
080117Abl_BB6,20,I,11184,70.406,265.21,23.132,36.48,4.08E+05,232.5,4.73E+06,EPI
080117Abl_BB6,21,I,21594,195.94,166.24,24.947,106.21,2.29E+06,219.13,3.16E+06,PRE
080117Abl_BB6,23,I,15124,159.72,218.98,24.885,64.795,9.80E+05,209.15,2.57E+06,PRE
080117Abl_BB6,24,I,11913,143.49,286.29,25.971,35.463,4.22E+05,215.58,2.75E+06,EPI
080117Abl_BB6,25,I,12709,119.34,168.42,28.016,31.679,4.03E+05,216.43,2.76E+06,EPI
080117Abl_BB6,26,I,12510,180.33,213.77,35.589,79.949,1.00E+06,220.54,3.26E+06,PRE
080117Abl_BB6,27,I,14455,101.97,271.71,36.882,43.279,6.26E+05,225.39,2.44E+06,DP
080117Abl_BB6,30,I,11432,197.26,161.83,38.354,48.633,5.56E+05,213.06,3.31E+06,DP
080117Abl_BB6,31,I,15752,114.79,218.61,40.129,58.517,9.22E+05,209.88,,DP
