Embryo_ID,Cell_ID,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum,Identity
013118Abl_CL3,2,I,17067,183.84,313.44,6.2632,68.841,1.17E+06,223.07,3.81E+06,PRE
013118Abl_CL3,3,I,25835,163.86,226.49,8.7505,54.353,1.40E+06,246.54,6.37E+06,PRE
013118Abl_CL3,4,I,23715,223.38,285.71,9.1766,55.027,1.31E+06,188.59,4.47E+06,PRE
013118Abl_CL3,5,I,47416,232.27,190.95,10.349,37.641,1.78E+06,176.34,8.36E+06,DP
013118Abl_CL3,6,I,34320,181.66,137.64,10.712,46.305,1.59E+06,240.64,8.26E+06,PRE
013118Abl_CL3,7,I,14380,133.23,313.5,13.631,31.001,4.46E+05,225.05,3.24E+06,EPI
013118Abl_CL3,8,I,27879,119.22,190.49,12.933,32.906,9.17E+05,250.52,6.98E+06,DP
013118Abl_CL3,9,I,14625,140.08,270.32,17.269,46.618,6.82E+05,204.54,2.99E+06,DP
013118Abl_CL3,10,I,36403,178,343,15,36.786,,236.069,,EPI
013118Abl_CL3,12,I,24037,225.35,141.61,23.096,29.311,7.05E+05,204.14,4.91E+06,EPI
013118Abl_CL3,16,I,22290,166.84,237.93,23.124,45.544,1.02E+06,250.27,5.58E+06,PRE
013118Abl_CL3,18,I,29843,124.52,144.43,28.548,41.432,1.24E+06,201.99,6.03E+06,PRE
013118Abl_CL3,19,I,23944,109.9,228.38,29.009,36.728,8.79E+05,213.11,5.10E+06,PRE
013118Abl_CL3,19.2,I,23944,100,213,36,31.804,,199.549,,DP
013118Abl_CL3,20,I,27583,119.52,309.23,28.296,28.649,7.90E+05,203.66,5.62E+06,DP
013118Abl_CL3,21,I,32561,156.72,364.17,29.434,27.437,8.93E+05,210.5,6.85E+06,DP
013118Abl_CL3,25,I,8362,83.541,271.86,33.076,26.728,2.24E+05,213.24,1.78E+06,DP
013118Abl_CL3,25.2,I,8362,130,264,36,28.002,,188.2,,DP
013118Abl_CL3,27,I,15558,181.36,124.53,32.365,28.117,4.37E+05,217.38,3.38E+06,PRE
