Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,Identity,targeted
051419Abl_FA9,1,I,21863,273.67,240.26,5.2344,25.781,5.64E+05,583.97,1.28E+07,433.33,9.47E+06,TE,F
051419Abl_FA9,2,I,15212,162.58,294.72,4.8369,23.93,3.64E+05,495.62,7.54E+06,433.13,6.59E+06,TE,F
051419Abl_FA9,3,I,23095,205.32,200.3,5.5424,24.443,5.65E+05,457.21,1.06E+07,422.4,9.76E+06,TE,F
051419Abl_FA9,4,I,26480,307.21,318.07,5.6042,23.209,6.15E+05,390.67,1.03E+07,462.73,1.23E+07,TE,F
051419Abl_FA9,5,I,31676,286.13,146.4,6.78,22.056,6.99E+05,208.05,6.59E+06,440.55,1.40E+07,TE,F
051419Abl_FA9,6,I,11870,206.13,259.92,7.7202,46.823,5.56E+05,429.77,5.10E+06,414.39,4.92E+06,PRE,F
051419Abl_FA9,7,I,12713,224.93,306.36,9.819,23.697,3.01E+05,418.07,5.31E+06,466.83,5.93E+06,EPI,F
051419Abl_FA9,8,I,21541,233.14,367.66,10.222,24.445,5.27E+05,398.2,8.58E+06,418.72,9.02E+06,TE,F
051419Abl_FA9,9,I,15927,185.77,151.94,11.357,22.58,3.60E+05,277.85,4.43E+06,440.03,7.01E+06,EPI,F
051419Abl_FA9,10,I,20680,111.66,240.06,12.573,22.799,4.71E+05,326.38,6.75E+06,450.2,9.31E+06,EPI,F
051419Abl_FA9,11,I,17421,100.57,352.13,11.748,22.714,3.96E+05,263.47,4.59E+06,482.76,8.41E+06,TE,F
051419Abl_FA9,12,I,17397,167.57,375.82,12.247,28.701,4.99E+05,380.75,6.62E+06,475.4,8.27E+06,DP,F
051419Abl_FA9,13,I,12558,181.28,336.02,17.07,28.36,3.56E+05,345.54,4.34E+06,431.87,5.42E+06,DP,F
051419Abl_FA9,14,I,23256,129.29,176.84,15.792,26.484,6.16E+05,162.65,3.78E+06,487.16,1.13E+07,DP,F
051419Abl_FA9,15,I,19172,166.59,224.52,17.979,23.348,4.48E+05,277.76,5.33E+06,436.4,8.37E+06,EPI,F
051419Abl_FA9,16,I,13313,179,281.98,17.203,33.716,4.49E+05,463.74,6.17E+06,398.01,5.30E+06,DP,F
051419Abl_FA9,17,I,15700,71.704,278.11,18.083,29.827,4.68E+05,415.75,6.53E+06,431.4,6.77E+06,DP,F
051419Abl_FA9,18,M,13681,137.97,118.96,18.671,23.386,3.20E+05,177.65,2.43E+06,461.29,6.31E+06,TE,F
051419Abl_FA9,19,I,19543,51.229,222.11,21.142,24.697,4.83E+05,348.92,6.82E+06,445.89,8.71E+06,TE,F
051419Abl_FA9,20,I,25969,438.95,208.14,23.418,25.317,6.57E+05,525.55,1.36E+07,433.64,1.13E+07,TE,F
051419Abl_FA9,21,I,10938,135.88,290.91,19.681,30.255,3.31E+05,347.44,3.80E+06,447.59,4.90E+06,DP,F
051419Abl_FA9,22,I,12552,246.08,53.185,22.631,23.178,2.91E+05,315.08,3.95E+06,433.96,5.45E+06,TE,F
051419Abl_FA9,23,I,13116,255.86,415.22,22.015,24.358,3.19E+05,451.69,5.92E+06,495.52,6.50E+06,TE,F
051419Abl_FA9,24,I,12923,121.2,370.95,24.107,25.133,3.25E+05,407.83,5.27E+06,439.81,5.68E+06,EPI,F
051419Abl_FA9,25,I,11616,182.59,367.38,26.738,22.983,2.67E+05,262.05,3.04E+06,449.58,5.22E+06,EPI,F
051419Abl_FA9,26,I,14915,344.29,59.205,28.779,23.306,3.48E+05,311.89,4.65E+06,452.42,6.75E+06,TE,F
051419Abl_FA9,27,I,15660,83.32,165.26,28.35,29.122,4.56E+05,252.18,3.95E+06,454.76,7.12E+06,DP,F
051419Abl_FA9,28,I,18316,109.95,249.73,29.07,27.664,5.07E+05,166.82,3.06E+06,458.09,8.39E+06,DP,F
051419Abl_FA9,29,I,17629,420.11,377.26,30.68,25.503,4.50E+05,494.77,8.72E+06,450.62,7.94E+06,TE,F
051419Abl_FA9,30,I,19008,158.03,414.98,30.677,23.57,4.48E+05,411.47,7.82E+06,473.3,9.00E+06,TE,F
051419Abl_FA9,31,I,12180,105.01,200.86,32.483,42.595,5.19E+05,293.07,3.57E+06,424.58,5.17E+06,PRE,T
