Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,Identity
121917Abl_CD2,2,I,19211,310.1,183.92,5.573,225.7,4.34E+06,174.82,3.36E+06,PRE
121917Abl_CD2,3,I,21097,257.25,219.26,7.9698,246.52,5.20E+06,179.48,3.79E+06,PRE
121917Abl_CD2,4,I,13232,166.08,191.89,9.9032,213.29,2.82E+06,194.56,2.57E+06,PRE
121917Abl_CD2,7,I,10984,279.58,194.52,12.462,352.16,3.87E+06,172.88,1.90E+06,PRE
121917Abl_CD2,10,I,10495,147.53,248.66,15.454,85.018,8.92E+05,176.47,1.85E+06,DP
121917Abl_CD2,10.2,I,10495,129,199,15,53.604,,194.58,,EPI
121917Abl_CD2,11,I,18354,197.64,228.27,16.962,249.76,4.58E+06,197.4,3.62E+06,PRE
121917Abl_CD2,13,I,11680,122.26,350.94,14.279,45.566,5.32E+05,206.46,2.41E+06,DP
121917Abl_CD2,15,M,14656,178.13,316.22,21.612,274.78,4.03E+06,203,2.98E+06,PRE
121917Abl_CD2,16,I,15426,234.4,225.54,20.917,193.47,2.98E+06,194.9,3.01E+06,PRE
121917Abl_CD2,19,I,26189,197.89,134.7,27.588,42.084,1.10E+06,162.54,4.26E+06,DP
121917Abl_CD2,21,I,32239,92.043,263.84,29.71,66.324,2.14E+06,179.9,5.80E+06,DP
121917Abl_CD2,21.2,I,32239,94,203,27,40.364,,176.186,,EPI
121917Abl_CD2,23,I,22024,156.46,268.12,34.596,62.212,1.37E+06,171.58,3.78E+06,PRE
121917Abl_CD2,24,I,27645,211.86,208.62,34.241,78.801,2.18E+06,176.55,4.88E+06,PRE
121917Abl_CD2,25,I,14670,196.84,309.09,35.65,94.789,1.39E+06,205.46,3.01E+06,PRE
121917Abl_CD2,26,I,21503,246.75,247.18,37.793,62.815,1.35E+06,181.39,3.90E+06,PRE
121917Abl_CD2,26.2,I,21503,136,180,26,37.35,,185.519,,EPI
121917Abl_CD2,27,M,2004,109.84,187.86,36,41.559,,182.436,,EPI
121917Abl_CD2,28,I,13065,80.471,248.84,40.056,111.82,1.46E+06,157.85,2.06E+06,PRE
121917Abl_CD2,29,I,8731,189.88,241.07,41.089,65.43,5.71E+05,162.76,1.42E+06,PRE
