Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,Identity
121917Abl_CE6,1,I,11758,272.71,251.56,5.3945,264.85,3.11E+06,191.73,2.25E+06,PRE
121917Abl_CE6,4,M,18070,197.75,314.38,7.9846,64.384,1.16E+06,236.3,4.27E+06,DP
121917Abl_CE6,5,I,34588,266.11,362.55,10.58,134.26,4.64E+06,200.33,6.93E+06,PRE
121917Abl_CE6,6,I,20325,281.44,187.43,12.451,168.05,3.42E+06,185.78,3.78E+06,PRE
121917Abl_CE6,7,I,28596,102.84,297.31,14,210.25,,198.394,,PRE
121917Abl_CE6,7.2,I,28596,126,286,5,47.971,,200.205,,EPI
121917Abl_CE6,8,I,7668,151.23,351.14,12.024,37.93,2.91E+05,166.98,1.28E+06,EPI
121917Abl_CE6,9,I,10919,231.39,189.87,16.966,218.08,2.38E+06,203.11,2.22E+06,PRE
121917Abl_CE6,10,I,8788,255.49,307.16,17.405,122.73,1.08E+06,144.82,1.27E+06,PRE
121917Abl_CE6,11,M,12053,108.46,231.33,17.936,164.62,1.98E+06,198.61,2.39E+06,PRE
121917Abl_CE6,12,I,8554,212.13,226.78,18.222,137.41,1.18E+06,175.13,1.50E+06,PRE
121917Abl_CE6,13,I,12651,217.48,298.58,19.6,130.39,1.65E+06,181.26,2.29E+06,PRE
121917Abl_CE6,14,M,12749,123.81,329.82,23.827,154.57,1.97E+06,191.58,2.44E+06,PRE
121917Abl_CE6,15,I,14533,85.036,272.34,24.55,138.23,2.01E+06,187.4,2.72E+06,PRE
121917Abl_CE6,17,M,18815,273.99,413.23,22.891,226.17,4.26E+06,208.29,3.92E+06,PRE
121917Abl_CE6,18,I,20902,224.99,259.6,27.202,119.89,2.51E+06,172.48,3.61E+06,PRE
121917Abl_CE6,19,I,22036,238.77,339.25,30.349,111.1,2.45E+06,186.7,4.11E+06,PRE
121917Abl_CE6,20,I,19271,236.47,176.96,29.496,118.14,2.28E+06,179.47,3.46E+06,PRE
121917Abl_CE6,21,I,23300,250.08,384.42,40.3,83.001,1.93E+06,184.14,4.29E+06,PRE
121917Abl_CE6,22,M,18890,184.78,306.46,42.64,90.864,1.72E+06,205.51,3.88E+06,PRE
