Embryo_ID,Cell_ID,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum,Identity
013118Abl_CM3,1,I,17640,270.29,254.06,4.7519,46.472,8.20E+05,232.66,4.10E+06,DP
013118Abl_CM3,2,I,25496,303.17,201.56,6.5027,50.417,1.29E+06,220.73,5.63E+06,PRE
013118Abl_CM3,3,I,23137,188.86,275.47,6.4974,52.729,1.22E+06,233.91,5.41E+06,DP
013118Abl_CM3,4,I,26979,219.23,220.95,10.313,46.811,1.26E+06,224.6,6.06E+06,DP
013118Abl_CM3,5,I,27568,238.98,298.65,8.8809,71.884,1.98E+06,227.48,6.27E+06,PRE
013118Abl_CM3,6,I,48191,244.19,128.36,11.7,36.683,1.77E+06,232.04,1.12E+07,PRE
013118Abl_CM3,7,M,38638,173.61,158.91,11.585,49.702,1.92E+06,221.3,8.55E+06,DP
013118Abl_CM3,8,I,22547,199.79,329.58,14.919,75.154,1.69E+06,231.35,5.22E+06,PRE
013118Abl_CM3,9,I,50366,114.42,249.46,15.01,46.695,2.35E+06,217.42,1.10E+07,DP
013118Abl_CM3,10,I,21273,170.12,269.36,21.99,46.254,9.84E+05,229.95,4.89E+06,DP
013118Abl_CM3,11,I,49138,150.4,350.74,19.842,36.644,1.80E+06,223.75,1.10E+07,DP
013118Abl_CM3,12,I,24165,156.65,207.15,24.578,57.721,1.39E+06,227.03,5.49E+06,PRE
013118Abl_CM3,13,I,47005,94.19,350.24,29.809,39.041,1.84E+06,277.74,1.31E+07,DP
013118Abl_CM3,16,I,9916,126.63,278.97,30.829,38.125,3.78E+05,213.67,2.12E+06,DP
013118Abl_CM3,17,I,22275,81.195,250.9,32.354,57.713,1.29E+06,238.97,5.32E+06,PRE
