Embryo_ID,Cell_ID,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum,Identity
013018Abl_CK5,5,I,2948,225.28,307.69,3.1235,28.113,82878,125.86,3.71E+05,EPI
013018Abl_CK5,10,I,19388,208.66,245.87,6.9157,51.936,1.01E+06,118.55,2.30E+06,DP
013018Abl_CK5,13,I,20004,158.17,251.03,12.529,41.611,8.32E+05,126.4,2.53E+06,DP
013018Abl_CK5,14,I,8206,192.63,310.99,10.507,29.412,2.41E+05,128.21,1.05E+06,EPI
013018Abl_CK5,15,I,19480,173.34,362.69,14.496,25.401,4.95E+05,124.42,2.42E+06,EPI
013018Abl_CK5,16,I,25906,192.19,194.57,15.542,76.326,1.98E+06,116.07,3.01E+06,PRE
013018Abl_CK5,19,I,39422,97.878,264.04,15.202,36.112,1.42E+06,144.3,5.69E+06,DP
013018Abl_CK5,20,I,4865,119.42,352.15,15.833,24.752,1.20E+05,176.34,8.58E+05,EPI
013018Abl_CK5,23,I,23140,113.79,193.91,21.807,62.777,1.45E+06,121.72,2.82E+06,PRE
013018Abl_CK5,24,I,21558,152.6,233.64,26.637,63.485,1.37E+06,129.4,2.79E+06,PRE
013018Abl_CK5,25,I,36648,97.41,326.13,29.847,26.112,9.57E+05,138.38,5.07E+06,DP
013018Abl_CK5,27,I,40151,124.22,275.55,35.892,36.371,1.46E+06,123.23,4.95E+06,PRE
013018Abl_CK5,29,I,45367,126.51,129.97,35.668,28.949,1.31E+06,127.18,5.77E+06,PRE
013018Abl_CK5,30,I,23619,126.04,198.94,40.713,38.671,9.13E+05,108.95,2.57E+06,PRE
