Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,Identity
080117Abl_BD1,13,I,12476,238.34,311.58,14.652,126.74,1.58E+06,223.94,2.79E+06,PRE
080117Abl_BD1,15,I,19988,177.66,211.43,15.857,89.813,1.80E+06,243.28,4.86E+06,PRE
080117Abl_BD1,16,I,7299,215.57,261.41,15.816,47.147,3.44E+05,251.3,1.83E+06,DP
080117Abl_BD1,19,I,16906,177.45,318.08,17.698,58.285,9.85E+05,236.42,4.00E+06,DP
080117Abl_BD1,20,I,8469,156.27,153.52,19.128,28.673,2.43E+05,227.41,1.93E+06,EPI
080117Abl_BD1,22,M,7764,202.66,269.4,22.96,63.12,4.90E+05,241.68,1.88E+06,DP
080117Abl_BD1,26,I,15705,202.33,181.21,26.751,71.411,1.12E+06,233.91,3.67E+06,PRE
080117Abl_BD1,28,I,14474,100.27,266.41,27.709,81.527,1.18E+06,247.74,3.59E+06,PRE
080117Abl_BD1,29,I,12021,192.23,329.58,28.482,92.08,1.11E+06,223.47,2.69E+06,PRE
080117Abl_BD1,33,I,12396,186.56,225.7,33.622,46.648,5.78E+05,234.65,2.91E+06,DP
080117Abl_BD1,36,I,12438,202.21,283.68,36.639,41.572,5.17E+05,226.23,2.81E+06,DP
080117Abl_BD1,37,I,11281,136.35,307.51,38.915,43.368,4.89E+05,218.25,2.46E+06,DP
080117Abl_BD1,39,I,15975,230,353.94,39.91,38.753,6.19E+05,234.14,3.74E+06,DP
080117Abl_BD1,40,I,14854,147.23,221.94,45.416,43.068,6.40E+05,218.54,3.25E+06,DP
080117Abl_BD1,42,I,11465,201.27,204.06,50.282,32.001,3.67E+05,218.12,2.50E+06,DP
080117Abl_BD1,43,I,6414,194.52,341.97,48.208,25.06,1.61E+05,227.23,1.46E+06,EPI
