Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum
010319Abl_EG4,1,I,23733,169.63,258.26,5.6426,18.145,4.31E+05,43.077,1.02E+06,186.72,4.43E+06
010319Abl_EG4,2,I,44324,165.18,173.87,7.3215,17.996,7.98E+05,53.914,2.39E+06,200.35,8.88E+06
010319Abl_EG4,3,I,15275,300.05,182.73,6.3821,18.144,2.77E+05,45.622,6.97E+05,206.1,3.15E+06
010319Abl_EG4,4,I,19072,249.95,283.36,6.055,18.231,3.48E+05,38.108,7.27E+05,153.1,2.92E+06
010319Abl_EG4,5,I,11267,256.56,337.09,6.6564,18.177,2.05E+05,45.706,5.15E+05,213.2,2.40E+06
010319Abl_EG4,6,I,26401,112.18,307.85,9.0838,17.952,4.74E+05,33.249,8.78E+05,191.56,5.06E+06
010319Abl_EG4,7,I,29856,247.39,220.23,9.0207,18.049,5.39E+05,38.654,1.15E+06,204.15,6.10E+06
010319Abl_EG4,8,I,34878,331.52,278.81,8.7366,18.177,6.34E+05,42.91,1.50E+06,163.71,5.71E+06
010319Abl_EG4,9,I,14751,192.65,334.36,7.9977,18.105,2.67E+05,39.886,5.88E+05,240.69,3.55E+06
010319Abl_EG4,10,I,29131,298.9,366.1,8.7584,18.057,5.26E+05,45.642,1.33E+06,226.23,6.59E+06
010319Abl_EG4,12,I,12047,161.5,232.75,11.056,18.626,2.24E+05,36.441,4.39E+05,193.95,2.34E+06
010319Abl_EG4,13,I,28369,92.77,246.66,12.807,17.86,5.07E+05,35.912,1.02E+06,190.56,5.41E+06
010319Abl_EG4,14,I,11527,197.26,293.65,14.456,18.166,2.09E+05,36.777,4.24E+05,155.17,1.79E+06
010319Abl_EG4,15,I,19343,385.66,281.01,13.236,18.029,3.49E+05,45.939,8.89E+05,140.31,2.71E+06
010319Abl_EG4,16,I,21583,362.37,340.12,16.855,18.201,3.93E+05,53.881,1.16E+06,214.6,4.63E+06
010319Abl_EG4,17,I,15603,239.63,359.41,17.043,18.493,2.89E+05,121.2,1.89E+06,120.6,1.88E+06
010319Abl_EG4,18,I,19015,398.85,212.25,19.766,17.927,3.41E+05,58.152,1.11E+06,153.7,2.92E+06
010319Abl_EG4,19,I,13681,316.78,217.41,17.672,17.971,2.46E+05,37.349,5.11E+05,178.55,2.44E+06
010319Abl_EG4,20,I,28033,140.19,351.94,20.047,17.836,5.00E+05,77.131,2.16E+06,204.41,5.73E+06
010319Abl_EG4,23,I,9056,407.79,268.25,20.434,18.423,1.67E+05,53.392,4.84E+05,117.85,1.07E+06
010319Abl_EG4,24,I,31307,278.13,401.01,19.064,18.244,5.71E+05,43.15,1.35E+06,207.07,6.48E+06
010319Abl_EG4,25,I,27235,294.78,137.05,21.895,18.51,5.04E+05,34.708,9.45E+05,210.51,5.73E+06
