Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum, 
031919Abl_ET5,63,I,12256,453.72,142.18,49.529,18.84,2.31E+05,103.08,1.26E+06,273.45,3.35E+06,
031919Abl_ET5,64,I,15359,299.88,440.65,47.386,18.71,2.87E+05,95.59,1.47E+06,293.14,4.50E+06,
031919Abl_ET5,65,I,11769,112.87,200.86,51.961,18.26,2.15E+05,66.825,7.86E+05,363.08,4.27E+06,
031919Abl_ET5,67,I,18153,427.12,392.13,49.246,18.58,3.37E+05,111.49,2.02E+06,281.76,5.11E+06,
031919Abl_ET5,68,I,19791,366.2,425.44,54.274,18.583,3.68E+05,111.61,2.21E+06,234.6,4.64E+06,
031919Abl_ET5,69,I,11221,234.65,425.13,54.984,18.454,2.07E+05,123.12,1.38E+06,253.67,2.85E+06,
031919Abl_ET5,70,I,29040,283.35,82.222,57.078,18.482,5.37E+05,91.469,2.66E+06,468,1.36E+07,
031919Abl_ET5,71,I,16863,204.38,110.2,54.697,18.355,3.10E+05,72.791,1.23E+06,535.99,9.04E+06,
031919Abl_ET5,72,I,12527,95.869,277.72,55.614,18.245,2.29E+05,58.381,7.31E+05,328.45,4.11E+06,
031919Abl_ET5,73,I,13857,393.65,106.89,59.014,18.514,2.57E+05,89.801,1.24E+06,406.82,5.64E+06,
031919Abl_ET5,74,I,18804,156.1,162.75,59.707,18.38,3.46E+05,54.758,1.03E+06,316.37,5.95E+06,
031919Abl_ET5,75,I,14628,133.46,238.03,60.206,18.308,2.68E+05,61.526,9.00E+05,364.25,5.33E+06,
031919Abl_ET5,76,I,42342,166.79,348.57,61.256,18.276,7.74E+05,62.429,2.64E+06,349.79,1.48E+07,
031919Abl_ET5,77,I,16618,462.22,225.13,63.239,18.525,3.08E+05,82.042,1.36E+06,454.49,7.55E+06,
031919Abl_ET5,78,I,21357,440,309.03,67.034,18.81,4.02E+05,99.359,2.12E+06,457.06,9.76E+06,
031919Abl_ET5,79,I,14493,427.78,167.75,67.417,18.684,2.71E+05,101.51,1.47E+06,438.84,6.36E+06,
031919Abl_ET5,80,I,15948,255.59,391.58,69.117,18.477,2.95E+05,81.679,1.30E+06,464.44,7.41E+06,
031919Abl_ET5,81,I,14913,186.42,213.74,69.507,18.35,2.74E+05,59.647,8.90E+05,372.26,5.55E+06,
031919Abl_ET5,82,I,28182,230.71,160.18,73.671,18.515,5.22E+05,78.843,2.22E+06,449.78,1.27E+07,
031919Abl_ET5,83,I,20439,304,132.55,72.864,18.382,3.76E+05,83.706,1.71E+06,443.79,9.07E+06,
031919Abl_ET5,84,I,28441,191.9,276.77,74.957,18.239,5.19E+05,56.79,1.62E+06,381.03,1.08E+07,
031919Abl_ET5,85,I,21408,369.77,340.96,76.237,18.55,3.97E+05,109.31,2.34E+06,405.84,8.69E+06,
031919Abl_ET5,86,I,11816,443.44,244.47,76.308,19.713,2.33E+05,37.369,4.42E+05,423.9,5.01E+06,
031919Abl_ET5,87,I,18461,376.25,224.38,78.408,18.605,3.43E+05,123.11,2.27E+06,408,7.53E+06,
031919Abl_ET5,88,I,30314,287.09,322.86,78.45,18.376,5.57E+05,85.787,2.60E+06,392.58,1.19E+07,
031919Abl_ET5,89,I,21640,289.78,222.68,79.192,18.356,3.97E+05,85.767,1.86E+06,438.92,9.50E+06,
