Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum, 
032819Abl_EV5,63,I,14644,289.64,441.72,84.098,17.463,2.56E+05,81.797,1.20E+06,426.45,6.25E+06,
032819Abl_EV5,64,I,17540,271.12,108.62,85.201,17.441,3.06E+05,104.99,1.84E+06,310.87,5.45E+06,
032819Abl_EV5,65,I,9748,435.73,274.13,86.347,17.516,1.71E+05,97.723,9.53E+05,377.02,3.68E+06,
032819Abl_EV5,66,I,10975,379.53,166.89,89.26,17.559,1.93E+05,96.856,1.06E+06,352.63,3.87E+06,
032819Abl_EV5,67,I,25109,132.53,209.45,88.746,17.305,4.35E+05,58.152,1.46E+06,292.57,7.35E+06,
032819Abl_EV5,68,I,26207,371.1,373.04,91.549,17.465,4.58E+05,77.942,2.04E+06,418.36,1.10E+07,
032819Abl_EV5,69,I,24348,149.95,280.19,96.564,17.361,4.23E+05,59.345,1.44E+06,366.25,8.92E+06,
032819Abl_EV5,70,I,14855,202.81,382.44,95.757,17.554,2.61E+05,66.757,9.92E+05,423.8,6.30E+06,
032819Abl_EV5,71,I,23175,366.05,246.71,100.88,17.377,4.03E+05,93.698,2.17E+06,425.92,9.87E+06,
032819Abl_EV5,72,I,25015,273.41,190.79,100.99,17.372,4.35E+05,81.249,2.03E+06,410.33,1.03E+07,
032819Abl_EV5,73,I,22965,244.32,335.62,101.69,17.415,4.00E+05,79.584,1.83E+06,439.76,1.01E+07,
