"Embryo_ID","Experiment","Litter","Cellcount","TE_ICM","Treatment","Stage","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","Identity.man","count","pc.icm"
"032414_G4KO_P1","032414_G4KO_P","P",78,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",31,"DN",0,0
"032414_G4KO_P2","032414_G4KO_P","P",97,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","wt",34,"DN",1,2.94117647058824
"032414_G4KO_P3","032414_G4KO_P","P",88,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","ko",22,"DN",1,4.54545454545455
"032414_G4KO_P5","032414_G4KO_P","P",87,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",36,"DN",2,5.55555555555556
"032414_G4KO_P6","032414_G4KO_P","P",70,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",28,"DN",0,0
"032414_G4KO_P7","032414_G4KO_P","P",82,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","ko",25,"DN",0,0
"032414_G4KO_Q1","032414_G4KO_Q","Q",159,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","het",72,"DN",0,0
"032414_G4KO_Q2","032414_G4KO_Q","Q",181,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","het",78,"DN",0,0
"032414_G4KO_Q3","032414_G4KO_Q","Q",158,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","het",63,"DN",0,0
"032414_G4KO_Q4","032414_G4KO_Q","Q",154,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","het",49,"DN",0,0
"032414_G4KO_Q5","032414_G4KO_Q","Q",147,"ICM","Littermate","120_150","CD1/mixed","any","wt","Gata4","het",64,"DN",0,0
"070714_G4KO_S2","070714_G4KO_S","S",172,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","wt",73,"DN",0,0
"070714_G4KO_S3","070714_G4KO_S","S",177,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","wt",82,"DN",0,0
"070714_G4KO_S4","070714_G4KO_S","S",132,"ICM","Littermate","120_150","CD1/mixed","any","wt","Gata4","wt",46,"DN",0,0
"070714_G4KO_S5","070714_G4KO_S","S",181,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","wt",79,"DN",0,0
"120313_G4KO_A10","120313_G4KO_A","A",55,"ICM","Littermate","32_64","CD1/mixed","any","wt","Gata4","het",30,"DN",4,13.3333333333333
"120313_G4KO_A2","120313_G4KO_A","A",62,"ICM","Littermate","32_64","CD1/mixed","any","wt","Gata4","het",32,"DN",11,34.375
"120313_G4KO_A3","120313_G4KO_A","A",61,"ICM","Littermate","32_64","CD1/mixed","any","wt","Gata4","het",27,"DN",0,0
"120313_G4KO_A4","120313_G4KO_A","A",88,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",26,"DN",2,7.69230769230769
"120313_G4KO_A5","120313_G4KO_A","A",61,"ICM","Littermate","32_64","CD1/mixed","any","wt","Gata4","het",28,"DN",6,21.4285714285714
"120313_G4KO_A6","120313_G4KO_A","A",71,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","ko",23,"DN",6,26.0869565217391
"120313_G4KO_A7","120313_G4KO_A","A",64,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",32,"DN",2,6.25
"120313_G4KO_A8","120313_G4KO_A","A",64,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","ko",32,"DN",4,12.5
"120313_G4KO_A9","120313_G4KO_A","A",62,"ICM","Littermate","32_64","CD1/mixed","any","wt","Gata4","het",25,"DN",4,16
"120513_G4KO_B1","120513_G4KO_B","B",93,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","ko",29,"DN",0,0
"120513_G4KO_B2","120513_G4KO_B","B",96,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","wt",29,"DN",0,0
"120513_G4KO_B3","120513_G4KO_B","B",92,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","het",29,"DN",0,0
"120513_G4KO_B4","120513_G4KO_B","B",98,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","het",34,"DN",0,0
"121613_G4KO_D1","121613_G4KO_D","D",114,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","wt",44,"DN",0,0
