"Embryo_ID","Cellcount","Stage","Genotype","icm.count","Identity.km","count","TE_ICM","Litter","Experiment","pc.icm","Gene"
"27Mar15Cdx2G6Nan_p7.xlsx",68,2,8,31,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"011314_2",90,2,8,18,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"011314_6",93,2,8,36,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"042314_2",52,1,8,15,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"051314_1",82,2,8,26,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"051314_6",82,2,8,23,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"051314_10",85,2,8,23,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"061114_2",69,2,8,18,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"061114_6",78,2,8,23,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"02Feb15 FR1_2_P19.xlsx",62,1,7,23,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"02Feb15 FR1_2_P2.xlsx",71,2,7,16,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"02Feb15 FR1_2_P27.xlsx",88,2,7,30,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"02Feb15 FR1_2_P5.xlsx",64,2,7,19,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"02Feb15 FR1_2_P8.xlsx",91,2,7,29,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"03May15 FR1_2 E35_2015_05_03__18_55_04__p12.xlsx",57,1,7,19,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"03May15 FR1_2 E35_2015_05_03__18_55_04__p13.xlsx",74,2,7,15,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"03May15 FR1_2 E35_2015_05_03__18_55_04__p20.xlsx",93,2,7,28,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"03May15 FR1_2 E35_2015_05_03__18_55_04__p21.xlsx",96,2,7,31,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"03May15 FR1_2 E35_2015_05_03__18_55_04__p25.xlsx",71,2,7,19,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"05Jan15 FR1_2_P2.xlsx",62,1,7,36,"DN",1,"ICM","no.litterID","no.experimentID",2.77777777777778,"FR1FR2"
"07FR1_2 Cdx2 G6 Nan E35_2015_04_07__13_34_00__p25.xlsx",51,1,7,20,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"07FR1_2 Cdx2 G6 Nan E35_2015_04_07__13_34_00__p30.xlsx",60,1,7,25,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"10May15 FR1_2 E35_2015_05_10__18_38_41__p01.xlsx",62,1,7,16,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"10May15 FR1_2 E35_2015_05_10__18_38_41__p07.xlsx",68,2,7,15,"DN",1,"ICM","no.litterID","no.experimentID",6.66666666666667,"FR1FR2"
"10May15 FR1_2 E35_2015_05_10__18_38_41__p13.xlsx",65,2,7,23,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"10May15 FR1_2 E35_2015_05_10__18_38_41__p14.xlsx",51,1,7,2,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"122414 FR1_2_P11.xlsx",109,3,7,20,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"122414 FR1_2_P5.xlsx",88,2,7,24,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"122414 FR1_2_P8.xlsx",165,3,7,60,"DN",18,"ICM","no.litterID","no.experimentID",30,"FR1FR2"
"13Feb15 FR2 Cdx2 G6 Nan E35_2015_02_13__14_44_45__p1.xlsx",92,2,7,23,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"13Feb15 FR2 Cdx2 G6 Nan E35_2015_02_13__14_44_45__p5.xlsx",102,3,7,29,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"17Feb15 FR1_2 Cdx2 G6 Nan E35__p5.xlsx",65,2,7,19,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"19May15 FR1_2_2015_05_19__15_35_58__p11.xlsx",85,2,7,26,"DN",1,"ICM","no.litterID","no.experimentID",3.84615384615385,"FR1FR2"
"20Aug15 FR2_FR1_2 E35_2015_08_20__14_28_55__p01_channel=0001_frame=0001_statistics.xlsx",60,1,7,24,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"20Aug15 FR2_FR1_2 E35_2015_08_20__14_28_55__p05_channel=0001_frame=0001_statistics.xlsx",37,1,7,9,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"20Aug15 FR2_FR1_2 E35_2015_08_20__14_28_55__p11_channel=0001_frame=0001_statistics.xlsx",62,1,7,24,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"26Mar15 FR2 E35_2015_03_26__11_13_51__p5.xlsx",92,2,7,28,"DN",2,"ICM","no.litterID","no.experimentID",7.14285714285714,"FR1FR2"
"27Mar15Cdx2G6Nan_p1.xlsx",59,1,7,19,"DN",1,"ICM","no.litterID","no.experimentID",5.26315789473684,"FR1FR2"
"27Mar15Cdx2G6Nan_p5.xlsx",66,2,7,30,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"012414_4",51,1,7,16,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"012414_5",71,2,7,22,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"012414_3",83,2,7,20,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"012414_8",83,2,7,19,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"041714_3",84,2,7,18,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"02Feb15 FR1_2_P15.xlsx",67,2,6,22,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"05Jan15 FR1_2_P12.xlsx",63,1,6,27,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"05Jan15 FR1_2_P16.xlsx",57,1,6,44,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"05Jan15 FR1_2_P19.xlsx",62,1,6,32,"DN",1,"ICM","no.litterID","no.experimentID",3.125,"FR1FR2"
"122414 FR1_2_P2.xlsx",107,3,6,33,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"17Feb15 FR1_2 Cdx2 G6 Nan E35__p2.xlsx",61,1,6,29,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"04NOv16_FR1E45_FR1single_2016_11_04__14_20_11__p06_channel=0001_frame=0001_statistics.xlsx",154,3,6,45,"DN",7,"ICM","no.litterID","no.experimentID",15.5555555555556,"FR1FR2"
"18Aug16_FR1_2_E45_2016_08_18__12_40_45__p1_channel=0001_frame=0001_statistics.xlsx",115,3,6,37,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"18Aug16_FR1_2_E45_2016_08_18__12_40_45__p2_channel=0001_frame=0001_statistics.xlsx",125,3,6,49,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"18Aug16_FR1_2_E45_2016_08_18__12_40_45__p7_channel=0001_frame=0001_statistics.xlsx",94,2,6,24,"DN",1,"ICM","no.litterID","no.experimentID",4.16666666666667,"FR1FR2"
"011314_7",97,2,6,29,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"041314_1",49,1,6,11,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"041314_7",63,1,6,4,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"041514_3",84,2,6,7,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"042314_3",60,1,6,23,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"051314_2",84,2,6,32,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"051314_8",86,2,6,32,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"02Feb15 FR1_2_P1.xlsx",64,2,5,26,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"02Feb15 FR1_2_P10.xlsx",72,2,5,13,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"02Feb15 FR1_2_P13.xlsx",62,1,5,28,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"02Feb15 FR1_2_P14.xlsx",72,2,5,18,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"02Feb15 FR1_2_P25.xlsx",37,1,5,13,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"02Feb15 FR1_2_P30.xlsx",63,1,5,22,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"02Feb15 FR1_2_P32.xlsx",67,2,5,23,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"02Feb15 FR1_2_P9.xlsx",58,1,5,26,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"03May15 FR1_2 E35_2015_05_03__18_55_04__p05.xlsx",73,2,5,13,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"03May15 FR1_2 E35_2015_05_03__18_55_04__p06.xlsx",91,2,5,23,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"03May15 FR1_2 E35_2015_05_03__18_55_04__p18.xlsx",67,2,5,26,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"03May15 FR1_2 E35_2015_05_03__18_55_04__p19.xlsx",56,1,5,23,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"03May15 FR1_2 E35_2015_05_03__18_55_04__p23.xlsx",68,2,5,20,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"05Jan15 FR1_2_P3.xlsx",60,1,5,34,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"05Jan15 FR1_2_P4.xlsx",57,1,5,24,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"05Jan15 FR1_2_P5.xlsx",63,1,5,32,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"07FR1_2 Cdx2 G6 Nan E35_2015_04_07__13_34_00__p05.xlsx",84,2,5,20,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"07FR1_2 Cdx2 G6 Nan E35_2015_04_07__13_34_00__p09.xlsx",100,3,5,35,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"07FR1_2 Cdx2 G6 Nan E35_2015_04_07__13_34_00__p11.xlsx",69,2,5,17,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"07FR1_2 Cdx2 G6 Nan E35_2015_04_07__13_34_00__p15.xlsx",64,2,5,30,"DN",1,"ICM","no.litterID","no.experimentID",3.33333333333333,"FR1FR2"
"10May15 FR1_2 E35_2015_05_10__18_38_41__p12.xlsx",64,2,5,22,"DN",1,"ICM","no.litterID","no.experimentID",4.54545454545455,"FR1FR2"
"122414 FR1_2_P10.xlsx",144,3,5,80,"DN",30,"ICM","no.litterID","no.experimentID",37.5,"FR1FR2"
"122414 FR1_2_P12.xlsx",88,2,5,20,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"122414 FR1_2_P4.xlsx",154,3,5,92,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"17Feb15 FR1_2 Cdx2 G6 Nan E35__p7.xlsx",64,2,5,22,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"18Jun15 FR1_FR12_E35_2015_06_18__11_19_45__p02_channel=0001_frame=0001_statistics.xlsx",92,2,5,22,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"18Jun15 FR1_FR12_E35_2015_06_18__11_19_45__p05_channel=0001_frame=0001_statistics.xlsx",105,3,5,24,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"18Jun15 FR1_FR12_E35_2015_06_18__11_19_45__p06_channel=0001_frame=0001_statistics.xlsx",95,2,5,29,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"19May15 FR1_2_2015_05_19__15_35_58__p07.xlsx",77,2,5,24,"DN",1,"ICM","no.litterID","no.experimentID",4.16666666666667,"FR1FR2"
"19May15 FR1_2_2015_05_19__15_35_58__p09.xlsx",65,2,5,21,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"20Aug15 FR2_FR1_2 E35_2015_08_20__14_28_55__p08_channel=0001_frame=0001_statistics.xlsx",51,1,5,13,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"20Aug15 FR2_FR1_2 E35_2015_08_20__14_28_55__p14_channel=0001_frame=0001_statistics.xlsx",61,1,5,24,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"20Aug15 FR2_FR1_2 E35_2015_08_20__14_28_55__p17_channel=0001_frame=0001_statistics.xlsx",65,2,5,32,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"20Aug15 FR2_FR1_2 E35_2015_08_20__14_28_55__p20_channel=0001_frame=0001_statistics.xlsx",33,1,5,9,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"20Aug15 FR2_FR1_2 E35_2015_08_20__14_28_55__p21_channel=0001_frame=0001_statistics.xlsx",26,0,5,0,"DN",0,"ICM","no.litterID","no.experimentID",NA,"FR1FR2"
"23Jan15 FR1_2_P10.xlsx",76,2,5,16,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"23Jan15 FR1_2_P8.xlsx",77,2,5,22,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"27Mar15Cdx2G6Nan_p3.xlsx",54,1,5,19,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"04NOv16_FR1E45_FR1single_2016_11_04__14_20_11__p07_channel=0001_frame=0001_statistics.xlsx",126,3,5,41,"DN",10,"ICM","no.litterID","no.experimentID",24.390243902439,"FR1FR2"
"04NOv16_FR1E45_FR1single_2016_11_04__14_20_11__p08_channel=0001_frame=0001_statistics.xlsx",98,2,5,33,"DN",2,"ICM","no.litterID","no.experimentID",6.06060606060606,"FR1FR2"
"27Oct16_FR12_FR12FGF_FR2FGF_2016_10_27__06_36_30__p01_channel=0001_frame=0001_statistics.xlsx",151,3,5,35,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"27Oct16_FR12_FR12FGF_FR2FGF_2016_10_27__06_36_30__p04_channel=0001_frame=0001_statistics.xlsx",129,3,5,26,"DN",3,"ICM","no.litterID","no.experimentID",11.5384615384615,"FR1FR2"
"27Oct16_FR12_FR12FGF_FR2FGF_2016_10_27__06_36_30__p07_channel=0001_frame=0001_statistics.xlsx",104,3,5,22,"DN",2,"ICM","no.litterID","no.experimentID",9.09090909090909,"FR1FR2"
"041015_1",98,2,5,14,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"041314_4",87,2,5,16,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"041314_5",78,2,5,17,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"050114_2",95,2,5,22,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"050114_3",107,3,5,25,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"050114_7",96,2,5,25,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"051314_9",86,2,5,26,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"061114_1",83,2,5,23,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"061114_4",93,2,5,22,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"061114_7",73,2,5,20,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"061114_8",77,2,5,25,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"02Feb15 FR1_2_P21.xlsx",63,1,4,1,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"03May15 FR1_2 E35_2015_05_03__18_55_04__p22.xlsx",106,3,4,30,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"05Jan15 FR1_2_P10.xlsx",39,1,4,21,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"05Jan15 FR1_2_P13.xlsx",60,1,4,25,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"05Jan15 FR1_2_P14.xlsx",70,2,4,27,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"05Jan15 FR1_2_P18.xlsx",54,1,4,30,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"05Jan15 FR1_2_P20.xlsx",61,1,4,43,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"05Jan15 FR1_2_P7.xlsx",62,1,4,33,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"05Jan15 FR1_2_P9.xlsx",64,2,4,33,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
"07FR1_2 Cdx2 G6 Nan E35_2015_04_07__13_34_00__p20.xlsx",61,1,4,23,"DN",0,"ICM","no.litterID","no.experimentID",0,"FR1FR2"
