Embryo_ID,Cell_ID, Size, TE_ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
032317Abl_I1,38,973,ICM,179.27,317.61,32.518,1519.3,1.48E+06,224.51,2.18E+05,47.954,46659,979.32,9.53E+05,649.02,6.32E+05,
032317Abl_I1,39,4953,ICM,201.11,273.62,32.236,1232.9,6.11E+06,88.412,4.38E+05,347.01,1.72E+06,907.49,4.49E+06,261.56,1.30E+06,
032317Abl_I1,40,13707,TE,319.67,362.02,39.53,1289.1,1.77E+07,26.098,3.58E+05,30.041,4.12E+05,883.69,1.21E+07,192.02,2.63E+06,
032317Abl_I1,41,10905,TE,349.69,150.32,39.154,1378.8,1.50E+07,25.879,2.82E+05,42.997,4.69E+05,918.36,1.00E+07,182.96,2.00E+06,
032317Abl_I1,42,642,ICM,194.34,222.75,34.787,1152.3,7.40E+05,118.16,75859,154.4,99125,1052.9,6.76E+05,434.65,2.79E+05,
032317Abl_I1,43,4135,ICM,236.47,320.81,38.987,836.59,3.46E+06,129.35,5.35E+05,119.11,4.93E+05,966.79,4.00E+06,524.39,2.17E+06,
032317Abl_I1,44,7461,ICM,226.92,181.75,41.041,910.43,6.79E+06,94.206,7.03E+05,250.5,1.87E+06,956.12,7.13E+06,343.84,2.57E+06,
032317Abl_I1,46,11246,ICM,204.97,212.69,41.069,975.38,1.10E+07,112.42,1.26E+06,61.481,6.91E+05,956.88,1.08E+07,591.77,6.66E+06,
032317Abl_I1,47,10844,ICM,172.81,232.57,43.886,941.72,1.02E+07,74.716,8.10E+05,295.81,3.21E+06,908.12,9.85E+06,240.19,2.60E+06,
032317Abl_I1,48,8375,ICM,173.72,264.21,44.035,971.06,8.13E+06,144.83,1.21E+06,187.52,1.57E+06,917.28,7.68E+06,352.54,2.95E+06,
032317Abl_I1,49,7808,TE,253.89,357.2,42.603,843.18,6.58E+06,29.413,2.30E+05,26.14,2.04E+05,978.65,7.64E+06,191.07,1.49E+06,
032317Abl_I1,50,16863,TE,291.79,143.96,47.268,919.39,1.55E+07,26.428,4.46E+05,31.502,5.31E+05,892.11,1.50E+07,148.16,2.50E+06,
032317Abl_I1,51,16069,TE,206.02,180.43,50.398,798.42,1.28E+07,33.521,5.39E+05,46.587,7.49E+05,906.6,1.46E+07,219.86,3.53E+06,
032317Abl_I1,52,6984,ICM,219.03,253.07,46.526,608.23,4.25E+06,111.88,7.81E+05,41.472,2.90E+05,952.24,6.65E+06,477.97,3.34E+06,
032317Abl_I1,53,15828,TE,385.84,184.9,48.993,1004.1,1.59E+07,26.629,4.21E+05,23.44,3.71E+05,884.98,1.40E+07,151.85,2.40E+06,
032317Abl_I1,54,16605,TE,415.81,295.04,50.295,814.37,1.35E+07,23.304,3.87E+05,26.75,4.44E+05,879.72,1.46E+07,112.88,1.87E+06,
032317Abl_I1,55,12218,TE,225.77,292.58,49.85,603.85,7.38E+06,48.276,5.90E+05,243.8,2.98E+06,912.93,1.12E+07,99.104,1.21E+06,
032317Abl_I1,56,13901,TE,366.48,346.72,49.912,958.92,1.33E+07,25.38,3.53E+05,45.084,6.27E+05,909.57,1.26E+07,172.5,2.40E+06,
032317Abl_I1,57,12042,TE,422.16,237.05,50.329,1169.2,1.41E+07,25.903,3.12E+05,25.16,3.03E+05,883.46,1.06E+07,167.44,2.02E+06,
032317Abl_I1,58,13318,TE,195.42,317.04,55.297,612.4,8.16E+06,23.718,3.16E+05,25.426,3.39E+05,962.47,1.28E+07,101.06,1.35E+06,
032317Abl_I1,59,5938,TE,219.41,231.77,54.116,466.08,2.77E+06,60.146,3.57E+05,136.55,8.11E+05,834.18,4.95E+06,177.5,1.05E+06,
032317Abl_I1,60,15719,TE,244.66,333.97,57.815,457.28,7.19E+06,21.161,3.33E+05,22.759,3.58E+05,856.54,1.35E+07,106.72,1.68E+06,
032317Abl_I1,61,16480,TE,240.02,186.73,58.72,421.03,6.94E+06,22.206,3.66E+05,26.441,4.36E+05,863.95,1.42E+07,79.02,1.30E+06,
032317Abl_I1,62,12189,TE,184.54,228.35,58.417,419.62,5.11E+06,26.989,3.29E+05,39.015,4.76E+05,942.96,1.15E+07,120.31,1.47E+06,
032317Abl_I1,63,15448,TE,289.04,332.63,63.106,335.53,5.18E+06,17.599,2.72E+05,23.56,3.64E+05,1068.2,1.65E+07,78.923,1.22E+06,
032317Abl_I1,64,20610,TE,303.93,174.83,63.536,498.7,1.03E+07,18.074,3.73E+05,19.714,4.06E+05,1054.2,2.17E+07,98.992,2.04E+06,
032317Abl_I1,65,2364,TE,422.52,276.28,62.31,843.3,1.99E+06,23.46,55459,22.308,52735,712.6,1.68E+06,74.179,1.75E+05,
032317Abl_I1,66,14458,TE,250.67,225.27,64.92,427.92,6.19E+06,18.905,2.73E+05,23.431,3.39E+05,848.55,1.23E+07,111.34,1.61E+06,
032317Abl_I1,67,9989,TE,397.15,251.23,65.349,442.39,4.42E+06,18.572,1.86E+05,23.281,2.33E+05,1041.4,1.04E+07,85.037,8.49E+05,
032317Abl_I1,68,10237,TE,221.83,271.23,64.09,280.36,2.87E+06,22.568,2.31E+05,34.084,3.49E+05,860.73,8.81E+06,79.118,8.10E+05,
032317Abl_I1,69,14472,TE,349.36,314.95,65.576,389.84,5.64E+06,17.071,2.47E+05,18.846,2.73E+05,1076.5,1.56E+07,70.727,1.02E+06,
032317Abl_I1,70,15809,TE,267.24,280.5,65.854,435.65,6.89E+06,16.365,2.59E+05,18.284,2.89E+05,1017.6,1.61E+07,75.239,1.19E+06,
032317Abl_I1,71,12047,TE,349.98,238.08,67.211,756.7,9.12E+06,18.762,2.26E+05,17.72,2.13E+05,1027.5,1.24E+07,75.108,9.05E+05,
