Embryo_ID,Cell_ID, Size, TE_ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
033017Abl_P1,1,19199,TE,303.85,218.47,5.5226,1696.6,3.26E+07,43.966,8.44E+05,48.613,9.33E+05,1082.2,2.08E+07,362.24,6.95E+06,
033017Abl_P1,2,11219,TE,288.35,273.03,5.9005,1759.9,1.97E+07,39.937,4.48E+05,48.568,5.45E+05,1071.9,1.20E+07,273.92,3.07E+06,
033017Abl_P1,3,12096,TE,214.22,286.31,8.9521,2503.5,3.03E+07,64.313,7.78E+05,43.03,5.20E+05,1027.5,1.24E+07,104.68,1.27E+06,
033017Abl_P1,4,16814,TE,197.67,193.01,11.422,2412.3,4.06E+07,36.061,6.06E+05,39.02,6.56E+05,1124.2,1.89E+07,97.402,1.64E+06,
033017Abl_P1,6,11210,ICM,189.02,248.64,13.554,2783.4,3.12E+07,82.992,9.30E+05,520.01,5.83E+06,1085,1.22E+07,211.81,2.37E+06,
033017Abl_P1,7,5528,TE,157.29,202.52,15.693,3249.2,1.80E+07,55.255,3.05E+05,53.917,2.98E+05,1050.5,5.81E+06,146.76,8.11E+05,
033017Abl_P1,8,5339,TE,134.13,240.5,18.344,3092.2,1.65E+07,49.913,2.66E+05,45.319,2.42E+05,1153.3,6.16E+06,123.99,6.62E+05,
033017Abl_P1,9,7167,ICM,156.9,269.43,19.073,2117.2,1.52E+07,333.51,2.39E+06,85.991,6.16E+05,1135.6,8.14E+06,1068.7,7.66E+06,
033017Abl_P1,10,6605,TE,337.31,327.09,17.031,1825.8,1.21E+07,33.057,2.18E+05,40.182,2.65E+05,1066.8,7.05E+06,177.2,1.17E+06,
033017Abl_P1,11,9587,ICM,215.24,264.05,21.108,2216.6,2.13E+07,516.92,4.96E+06,55.449,5.32E+05,1023.6,9.81E+06,668.38,6.41E+06,
033017Abl_P1,12,16276,TE,266.37,347.64,19.505,1687.1,2.75E+07,33.302,5.42E+05,36.009,5.86E+05,1045.7,1.70E+07,201.86,3.29E+06,
033017Abl_P1,13,9059,TE,127.24,293.27,21.815,2755.8,2.50E+07,56.687,5.14E+05,44.747,4.05E+05,1111.5,1.01E+07,264.61,2.40E+06,
033017Abl_P1,14,10944,ICM,180.76,301.24,20.265,2296.4,2.51E+07,96.966,1.06E+06,198.38,2.17E+06,1063.7,1.16E+07,586.33,6.42E+06,
033017Abl_P1,15,7831,TE,188.8,351.4,22.067,2391.6,1.87E+07,49.936,3.91E+05,44.95,3.52E+05,1093.9,8.57E+06,223.41,1.75E+06,
033017Abl_P1,16,5632,ICM,206.55,296.51,21.876,2156.3,1.21E+07,418.87,2.36E+06,86.693,4.88E+05,1047.9,5.90E+06,774.55,4.36E+06,
033017Abl_P1,17,7480,ICM,158.09,321.53,23.196,2112.7,1.58E+07,64.386,4.82E+05,435.33,3.26E+06,1084,8.11E+06,83.774,6.27E+05,
033017Abl_P1,19,7916,TE,344.84,174.03,25.177,1956.2,1.55E+07,30.508,2.42E+05,45.507,3.60E+05,1052.3,8.33E+06,144.02,1.14E+06,
033017Abl_P1,20,11237,ICM,176.99,222.71,24.823,2482.9,2.79E+07,363.87,4.09E+06,56.546,6.35E+05,1089.7,1.22E+07,294.25,3.31E+06,
033017Abl_P1,21,14428,TE,406.82,249.47,27.462,1608.2,2.32E+07,28.804,4.16E+05,33.105,4.78E+05,1076.1,1.55E+07,92.626,1.34E+06,
033017Abl_P1,22,9533,TE,385.66,308.38,26.061,885.95,8.45E+06,26.046,2.48E+05,27.853,2.66E+05,921.73,8.79E+06,87.781,8.37E+05,
033017Abl_P1,23,6011,TE,352.98,349.89,26.594,1536.3,9.24E+06,28.253,1.70E+05,47.629,2.86E+05,1007.5,6.06E+06,106.21,6.38E+05,
033017Abl_P1,24,8646,ICM,148.65,187.45,27.194,1886.5,1.63E+07,53.128,4.59E+05,335.78,2.90E+06,1122.4,9.70E+06,86.914,7.51E+05,
033017Abl_P1,25,11029,TE,191.41,143.81,29.585,1400.1,1.54E+07,27.964,3.08E+05,30.746,3.39E+05,1119.6,1.23E+07,111.45,1.23E+06,
033017Abl_P1,26,7198,ICM,115.67,267.43,29.816,1971.5,1.42E+07,336.45,2.42E+06,47.672,3.43E+05,1025.9,7.38E+06,574.19,4.13E+06,
033017Abl_P1,27,9107,TE,84.927,251.64,33.05,2426.5,2.21E+07,57.531,5.24E+05,41.07,3.74E+05,1059.4,9.65E+06,90.716,8.26E+05,
033017Abl_P1,28,5951,TE,219.82,380.27,32.739,1876.4,1.12E+07,37.684,2.24E+05,35.902,2.14E+05,1100.4,6.55E+06,226.08,1.35E+06,
033017Abl_P1,29,6359,ICM,176.67,275.27,31.221,1638.2,1.04E+07,376.44,2.39E+06,53.735,3.42E+05,1091.3,6.94E+06,549.31,3.49E+06,
033017Abl_P1,30,7393,ICM,196.82,326.09,31.404,1469.1,1.09E+07,387.12,2.86E+06,50.233,3.71E+05,1016.8,7.52E+06,529,3.91E+06,
033017Abl_P1,31,10940,ICM,160.64,321.46,35.422,1938.6,2.12E+07,42.311,4.63E+05,141.46,1.55E+06,1053.7,1.15E+07,63.573,6.95E+05,
033017Abl_P1,32,10338,ICM,186.67,196.94,35.063,1462.2,1.51E+07,285.99,2.96E+06,48.113,4.97E+05,1057.9,1.09E+07,523.59,5.41E+06,
033017Abl_P1,33,5255,ICM,131.55,236.53,34.241,1875.3,9.85E+06,56.018,2.94E+05,373.49,1.96E+06,1051.9,5.53E+06,77.203,4.06E+05,
033017Abl_P1,34,9984,TE,120.09,173.55,38.335,1583.9,1.58E+07,37.542,3.75E+05,39.54,3.95E+05,1107.9,1.11E+07,141.8,1.42E+06,
033017Abl_P1,35,11887,ICM,148.18,204.55,36.274,1696.6,2.02E+07,41.832,4.97E+05,240.73,2.86E+06,1014,1.21E+07,62.446,7.42E+05,
033017Abl_P1,36,12201,ICM,147.22,268.26,36.836,1649,2.01E+07,57.871,7.06E+05,198.04,2.42E+06,1135.7,1.39E+07,116.69,1.42E+06,
033017Abl_P1,37,6667,TE,352.58,122.59,41.066,2352.4,1.57E+07,33.748,2.25E+05,27.653,1.84E+05,1050.7,7.01E+06,92.725,6.18E+05,
033017Abl_P1,38,14697,ICM,109.68,223.96,43.274,1277.8,1.88E+07,41.439,6.09E+05,274.85,4.04E+06,1094.3,1.61E+07,66.462,9.77E+05,
