Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
092117Pdgfra_BQ5,1,TE,I,12980,281.72,275.74,4.2545,1708.1,2.22E+07,40.708,5.28E+05,126.02,1.64E+06,1440.1,1.87E+07,81.778,1.06E+06
092117Pdgfra_BQ5,2,TE,I,12454,282.51,200.36,7.2607,2260.9,2.82E+07,42.979,5.35E+05,87.517,1.09E+06,1421.2,1.77E+07,52.409,6.53E+05
092117Pdgfra_BQ5,3,TE,I,15630,222.02,184.89,9.3617,2543.2,3.98E+07,34.845,5.45E+05,81.84,1.28E+06,1304.2,2.04E+07,40.806,6.38E+05
092117Pdgfra_BQ5,4,ICM,I,13302,227.33,245.42,9.0212,1576.1,2.10E+07,50.307,6.69E+05,137.43,1.83E+06,1395.1,1.86E+07,221.24,2.94E+06
092117Pdgfra_BQ5,5,TE,I,10709,187.7,259.81,7.1611,2056.2,2.20E+07,34.928,3.74E+05,91.265,9.77E+05,1335.2,1.43E+07,71.819,7.69E+05
092117Pdgfra_BQ5,6,ICM,I,13060,222.26,289.4,12.268,1508.6,1.97E+07,182.41,2.38E+06,167.68,2.19E+06,1382.5,1.81E+07,139.13,1.82E+06
092117Pdgfra_BQ5,8,TE,I,14943,178.98,326.27,15.523,2466.3,3.69E+07,35.647,5.33E+05,79.189,1.18E+06,1519.5,2.27E+07,36.395,5.44E+05
092117Pdgfra_BQ5,9,TE,I,12105,244.2,348.35,16.538,2480.5,3.00E+07,35.494,4.30E+05,78.828,9.54E+05,1381.3,1.67E+07,37.414,4.53E+05
092117Pdgfra_BQ5,10,ICM,I,9605,159.29,261.72,17.261,1815.6,1.74E+07,143.31,1.38E+06,198.87,1.91E+06,1409,1.35E+07,52.409,5.03E+05
092117Pdgfra_BQ5,11,ICM,I,8070,238.97,214.15,18.093,1360,1.10E+07,32.413,2.62E+05,107.52,8.68E+05,1274.1,1.03E+07,311.59,2.51E+06
092117Pdgfra_BQ5,12,TE,I,16167,342.5,160.52,23.429,1935.1,3.13E+07,27.935,4.52E+05,58.19,9.41E+05,1301.9,2.10E+07,36.106,5.84E+05
092117Pdgfra_BQ5,13,ICM,I,10177,249.54,174.6,21.638,1646.1,1.68E+07,72.013,7.33E+05,109.84,1.12E+06,1332.6,1.36E+07,272.35,2.77E+06
092117Pdgfra_BQ5,14,ICM,I,11316,201.58,206.97,22.648,1544.8,1.75E+07,70.997,8.03E+05,115.12,1.30E+06,1357.9,1.54E+07,112.87,1.28E+06
092117Pdgfra_BQ5,15,ICM,I,11417,213.66,331.84,24.163,2007.4,2.29E+07,65.825,7.52E+05,111.65,1.27E+06,1395.4,1.59E+07,211.05,2.41E+06
092117Pdgfra_BQ5,16,TE,I,15165,298.9,379.76,24.865,1691.4,2.57E+07,27.504,4.17E+05,54.984,8.34E+05,1410.4,2.14E+07,27.467,4.17E+05
092117Pdgfra_BQ5,17,ICM,I,9851,214.73,250.83,23.188,1118.7,1.10E+07,35.177,3.47E+05,89.383,8.81E+05,1366.4,1.35E+07,183.69,1.81E+06
092117Pdgfra_BQ5,18,ICM,I,9061,208.89,296.31,24.196,1581.4,1.43E+07,73.388,6.65E+05,96.521,8.75E+05,1353.5,1.23E+07,142.31,1.29E+06
092117Pdgfra_BQ5,19,TE,I,11416,265.53,133.41,27.85,1900.5,2.17E+07,34.04,3.89E+05,68.387,7.81E+05,1420.5,1.62E+07,35.034,4.00E+05
092117Pdgfra_BQ5,20,ICM,I,10602,123.62,254.31,27.971,1618.7,1.72E+07,32.009,3.39E+05,85.584,9.07E+05,1438.9,1.53E+07,62.549,6.63E+05
092117Pdgfra_BQ5,21,ICM,I,17467,156.13,286.27,28.13,1362.3,2.38E+07,104.22,1.82E+06,214.21,3.74E+06,1455.1,2.54E+07,62.9,1.10E+06
092117Pdgfra_BQ5,22,ICM,I,12169,185.6,166.82,28.575,1118.6,1.36E+07,51.714,6.29E+05,104.41,1.27E+06,1381.3,1.68E+07,167.54,2.04E+06
092117Pdgfra_BQ5,23,TE,I,13619,402.84,305.15,30.95,1375,1.87E+07,23.072,3.14E+05,51.039,6.95E+05,1380.3,1.88E+07,26.982,3.67E+05
092117Pdgfra_BQ5,24,TE,I,12770,220.7,136.79,33.304,1883.1,2.40E+07,30.009,3.83E+05,69.629,8.89E+05,1503.9,1.92E+07,53.696,6.86E+05
092117Pdgfra_BQ5,25,ICM,I,7839,143.49,205.88,28.647,1590.1,1.25E+07,107.68,8.44E+05,157.69,1.24E+06,1437.8,1.13E+07,50.785,3.98E+05
092117Pdgfra_BQ5,26,ICM,I,9400,195.43,355.21,32.265,1383,1.30E+07,41.506,3.90E+05,100.33,9.43E+05,1452,1.36E+07,383.29,3.60E+06
092117Pdgfra_BQ5,27,TE,I,14045,126.64,192.62,37.565,1894.2,2.66E+07,30.771,4.32E+05,64.811,9.10E+05,1440.7,2.02E+07,63.648,8.94E+05
092117Pdgfra_BQ5,28,ICM,I,12051,146.86,335.1,34.348,1085.2,1.31E+07,106.78,1.29E+06,119.69,1.44E+06,1439.8,1.74E+07,79.269,9.55E+05
