"Stage","Gene1","Genotype1","Identity","mean.icm.size","N.embryos","mean.pc.icm","median.pc.icm","sd.pc.icm"
"32_64","Fgf4","het","PRE",17,1,35.2941176470588,35.2941176470588,NA
"32_64","Fgf4","het","DP",17,1,0,0,NA
"32_64","Fgf4","het","EPI.lo",17,1,0,0,NA
"32_64","Fgf4","het","all.EPI",17,1,76.4705882352941,76.4705882352941,NA
"64_90","Fgf4","het","PRE",26.7333333333333,15,39.7468146940434,43.3333333333333,15.37157636534
"64_90","Fgf4","het","DP",26.7333333333333,15,10.5747126436782,0,19.0802248388014
"64_90","Fgf4","het","EPI.lo",26.7333333333333,15,0,0,0
"64_90","Fgf4","het","all.EPI",26.7333333333333,15,50.3016610680755,52,15.2647210610471
"90_120","Fgf4","het","PRE",37.375,8,39.931431694807,44.5624195624196,16.8697172775481
"90_120","Fgf4","het","DP",37.375,8,7.61434511434511,0,12.8162812057638
"90_120","Fgf4","het","EPI.lo",37.375,8,0,0,0
"90_120","Fgf4","het","all.EPI",37.375,8,51.4753597119844,54.004329004329,17.4542153008783
