"Stage","Genotype1","Identity","mean.icm.size","N.embryos","mean.pc.icm","median.pc.icm","sd.pc.icm"
"32_64","wt","PRE",20.0178571428571,56,16.6767650855101,12.2222222222222,18.0564343171903
"32_64","wt","DP",20.0178571428571,56,77.1177244746996,86.3636363636364,23.9092221333924
"32_64","wt","EPI.lo",20.0178571428571,56,0.176470588235294,0,0.942512420828589
"32_64","wt","all.EPI",20.0178571428571,56,6.20551043979023,3.39861751152074,9.62312401447085
"64_90","wt","PRE",24.8133333333333,75,41.2958473192374,43.4782608695652,16.3214384709111
"64_90","wt","DP",24.8133333333333,75,34.6196267076881,31.5789473684211,27.0181660963979
"64_90","wt","EPI.lo",24.8133333333333,75,0.554455373046078,0,2.32911182040581
"64_90","wt","all.EPI",24.8133333333333,75,24.0011111799823,22.2222222222222,16.4114095622617
"90_120","wt","PRE",33.3939393939394,33,49.3147639619841,52.6315789473684,10.9118389209808
"90_120","wt","DP",33.3939393939394,33,11.703869275163,5.12820512820513,14.9933458165551
"90_120","wt","EPI.lo",33.3939393939394,33,2.80329401121632,0,4.5740456743747
"90_120","wt","all.EPI",33.3939393939394,33,38.3990995676824,39.2857142857143,12.113950491455
