Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,targeted
051419Abl_FA7,1,I,9678,245.79,216.15,4.3273,22.236,2.15E+05,384.1,3.72E+06,373.17,3.61E+06,F
051419Abl_FA7,2,I,13742,156.79,184.12,5.6495,22.547,3.10E+05,355.28,4.88E+06,409.56,5.63E+06,F
051419Abl_FA7,3,M,11694,162.88,239.18,5.4891,22.011,2.57E+05,218.85,2.56E+06,402.05,4.70E+06,F
051419Abl_FA7,4,M,15977,211.25,290.06,6.6267,21.74,3.47E+05,181.47,2.90E+06,371.1,5.93E+06,F
051419Abl_FA7,5,I,15443,273.11,236.11,12.443,22.872,3.53E+05,307.63,4.75E+06,328.86,5.08E+06,F
051419Abl_FA7,6,I,17129,139.89,299.19,9.3642,21.656,3.71E+05,253.45,4.34E+06,458.8,7.86E+06,F
051419Abl_FA7,9,I,14789,194.09,213.25,12.626,22.136,3.27E+05,312.1,4.62E+06,415.92,6.15E+06,F
051419Abl_FA7,10,I,10421,222.34,249.88,12.533,22.315,2.33E+05,406.23,4.23E+06,396.49,4.13E+06,F
051419Abl_FA7,11,I,22250,294.57,287.3,10.251,22.129,4.92E+05,252.61,5.62E+06,375.59,8.36E+06,F
051419Abl_FA7,12,I,14063,215.9,147.72,18.043,22.164,3.12E+05,378.58,5.32E+06,398.89,5.61E+06,F
051419Abl_FA7,13,I,15350,152.37,181.75,17.586,22.45,3.45E+05,403.73,6.20E+06,372.54,5.72E+06,F
051419Abl_FA7,16,I,16893,283.7,177.68,18.15,21.812,3.68E+05,303.75,5.13E+06,397.74,6.72E+06,F
051419Abl_FA7,17,I,19069,125.37,247.44,17.72,21.147,4.03E+05,243.44,4.64E+06,373.93,7.13E+06,F
051419Abl_FA7,18,I,9578,282.34,311.47,18.289,22.475,2.15E+05,342.29,3.28E+06,391.69,3.75E+06,F
051419Abl_FA7,19,I,11715,133.1,148.22,20.264,21.63,2.53E+05,328.2,3.84E+06,387.77,4.54E+06,F
051419Abl_FA7,20,I,15230,370.76,250.04,18.097,23.119,3.52E+05,253.27,3.86E+06,356.65,5.43E+06,F
051419Abl_FA7,21,I,12364,323.9,288.39,19.627,21.61,2.67E+05,266.63,3.30E+06,339.02,4.19E+06,F
051419Abl_FA7,22,M,17383,176.06,304.28,21.32,20.854,3.63E+05,164.6,2.86E+06,399.12,6.94E+06,F
051419Abl_FA7,24,I,12431,214.53,203.33,21.545,21.636,2.69E+05,274.38,3.41E+06,384.97,4.79E+06,F
051419Abl_FA7,25,I,14665,230.87,286.91,19.859,21.277,3.12E+05,216.72,3.18E+06,360.81,5.29E+06,F
051419Abl_FA7,26,I,11151,246.06,338.15,21.486,21.351,2.38E+05,249.47,2.78E+06,337.12,3.76E+06,F
051419Abl_FA7,27,I,11721,342.85,178.55,21.866,22.472,2.63E+05,279.4,3.27E+06,382.67,4.49E+06,F
051419Abl_FA7,28,I,17239,87.416,210.88,25.148,21.851,3.77E+05,375.8,6.48E+06,388.89,6.70E+06,F
051419Abl_FA7,29,I,12419,418.82,249.76,24.168,22.47,2.79E+05,321.02,3.99E+06,369.09,4.58E+06,F
051419Abl_FA7,30,I,10635,360.01,339.06,25.58,22.012,2.34E+05,321.08,3.41E+06,474.43,5.05E+06,F
051419Abl_FA7,31,I,10606,196.87,343.66,25.615,20.49,2.17E+05,236.75,2.51E+06,372.07,3.95E+06,F
051419Abl_FA7,32,I,9356,148.23,358.82,25.726,21.527,2.01E+05,255.05,2.39E+06,406.02,3.80E+06,F
051419Abl_FA7,33,I,10066,271.4,379.58,26.246,22.069,2.22E+05,257.94,2.60E+06,397.15,4.00E+06,F
051419Abl_FA7,34,I,11534,144.46,222.23,27.377,20.896,2.41E+05,295.25,3.41E+06,379.03,4.37E+06,F
051419Abl_FA7,35,I,12585,201.77,258.84,27.983,20.475,2.58E+05,213.8,2.69E+06,396.38,4.99E+06,F
051419Abl_FA7,36,I,15828,387.75,185.12,26.807,21.503,3.40E+05,259.19,4.10E+06,388.18,6.14E+06,F
051419Abl_FA7,37,I,12063,256.87,227.59,27.588,21.037,2.54E+05,202.75,2.45E+06,384.12,4.63E+06,F
051419Abl_FA7,38,I,11245,128.77,273.92,27.23,20.768,2.34E+05,256.61,2.89E+06,368.46,4.14E+06,F
051419Abl_FA7,39,I,8619,277.25,136.27,29.344,21.34,1.84E+05,275.17,2.37E+06,396.37,3.42E+06,F
051419Abl_FA7,40,I,11046,198.25,382.95,31.066,21.174,2.34E+05,275.44,3.04E+06,374.44,4.14E+06,F
051419Abl_FA7,41,I,10924,243.73,172.9,30.328,20.808,2.27E+05,225.01,2.46E+06,342.67,3.74E+06,F
051419Abl_FA7,43,I,14888,201.1,205.24,29.958,20.815,3.10E+05,277.72,4.13E+06,401.21,5.97E+06,F
051419Abl_FA7,44,I,9692,419.68,318.18,30.549,22.602,2.19E+05,375.89,3.64E+06,457.59,4.44E+06,F
051419Abl_FA7,45,I,13435,147.46,168.19,29.868,20.809,2.80E+05,270.46,3.63E+06,360.79,4.85E+06,F
051419Abl_FA7,46,I,10651,319.19,361.99,31.245,21.498,2.29E+05,221.02,2.35E+06,407.01,4.34E+06,F
051419Abl_FA7,47,I,8535,187.81,134.47,33.383,20.469,1.75E+05,180.93,1.54E+06,348.27,2.97E+06,F
051419Abl_FA7,48,I,12391,326.79,143.68,33.902,21.171,2.62E+05,210.18,2.60E+06,443.33,5.49E+06,F
051419Abl_FA7,49,I,14130,242.15,293.56,33.88,20.227,2.86E+05,139.91,1.98E+06,369.21,5.22E+06,F
051419Abl_FA7,50,I,19192,154.13,313.47,34.888,20.463,3.93E+05,203.64,3.91E+06,365.99,7.02E+06,F
051419Abl_FA7,51,I,8552,453.31,265.78,35.691,22.105,1.89E+05,351.25,3.00E+06,395.62,3.38E+06,F
051419Abl_FA7,52,I,20042,293.55,285.24,37.789,19.485,3.91E+05,112.44,2.25E+06,351.6,7.05E+06,F
051419Abl_FA7,54,I,14317,106.77,284.35,37.275,20.535,2.94E+05,225.36,3.23E+06,326.82,4.68E+06,F
051419Abl_FA7,56,I,12491,123.63,226.39,38.575,20.04,2.50E+05,150.31,1.88E+06,316.71,3.96E+06,F
051419Abl_FA7,57,I,9903,193.5,337.94,38.512,19.886,1.97E+05,155.31,1.54E+06,353.98,3.51E+06,F
051419Abl_FA7,58,I,21740,202.12,250.49,39.258,20.037,4.36E+05,168.31,3.66E+06,386.19,8.40E+06,F
051419Abl_FA7,59,I,11730,353.41,145.64,40.879,20.84,2.44E+05,218.54,2.56E+06,390.07,4.58E+06,F
051419Abl_FA7,60,I,17845,182.65,178.98,40.732,20.194,3.60E+05,209.96,3.75E+06,340.49,6.08E+06,F
051419Abl_FA7,61,I,13157,132.11,169.5,42.655,20.077,2.64E+05,154.14,2.03E+06,348.5,4.59E+06,F
051419Abl_FA7,62,I,12055,385.85,340.77,42.663,20.288,2.45E+05,176.98,2.13E+06,353.54,4.26E+06,F
051419Abl_FA7,63,I,9727,254.44,152.11,41.601,19.962,1.94E+05,114.77,1.12E+06,375.2,3.65E+06,F
051419Abl_FA7,64,I,11212,429.28,183.85,42.835,20.563,2.31E+05,164.88,1.85E+06,348.37,3.91E+06,F
051419Abl_FA7,65,I,12064,457.31,230.25,44.306,20.813,2.51E+05,212,2.56E+06,346.33,4.18E+06,F
051419Abl_FA7,66,I,21044,299.92,369.43,42.356,20.123,4.23E+05,136.81,2.88E+06,355.05,7.47E+06,F
051419Abl_FA7,67,I,11864,229.27,371.18,44.785,20.02,2.38E+05,128.83,1.53E+06,345.6,4.10E+06,F
051419Abl_FA7,68,I,14510,158.15,258.37,45.678,19.747,2.87E+05,159.38,2.31E+06,342.53,4.97E+06,F
051419Abl_FA7,69,I,15048,286.78,173.38,48.499,19.676,2.96E+05,71.094,1.07E+06,317.67,4.78E+06,F
051419Abl_FA7,70,I,11985,216.13,235.89,46.769,19.586,2.35E+05,125.74,1.51E+06,372.51,4.46E+06,F
051419Abl_FA7,71,I,15602,220.58,184.11,51.315,19.513,3.04E+05,97.202,1.52E+06,344.77,5.38E+06,F
051419Abl_FA7,72,I,24811,153.99,313.78,49.796,19.675,4.88E+05,111.96,2.78E+06,335.55,8.33E+06,F
051419Abl_FA7,73,I,17523,409.48,298.41,51.004,19.758,3.46E+05,98.662,1.73E+06,403.27,7.07E+06,F
051419Abl_FA7,74,I,10700,339.79,158.34,51.925,20.109,2.15E+05,147.89,1.58E+06,363.41,3.89E+06,F
