Embryo_ID,Cell_ID,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum,Identity
013118Abl_CN1,1,I,10083,210.25,252.17,5.3766,132.13,1.33E+06,191.61,1.93E+06,PRE
013118Abl_CN1,1.2,I,10083,181,263,4,39.245,,225.756,,EPI
013118Abl_CN1,2,I,15621,121.04,298.41,5.9033,38.808,6.06E+05,218.03,3.41E+06,EPI
013118Abl_CN1,3,I,13139,210.63,180.77,4.9785,181.55,2.39E+06,200.11,2.63E+06,PRE
013118Abl_CN1,4,I,15506,176.23,222.93,8.278,126.55,1.96E+06,226.67,3.51E+06,PRE
013118Abl_CN1,4.2,I,15506,140,240,1,37.942,,252.402,,EPI
013118Abl_CN1,5,M,19918,110.04,265.49,11.623,68.322,1.36E+06,224.78,4.48E+06,PRE
013118Abl_CN1,6,I,23310,200.48,315.23,10.86,103.75,2.42E+06,208.01,4.85E+06,PRE
013118Abl_CN1,7,I,16472,188.23,369.91,11.164,103.39,1.70E+06,237.02,3.90E+06,PRE
013118Abl_CN1,8,I,20679,168.69,170.3,12.857,121.24,2.51E+06,252.57,5.22E+06,PRE
013118Abl_CN1,8.2,I,20679,136,200,5,35.822,,244.206,,EPI
013118Abl_CN1,9,I,11092,147.37,219.61,16.216,125.16,1.39E+06,263.04,2.92E+06,PRE
013118Abl_CN1,11,I,8218,186.55,158.36,21.645,122.23,1.00E+06,212.99,1.75E+06,PRE
013118Abl_CN1,12,I,15242,188.05,215.87,21.147,103.86,1.58E+06,206.41,3.15E+06,PRE
013118Abl_CN1,13,I,14446,196.51,270.78,19.998,79.688,1.15E+06,194.79,2.81E+06,PRE
013118Abl_CN1,14,I,445,151.04,264.3,20.124,78.845,35086,275.56,1.23E+05,DP
013118Abl_CN1,17,I,16095,122.25,249.94,26.822,82.371,1.33E+06,209.36,3.37E+06,PRE
013118Abl_CN1,18,I,14597,147.25,342.08,27.017,62.502,9.12E+05,224.49,3.28E+06,PRE
013118Abl_CN1,21,I,4457,143.2,294.49,32.686,65.253,2.91E+05,202.65,9.03E+05,PRE
013118Abl_CN1,21.2,I,4457,146,239,33,52.378,,218.162,,DP
