Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,Identity,targeted
052819Abl_FD5,72,I,13272,273.33,26.981,50.001,20.756,2.75E+05,112.22,1.49E+06,120.17,1.59E+06,TE,F
052819Abl_FD5,73,I,12325,452.75,104.02,47.881,20.896,2.58E+05,107.65,1.33E+06,134.33,1.66E+06,TE,F
052819Abl_FD5,74,I,12013,490.36,167.1,51.09,20.797,2.50E+05,104.97,1.26E+06,148.03,1.78E+06,TE,F
052819Abl_FD5,75,I,13091,82.021,211,51.751,20.329,2.66E+05,76.059,9.96E+05,175.27,2.29E+06,TE,F
052819Abl_FD5,76,I,10483,409.54,68.429,52.15,20.823,2.18E+05,125.23,1.31E+06,157.99,1.66E+06,TE,F
052819Abl_FD5,77,I,14215,101.19,271.07,56.496,20.751,2.95E+05,78.895,1.12E+06,210.66,2.99E+06,TE,F
052819Abl_FD5,78,I,13330,345.36,46.452,53.944,20.647,2.75E+05,87.603,1.17E+06,128.44,1.71E+06,TE,F
052819Abl_FD5,79,I,15578,158.75,74.723,55.669,20.254,3.16E+05,69.616,1.08E+06,224.74,3.50E+06,TE,F
052819Abl_FD5,80,I,18050,143.35,320.89,55.439,20.213,3.65E+05,55.652,1.00E+06,174.78,3.15E+06,TE,F
052819Abl_FD5,81,I,16609,321.02,402.17,56.944,20.535,3.41E+05,83.22,1.38E+06,146.7,2.44E+06,TE,F
052819Abl_FD5,82,I,13550,487.75,259.54,57.792,20.704,2.81E+05,91.04,1.23E+06,104.53,1.42E+06,TE,F
052819Abl_FD5,83,I,28159,110.8,143.36,60.984,19.926,5.61E+05,45.768,1.29E+06,195.37,5.50E+06,TE,F
052819Abl_FD5,84,I,25525,377.25,380.87,61.129,20.481,5.23E+05,75.379,1.92E+06,154.33,3.94E+06,TE,F
052819Abl_FD5,85,I,19333,208.13,367.78,61.647,20.339,3.93E+05,67.114,1.30E+06,153.31,2.96E+06,TE,F
052819Abl_FD5,86,I,18007,253.78,49.384,62.678,20.237,3.64E+05,71.943,1.30E+06,196.4,3.54E+06,TE,F
052819Abl_FD5,87,I,12481,257.15,370.88,66.187,20.275,2.53E+05,76.968,9.61E+05,224.85,2.81E+06,TE,F
052819Abl_FD5,88,I,16693,465.5,181.26,65.922,20.449,3.41E+05,92.976,1.55E+06,250.02,4.17E+06,TE,F
052819Abl_FD5,89,I,25574,436.49,312.84,67.349,20.374,5.21E+05,76.654,1.96E+06,238.26,6.09E+06,TE,F
052819Abl_FD5,90,I,17561,207.86,332.47,70.86,20.048,3.52E+05,62.128,1.09E+06,218.88,3.84E+06,TE,F
052819Abl_FD5,91,I,10595,423.5,126.37,69.427,20.423,2.16E+05,105.17,1.11E+06,263.48,2.79E+06,TE,F
052819Abl_FD5,92,I,14083,378.18,103.46,73.671,20.175,2.84E+05,83.989,1.18E+06,297.65,4.19E+06,TE,F
052819Abl_FD5,93,I,27401,140.97,208.4,73.645,19.833,5.43E+05,43.114,1.18E+06,183.75,5.03E+06,TE,F
052819Abl_FD5,94,I,22457,331.52,326.2,78.662,20.154,4.53E+05,76.586,1.72E+06,210.62,4.73E+06,TE,F
052819Abl_FD5,95,I,23594,228.1,117.84,77.941,19.937,4.70E+05,54.693,1.29E+06,245,5.78E+06,TE,F
052819Abl_FD5,96,I,27609,204.99,279.93,79.743,19.977,5.52E+05,51.11,1.41E+06,271.7,7.50E+06,TE,F
052819Abl_FD5,97,I,17443,299.76,116.2,81.418,20.148,3.51E+05,75.3,1.31E+06,214.23,3.74E+06,TE,F
052819Abl_FD5,98,I,13998,411.26,197.82,80.334,20.481,2.87E+05,98.975,1.39E+06,221.59,3.10E+06,TE,F
052819Abl_FD5,99,I,15981,393.04,266.17,81.398,20.364,3.25E+05,91.492,1.46E+06,219.55,3.51E+06,TE,F
052819Abl_FD5,100,I,17307,348.86,144.24,83.059,20.286,3.51E+05,78.268,1.35E+06,215.61,3.73E+06,TE,F
052819Abl_FD5,101,I,17820,333.87,204.15,85.489,20.589,3.67E+05,88.412,1.58E+06,236.33,4.21E+06,TE,F
052819Abl_FD5,102,I,15993,258.14,226.41,85.047,20.235,3.24E+05,62.312,9.97E+05,260.45,4.17E+06,TE,F
