Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum
030519Abl_EP5,1,I,13750,334.82,206.63,4.7282,19.259,2.65E+05,274.75,3.78E+06,463.93,6.38E+06
030519Abl_EP5,2,I,21835,228.71,301.18,4.8612,19.076,4.17E+05,251.33,5.49E+06,414.67,9.05E+06
030519Abl_EP5,3,I,28805,352.14,311.47,6.0472,18.689,5.38E+05,168.21,4.85E+06,443.96,1.28E+07
030519Abl_EP5,4,I,15935,210.42,184.36,5.6078,19.297,3.07E+05,283.54,4.52E+06,432.98,6.90E+06
030519Abl_EP5,5,I,14938,214.11,226.16,7.4985,18.895,2.82E+05,181.56,2.71E+06,414.21,6.19E+06
030519Abl_EP5,6,I,21185,138.59,303.36,8.1538,18.739,3.97E+05,158.6,3.36E+06,403.61,8.55E+06
030519Abl_EP5,7,I,17381,283.64,140.04,7.6989,18.933,3.29E+05,198.03,3.44E+06,416.85,7.25E+06
030519Abl_EP5,8,I,28611,130.66,219.26,9.7051,18.956,5.42E+05,190.81,5.46E+06,351.87,1.01E+07
030519Abl_EP5,9,I,16026,406.44,222.4,8.9229,19.118,3.06E+05,234.56,3.76E+06,430.32,6.90E+06
030519Abl_EP5,10,I,18487,128.09,165.72,12.803,19.573,3.62E+05,309.94,5.73E+06,457.96,8.47E+06
030519Abl_EP5,11,I,12974,370.07,146.04,12.615,19.167,2.49E+05,243.81,3.16E+06,390.24,5.06E+06
030519Abl_EP5,12,I,10016,168.32,300.76,12.951,19.171,1.92E+05,208.87,2.09E+06,474.74,4.76E+06
030519Abl_EP5,13,I,10240,162.6,211.7,16.86,19.025,1.95E+05,212.64,2.18E+06,517.63,5.30E+06
030519Abl_EP5,14,I,10459,185.83,354.58,17.277,19.249,2.01E+05,296.97,3.11E+06,369.19,3.86E+06
030519Abl_EP5,15,I,13770,228.1,403.46,18.224,19.273,2.65E+05,279.54,3.85E+06,518.31,7.14E+06
030519Abl_EP5,16,I,9991,117.21,264.25,18.5,19.623,1.96E+05,324.48,3.24E+06,409.53,4.09E+06
030519Abl_EP5,17,I,9864,444.5,313.42,18.474,19.59,1.93E+05,328.42,3.24E+06,382.34,3.77E+06
030519Abl_EP5,18,I,11185,454.96,233.83,18.961,19.398,2.17E+05,305.13,3.41E+06,396.55,4.44E+06
030519Abl_EP5,19,I,12850,416.68,372.34,22.47,19.431,2.50E+05,342.8,4.40E+06,423.57,5.44E+06
030519Abl_EP5,20,I,10000,163,111,20,19.596,,309.458,,577.816,
030519Abl_EP5,20.2,I,10000,187,112,23,19.527,,277.258,,383.11,
