Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum
012219Abl_EJ3,1,I,12367,329.4,197.81,4.2463,19.07,2.36E+05,168.77,2.09E+06,488.13,6.04E+06
012219Abl_EJ3,2,I,10888,208.16,230.51,4.835,19.707,2.15E+05,188.54,2.05E+06,412.64,4.49E+06
012219Abl_EJ3,3,M,34459,311.32,296.98,5.0075,19.061,6.57E+05,140.65,4.85E+06,397.69,1.37E+07
012219Abl_EJ3,4,I,21883,121.66,285.27,5.7161,19.57,4.28E+05,241.34,5.28E+06,418.04,9.15E+06
012219Abl_EJ3,5,I,16329,221.79,302.8,5.3886,19.733,3.22E+05,278.22,4.54E+06,432.07,7.06E+06
012219Abl_EJ3,7,I,23721,243.73,168.73,8.3443,19.136,4.54E+05,170.08,4.03E+06,450.19,1.07E+07
012219Abl_EJ3,8,I,12372,172.45,232.96,9.8435,20.307,2.51E+05,293.68,3.63E+06,372.68,4.61E+06
012219Abl_EJ3,9,I,20545,397.68,299.69,8.796,18.951,3.89E+05,153.99,3.16E+06,470.39,9.66E+06
012219Abl_EJ3,11,I,16711,352.26,352.9,8.9736,19.505,3.26E+05,147.54,2.47E+06,385.41,6.44E+06
012219Abl_EJ3,12,I,12879,241.69,354.08,10.71,19.408,2.50E+05,202.11,2.60E+06,432.85,5.57E+06
012219Abl_EJ3,14,I,19841,111.53,244.2,14.068,19.473,3.86E+05,186.34,3.70E+06,342.74,6.80E+06
012219Abl_EJ3,15,I,12046,160.78,159.01,13.698,19.948,2.40E+05,245.85,2.96E+06,474.19,5.71E+06
012219Abl_EJ3,17,I,25867,439.61,218.34,15.89,19.26,4.98E+05,218.42,5.65E+06,406.18,1.05E+07
012219Abl_EJ3,18,I,13005,119.1,301.14,16.716,19.584,2.55E+05,228.34,2.97E+06,427.47,5.56E+06
012219Abl_EJ3,19,I,13040,214.78,387.26,16.93,19.541,2.55E+05,243.28,3.17E+06,384.1,5.01E+06
012219Abl_EJ3,20,I,11490,370.58,124.61,17.998,19.281,2.22E+05,217.2,2.50E+06,425.17,4.89E+06
012219Abl_EJ3,21,I,18963,176.35,278.6,18.127,20.126,3.82E+05,163.99,3.11E+06,282.55,5.36E+06
012219Abl_EJ3,22,I,12532,165.37,190.04,19.744,19.712,2.47E+05,274.75,3.44E+06,347.88,4.36E+06
012219Abl_EJ3,23,I,11768,125.09,378.11,18.598,19.492,2.29E+05,227.41,2.68E+06,497.54,5.86E+06
012219Abl_EJ3,24,I,13373,115.75,177.69,23.101,19.318,2.58E+05,239.34,3.20E+06,384.25,5.14E+06
012219Abl_EJ3,25,M,14156,56.511,250,22.167,18.724,2.65E+05,84.572,1.20E+06,486.88,6.89E+06
012219Abl_EJ3,26,M,11810,374.84,384.8,20.957,18.582,2.19E+05,105.01,1.24E+06,407.22,4.81E+06
012219Abl_EJ3,28,M,11238,307.47,408.59,22.374,18.858,2.12E+05,120.04,1.35E+06,504.16,5.67E+06
012219Abl_EJ3,29,I,9687,188.42,136.1,23.927,18.898,1.83E+05,185.85,1.80E+06,307.34,2.98E+06
012219Abl_EJ3,30,M,9225,89.203,337.68,25.167,18.431,1.70E+05,94.615,8.73E+05,440.57,4.06E+06
012219Abl_EJ3,31,I,19114,31.658,328.4,25.077,19.531,3.73E+05,265.21,5.07E+06,416.37,7.96E+06
012219Abl_EJ3,32,I,15138,131.55,285.67,27.556,18.93,2.87E+05,237.92,3.60E+06,434.48,6.58E+06
012219Abl_EJ3,33,I,17864,135.41,360.28,29.054,19.023,3.40E+05,185.52,3.31E+06,424.15,7.58E+06
012219Abl_EJ3,34,I,17377,463.94,345.41,30.828,18.99,3.30E+05,157.24,2.73E+06,436.09,7.58E+06
012219Abl_EJ3,35,M,9277,492.62,213.87,30.708,18.949,1.76E+05,161.58,1.50E+06,521.84,4.84E+06
012219Abl_EJ3,36,I,15781,36.539,288.66,29.922,19.11,3.02E+05,172.73,2.73E+06,408.55,6.45E+06
012219Abl_EJ3,37,I,22352,229.85,427.59,33.105,18.708,4.18E+05,149.42,3.34E+06,521.55,1.17E+07
012219Abl_EJ3,38,I,16044,233.99,86.964,30.575,18.887,3.03E+05,176.06,2.82E+06,513.34,8.24E+06
012219Abl_EJ3,39,I,13655,23.154,209.15,32.881,18.933,2.59E+05,201.78,2.76E+06,449.82,6.14E+06
012219Abl_EJ3,40,I,11289,423.8,95.119,34.357,19.134,2.16E+05,292.57,3.30E+06,422.18,4.77E+06
012219Abl_EJ3,41,M,29068,127.3,154.77,33.786,18.403,5.35E+05,84.149,2.45E+06,429.41,1.25E+07
012219Abl_EJ3,42,I,8243,477.99,155.08,35.019,19.191,1.58E+05,191.31,1.58E+06,443.73,3.66E+06
012219Abl_EJ3,44,M,29446,167.89,209.63,34.053,18.433,5.43E+05,102.03,3.00E+06,352.24,1.04E+07
012219Abl_EJ3,45,I,19645,142.31,311.36,35.569,18.496,3.63E+05,172.48,3.39E+06,377.95,7.42E+06
012219Abl_EJ3,46,I,13433,308.89,66.013,36.91,19.21,2.58E+05,260.73,3.50E+06,467.53,6.28E+06
012219Abl_EJ3,47,I,16474,161.76,106.36,37.386,18.499,3.05E+05,122.89,2.02E+06,453.19,7.47E+06
012219Abl_EJ3,48,I,10991,147.25,394.38,36.727,18.745,2.06E+05,184.59,2.03E+06,404.93,4.45E+06
012219Abl_EJ3,50,I,10798,63.338,271.49,35.038,18.619,2.01E+05,144.41,1.56E+06,362.23,3.91E+06
012219Abl_EJ3,51,I,18930,79.159,329.89,36.816,18.519,3.51E+05,123.2,2.33E+06,358.86,6.79E+06
012219Abl_EJ3,52,I,19430,394.18,422.09,42.321,18.751,3.64E+05,168.01,3.26E+06,424.3,8.24E+06
012219Abl_EJ3,53,I,21189,63.923,190.09,43.827,18.556,3.93E+05,96.708,2.05E+06,328.9,6.97E+06
012219Abl_EJ3,55,I,18852,49.419,263.9,44.28,18.555,3.50E+05,125.89,2.37E+06,390.66,7.36E+06
012219Abl_EJ3,56,M,3176,110.99,255.36,42.708,18.06,57358,69.263,2.20E+05,357.77,1.14E+06
012219Abl_EJ3,57,M,15824,495.54,295.92,44.992,18.737,2.96E+05,115.24,1.82E+06,413.3,6.54E+06
012219Abl_EJ3,58,I,13651,447.12,121.3,45.123,18.865,2.58E+05,202.29,2.76E+06,361.63,4.94E+06
012219Abl_EJ3,59,M,17553,464.09,361.5,47.786,18.844,3.31E+05,86.786,1.52E+06,282.44,4.96E+06
012219Abl_EJ3,60,I,17229,240.22,429.69,47.004,18.615,3.21E+05,114.74,1.98E+06,355.66,6.13E+06
012219Abl_EJ3,61,I,15200,277.6,63.393,50.221,18.511,2.81E+05,128.92,1.96E+06,268.33,4.08E+06
012219Abl_EJ3,63,M,23166,121.46,198.78,50.824,17.97,4.16E+05,54.943,1.27E+06,373.26,8.65E+06
012219Abl_EJ3,65,M,27727,161.88,130.63,51.125,17.955,4.98E+05,52.124,1.45E+06,327.23,9.07E+06
012219Abl_EJ3,66,I,17404,112.36,319.43,51.642,18.127,3.15E+05,84.134,1.46E+06,386.1,6.72E+06
012219Abl_EJ3,67,I,17115,486.31,205.68,51.912,18.409,3.15E+05,134.78,2.31E+06,341.18,5.84E+06
012219Abl_EJ3,68,I,23257,45.414,235.3,52.702,18.143,4.22E+05,79.369,1.85E+06,400.93,9.32E+06
012219Abl_EJ3,69,I,27395,342.18,96.761,59.545,18.124,4.97E+05,73.524,2.01E+06,447.88,1.23E+07
012219Abl_EJ3,70,I,21959,488.58,275.62,57.925,18.328,4.02E+05,120.27,2.64E+06,376.91,8.28E+06
012219Abl_EJ3,71,I,17478,237.86,96.555,61.691,17.895,3.13E+05,76.107,1.33E+06,362.47,6.34E+06
012219Abl_EJ3,72,I,15606,148.42,321.56,61.262,17.763,2.77E+05,60.409,9.43E+05,311.74,4.87E+06
012219Abl_EJ3,73,I,30820,409.27,146.23,64.611,18.035,5.56E+05,100.52,3.10E+06,451.52,1.39E+07
012219Abl_EJ3,74,I,15238,197.83,361.3,65.674,17.814,2.71E+05,79.735,1.22E+06,444.05,6.77E+06
012219Abl_EJ3,75,I,23326,170.02,163.42,65.806,17.674,4.12E+05,48.311,1.13E+06,308.61,7.20E+06
012219Abl_EJ3,76,I,28014,132.7,236.54,65.504,17.751,4.97E+05,50.963,1.43E+06,318.19,8.91E+06
012219Abl_EJ3,77,I,13251,417.12,367.69,66.341,18.146,2.40E+05,72.045,9.55E+05,657.24,8.71E+06
012219Abl_EJ3,78,I,44078,297.81,363.74,75.541,18.126,7.99E+05,97.196,4.28E+06,496.27,2.19E+07
012219Abl_EJ3,79,I,38061,424.17,270.38,76.192,18.14,6.90E+05,101.1,3.85E+06,431.8,1.64E+07
012219Abl_EJ3,80,I,22501,235.12,165.51,76.924,17.92,4.03E+05,63.637,1.43E+06,497,1.12E+07
012219Abl_EJ3,81,I,25159,337.84,198.85,79.065,18.139,4.56E+05,84.843,2.13E+06,429.37,1.08E+07
012219Abl_EJ3,82,I,13737,261.5,294.85,80.237,17.99,2.47E+05,76.45,1.05E+06,502.38,6.90E+06
012219Abl_EJ3,83,I,9950,253.72,229.17,80.904,18.057,1.80E+05,73.081,7.27E+05,598.85,5.96E+06
