Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum
121718Abl_ED4,52,I,13583,124.7,350.66,32.675,17.959,2.44E+05,170.43,2.31E+06,159.29,2.16E+06
121718Abl_ED4,53,I,7797,173.91,226.69,30.859,17.47,1.36E+05,79.107,6.17E+05,179.56,1.40E+06
121718Abl_ED4,54,M,8722,111.67,306.86,29.692,17.953,1.57E+05,117.06,1.02E+06,140.92,1.23E+06
121718Abl_ED4,55,M,6191,185.16,345.26,29.874,18.079,1.12E+05,128.32,7.94E+05,154.14,9.54E+05
121718Abl_ED4,56,I,14874,413.3,354.41,31.188,18.031,2.68E+05,130.04,1.93E+06,155.67,2.32E+06
121718Abl_ED4,57,I,12086,123.11,203.52,32.569,17.764,2.15E+05,120.14,1.45E+06,147.1,1.78E+06
121718Abl_ED4,58,M,2957,144.22,254.5,25.416,17.74,52457,103.94,3.07E+05,165.34,4.89E+05
121718Abl_ED4,59,M,7097,179.68,278.78,30.552,18.547,1.32E+05,126.14,8.95E+05,150.45,1.07E+06
121718Abl_ED4,60,I,8699,115.63,133.56,32.164,18.416,1.60E+05,172.6,1.50E+06,138.98,1.21E+06
121718Abl_ED4,61,M,12166,191.44,175.54,34.918,17.426,2.12E+05,85.998,1.05E+06,114.08,1.39E+06
121718Abl_ED4,63,I,13873,321.46,352.15,32.031,17.46,2.42E+05,102.24,1.42E+06,200.95,2.79E+06
121718Abl_ED4,64,M,8941,166.26,150.1,34.043,17.794,1.59E+05,99.802,8.92E+05,180.99,1.62E+06
121718Abl_ED4,65,I,11352,107.22,255.28,32.831,17.941,2.04E+05,128.78,1.46E+06,165.97,1.88E+06
121718Abl_ED4,66,I,16603,63.586,265.87,34.744,18.469,3.07E+05,156.24,2.59E+06,149.03,2.47E+06
121718Abl_ED4,67,I,16071,219.2,141.71,37.276,17.318,2.78E+05,86.412,1.39E+06,162.5,2.61E+06
121718Abl_ED4,68,I,10379,425.7,169.99,36.15,17.625,1.83E+05,103.45,1.07E+06,146.29,1.52E+06
121718Abl_ED4,69,I,11951,160.83,371.38,35.797,17.632,2.11E+05,126.8,1.52E+06,141.09,1.69E+06
121718Abl_ED4,70,I,12285,375.07,366.73,37.846,17.442,2.14E+05,84.786,1.04E+06,122.37,1.50E+06
121718Abl_ED4,71,M,5348,163.66,301.89,36.447,17.463,93392,83.237,4.45E+05,179.67,9.61E+05
