Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,Identity
072518Abl_DR2,67,I,32548,151.54,313.37,49.097,14.523,4.73E+05,46.196,1.50E+06,252.17,8.21E+06,TE
072518Abl_DR2,68,I,18385,310.94,407.19,47.669,14.305,2.63E+05,32.928,6.05E+05,212.4,3.90E+06,TE
072518Abl_DR2,69,I,20759,392.03,397.16,48.461,14.445,3.00E+05,27.619,5.73E+05,237.6,4.93E+06,TE
072518Abl_DR2,70,I,24125,284.54,72.652,48.246,14.647,3.53E+05,26.311,6.35E+05,329.24,7.94E+06,TE
072518Abl_DR2,72,I,31183,391.16,112.52,55.307,14.391,4.49E+05,30.267,9.44E+05,239.67,7.47E+06,TE
072518Abl_DR2,73,I,24146,156.06,233.66,54.922,19.873,4.80E+05,29.155,7.04E+05,283.01,6.83E+06,PRE
072518Abl_DR2,74,I,45845,165.79,160.5,57.59,18.285,8.38E+05,42.129,1.93E+06,279.55,1.28E+07,TE
072518Abl_DR2,75,I,26930,449.79,169.91,56.458,14.689,3.96E+05,27.123,7.30E+05,304.06,8.19E+06,TE
072518Abl_DR2,76,I,24804,422.8,343.89,59.068,14.036,3.48E+05,37.191,9.23E+05,415.02,1.03E+07,TE
072518Abl_DR2,77,I,28034,461.01,264.13,60.867,14.382,4.03E+05,27.985,7.85E+05,364.77,1.02E+07,TE
072518Abl_DR2,78,I,20521,200.95,265.57,60.616,14.306,2.94E+05,26.509,5.44E+05,273.35,5.61E+06,TE
072518Abl_DR2,79,I,17118,254.55,351.89,59.735,14.206,2.43E+05,27.142,4.65E+05,364.79,6.24E+06,TE
072518Abl_DR2,80,I,18692,320.47,368.78,60.987,14.214,2.66E+05,27.551,5.15E+05,381.7,7.13E+06,TE
072518Abl_DR2,81,I,17917,312.44,108.33,61.031,14.221,2.55E+05,25.837,4.63E+05,274.27,4.91E+06,TE
072518Abl_DR2,82,I,7997,230.78,184.64,63.892,14.243,1.14E+05,25.57,2.04E+05,239.33,1.91E+06,TE
072518Abl_DR2,83,I,12962,351.17,338.37,65.276,14.207,1.84E+05,27.663,3.59E+05,363.31,4.71E+06,TE
072518Abl_DR2,84,I,15001,422.1,211.55,65.994,14.227,2.13E+05,41.54,6.23E+05,366.27,5.49E+06,TE
072518Abl_DR2,85,I,11404,301.7,161.7,66.863,13.969,1.59E+05,25.438,2.90E+05,403.18,4.60E+06,TE
072518Abl_DR2,86,I,13143,369.57,172.92,67.492,14.33,1.88E+05,28.934,3.80E+05,373.49,4.91E+06,TE
072518Abl_DR2,87,I,8344,298.28,272.33,68.369,14.165,1.18E+05,26.772,2.23E+05,383.79,3.20E+06,TE
