Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,targeted
052119Abl_FC7,1,I,16726,237.42,210.61,4.7907,22.154,3.71E+05,282.35,4.72E+06,403.56,6.75E+06,F
052119Abl_FC7,2,I,18697,254.77,312.41,5.0257,22.087,4.13E+05,281.05,5.25E+06,338.95,6.34E+06,F
052119Abl_FC7,6,I,10814,194.02,227.21,6.7375,21.673,2.34E+05,239.66,2.59E+06,404.35,4.37E+06,F
052119Abl_FC7,7,I,26202,391.08,280.48,8.1504,21.703,5.69E+05,215.35,5.64E+06,370.46,9.71E+06,F
052119Abl_FC7,8,I,12949,179.22,294.7,9.2162,22.758,2.95E+05,378.21,4.90E+06,322.76,4.18E+06,F
052119Abl_FC7,9,I,12911,195.62,339.84,7.9992,21.717,2.80E+05,196.94,2.54E+06,427.62,5.52E+06,F
052119Abl_FC7,10,I,16360,117.54,178.65,9.7707,21.836,3.57E+05,205.92,3.37E+06,388.69,6.36E+06,F
052119Abl_FC7,11,I,15613,82.385,240.29,9.9367,22.028,3.44E+05,200.81,3.14E+06,456,7.12E+06,F
052119Abl_FC7,12,I,14348,321.82,123.56,10.658,21.293,3.06E+05,166.95,2.40E+06,279.6,4.01E+06,F
052119Abl_FC7,13,I,17048,170.64,166.61,14.671,23.287,3.97E+05,379.47,6.47E+06,318.5,5.43E+06,T
052119Abl_FC7,14,I,11690,226.6,382.71,11.873,21.727,2.54E+05,209.23,2.45E+06,445.55,5.21E+06,F
052119Abl_FC7,15,I,8981,178.39,256.3,15.415,22.323,2.00E+05,251.86,2.26E+06,345.78,3.11E+06,F
052119Abl_FC7,16,I,17889,403.71,173.91,13.411,21.563,3.86E+05,179.81,3.22E+06,429.44,7.68E+06,F
052119Abl_FC7,17,I,15715,156.25,341.87,15.995,22.453,3.53E+05,249.74,3.92E+06,372.11,5.85E+06,T
052119Abl_FC7,18,I,13756,217.81,116.13,18.482,21.945,3.02E+05,239.97,3.30E+06,470.67,6.47E+06,F
052119Abl_FC7,19,I,10671,164.17,210.36,16.787,23.004,2.45E+05,294.34,3.14E+06,352.11,3.76E+06,T
