Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum
121018Abl_EC4,1,I,8512,216.23,217.61,4.198,18.402,1.57E+05,146.58,1.25E+06,159.24,1.36E+06
121018Abl_EC4,2,I,11386,328.1,247.26,4.9601,17.967,2.05E+05,113.21,1.29E+06,163.77,1.86E+06
121018Abl_EC4,3,I,14191,214.17,296.83,4.7128,17.642,2.50E+05,88.153,1.25E+06,170.76,2.42E+06
121018Abl_EC4,4,I,13548,169.39,172.01,5.1898,18.353,2.49E+05,124.29,1.68E+06,179.84,2.44E+06
121018Abl_EC4,5,I,16837,312.35,342.96,5.8911,17.734,2.99E+05,91.241,1.54E+06,178.12,3.00E+06
121018Abl_EC4,6,I,18418,292.75,150.89,6.9234,17.806,3.28E+05,82.11,1.51E+06,188.89,3.48E+06
121018Abl_EC4,7,I,7379,140.73,264.76,6.6242,18.38,1.36E+05,131.82,9.73E+05,163.63,1.21E+06
121018Abl_EC4,8,M,8754,178.01,201.06,9.9724,18.457,1.62E+05,96.739,8.47E+05,184.76,1.62E+06
121018Abl_EC4,10,I,12091,154.36,296.79,9.9391,18.033,2.18E+05,90.304,1.09E+06,188.47,2.28E+06
121018Abl_EC4,11,I,17340,104.66,241.37,10.372,19.038,3.30E+05,109.71,1.90E+06,152.78,2.65E+06
121018Abl_EC4,12,I,24717,408.01,279.04,10.247,17.64,4.36E+05,73.872,1.83E+06,164.24,4.06E+06
121018Abl_EC4,13,I,18917,117.4,174.91,14.586,18.695,3.54E+05,125.28,2.37E+06,162.48,3.07E+06
121018Abl_EC4,14,I,22120,63.432,199.66,11.403,17.904,3.96E+05,74.565,1.65E+06,219.5,4.86E+06
121018Abl_EC4,15,I,24348,203.66,387.12,13.506,17.749,4.32E+05,78.072,1.90E+06,181.76,4.43E+06
121018Abl_EC4,16,I,13296,171.37,115.45,10.935,17.994,2.39E+05,105.03,1.40E+06,153.37,2.04E+06
121018Abl_EC4,17,I,6981,93.609,299.73,16.4,18.558,1.30E+05,125.65,8.77E+05,183.84,1.28E+06
121018Abl_EC4,18,I,17068,119.43,346.22,18.121,18.217,3.11E+05,108.7,1.86E+06,188.8,3.22E+06
121018Abl_EC4,19,I,19586,419.79,185.25,16.884,17.922,3.51E+05,78.454,1.54E+06,171.44,3.36E+06
121018Abl_EC4,20,I,8776,127.83,254.96,18.921,18.169,1.59E+05,101.68,8.92E+05,155.1,1.36E+06
121018Abl_EC4,21,I,7900,400.42,359.03,18.472,18.569,1.47E+05,215.77,1.70E+06,213.09,1.68E+06
121018Abl_EC4,22,I,18069,351.65,404.21,17.057,17.968,3.25E+05,98.109,1.77E+06,167.85,3.03E+06
121018Abl_EC4,23,I,13972,132.06,135.57,23.431,18.37,2.57E+05,144.74,2.02E+06,161.32,2.25E+06
121018Abl_EC4,24,I,12263,107.83,217.63,22.062,18.24,2.24E+05,109.3,1.34E+06,165.58,2.03E+06
121018Abl_EC4,25,I,15339,49.396,234.78,23.901,18.625,2.86E+05,121.57,1.86E+06,200.73,3.08E+06
121018Abl_EC4,26,I,13527,336.02,76.806,24.978,18.242,2.47E+05,133.79,1.81E+06,162.45,2.20E+06
121018Abl_EC4,27,I,9723,76.894,269.01,27.149,18.15,1.76E+05,87.962,8.55E+05,126.22,1.23E+06
121018Abl_EC4,28,I,7615,110.13,338.77,29.657,18.487,1.41E+05,188.48,1.44E+06,137.08,1.04E+06
121018Abl_EC4,29,I,10170,449.62,330.56,26.747,18.013,1.83E+05,120.99,1.23E+06,200.89,2.04E+06
121018Abl_EC4,30,I,12479,70.509,166.81,27.707,18.531,2.31E+05,132,1.65E+06,191.07,2.38E+06
121018Abl_EC4,31,I,10954,69.363,314.82,27.761,18.259,2.00E+05,114.83,1.26E+06,223.69,2.45E+06
121018Abl_EC4,32,I,11000,114.61,171.07,28.2,18.826,2.07E+05,162.06,1.78E+06,143.9,1.58E+06
121018Abl_EC4,33,I,9069,262.91,452.25,28.316,18.593,1.69E+05,167.91,1.52E+06,160.57,1.46E+06
121018Abl_EC4,34,I,11528,155.71,83.348,29.753,17.889,2.06E+05,97.807,1.13E+06,212.69,2.45E+06
121018Abl_EC4,35,I,11022,336.5,451.79,34.565,18.211,2.01E+05,109.3,1.20E+06,226.58,2.50E+06
121018Abl_EC4,36,I,9557,28.518,185.99,35.705,18.044,1.72E+05,107.67,1.03E+06,153.1,1.46E+06
121018Abl_EC4,37,I,9918,50.908,218.83,33.2,18.311,1.82E+05,128.15,1.27E+06,202.06,2.00E+06
121018Abl_EC4,38,I,9432,117.91,114.61,34.461,18.313,1.73E+05,203.88,1.92E+06,154.98,1.46E+06
121018Abl_EC4,39,I,8682,162.78,427.03,37.366,18.12,1.57E+05,106.94,9.28E+05,207.84,1.80E+06
121018Abl_EC4,40,I,8677,86.442,224.15,37.931,17.483,1.52E+05,70.542,6.12E+05,151.67,1.32E+06
121018Abl_EC4,41,I,6893,489.15,235.89,37.865,18.386,1.27E+05,153.1,1.06E+06,193.89,1.34E+06
121018Abl_EC4,42,I,14265,472.56,167.4,38.433,18.306,2.61E+05,117.06,1.67E+06,201.16,2.87E+06
121018Abl_EC4,43,I,9709,84.809,320.09,38.98,17.845,1.73E+05,76.898,7.47E+05,167.18,1.62E+06
121018Abl_EC4,44,I,14711,59.738,350.24,43.473,18.099,2.66E+05,84.81,1.25E+06,176.88,2.60E+06
121018Abl_EC4,45,I,8798,73.226,285.3,40.431,17.565,1.55E+05,67.083,5.90E+05,178.64,1.57E+06
121018Abl_EC4,47,I,8294,485.11,331.48,41.646,18.306,1.52E+05,148.84,1.23E+06,179.14,1.49E+06
