Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum, 
021919Abl_EO5,72,I,16249,112.42,362.95,49.134,18.451,3.00E+05,189.71,3.08E+06,331.72,5.39E+06,
021919Abl_EO5,73,I,21035,384.05,97.325,49.669,18.297,3.85E+05,75.32,1.58E+06,286.37,6.02E+06,
021919Abl_EO5,74,I,20199,133.27,187.24,51.865,18.24,3.68E+05,103.25,2.09E+06,274.63,5.55E+06,
021919Abl_EO5,75,I,12355,297.05,445.12,55.782,18.212,2.25E+05,71.807,8.87E+05,272.7,3.37E+06,
021919Abl_EO5,77,I,14141,486.28,228.04,54.641,18.469,2.61E+05,138.59,1.96E+06,286.11,4.05E+06,
021919Abl_EO5,79,I,9877,114.1,242.62,55.436,18.167,1.79E+05,89.849,8.87E+05,373.54,3.69E+06,
021919Abl_EO5,80,I,12441,479.76,318.07,54.617,18.265,2.27E+05,68.983,8.58E+05,273.71,3.41E+06,
021919Abl_EO5,81,I,16918,440.98,382.7,57.272,18.175,3.07E+05,85.065,1.44E+06,240.01,4.06E+06,
021919Abl_EO5,82,I,20197,225.13,424.59,56.215,18.177,3.67E+05,56.52,1.14E+06,343.51,6.94E+06,
021919Abl_EO5,83,I,25455,127.21,300.37,59.507,18.132,4.62E+05,114.91,2.93E+06,301.19,7.67E+06,
021919Abl_EO5,84,I,21478,159.98,358.09,58.914,17.919,3.85E+05,54.252,1.17E+06,306.75,6.59E+06,
021919Abl_EO5,85,I,11204,456.64,182.7,62.054,18.356,2.06E+05,148.85,1.67E+06,315.68,3.54E+06,
021919Abl_EO5,86,I,12385,378.26,418.84,61.429,18.252,2.26E+05,68.281,8.46E+05,230.68,2.86E+06,
021919Abl_EO5,87,I,23288,461.3,248.42,66.831,18.211,4.24E+05,80.028,1.86E+06,401.54,9.35E+06,
021919Abl_EO5,88,I,25965,304.83,123.79,66.793,17.965,4.66E+05,57.847,1.50E+06,493.09,1.28E+07,
021919Abl_EO5,89,I,15605,156.93,224.87,66.467,17.828,2.78E+05,56.224,8.77E+05,347.49,5.42E+06,
021919Abl_EO5,90,M,25740,382.1,371.84,70.531,17.993,4.63E+05,54.207,1.40E+06,237.6,6.12E+06,
021919Abl_EO5,91,I,8777,432.26,326.47,70.355,18.047,1.58E+05,72.713,6.38E+05,260.74,2.29E+06,
