Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,Identity
111318Abl_DZ4,58,I,8288,396.03,358.32,31.09,19.165,1.59E+05,154.86,1.28E+06,160.19,1.33E+06,TE
111318Abl_DZ4,59,I,13698,147.04,110.46,31.922,18.296,2.51E+05,117.69,1.61E+06,147.95,2.03E+06,TE
111318Abl_DZ4,60,I,10802,80.891,167.2,32.213,18.551,2.00E+05,118.47,1.28E+06,143.72,1.55E+06,TE
111318Abl_DZ4,61,I,10024,444.12,248.62,32.69,18.434,1.85E+05,194.87,1.95E+06,160.4,1.61E+06,TE
111318Abl_DZ4,62,I,13158,137.28,178.48,33.303,32.427,4.27E+05,91.429,1.20E+06,140.49,1.85E+06,DP
111318Abl_DZ4,64,I,12081,83.766,252.71,33.42,60.255,7.28E+05,152.83,1.85E+06,138.67,1.68E+06,PRE
111318Abl_DZ4,65,I,11458,158.44,280.32,32.842,23.2,2.66E+05,107.13,1.23E+06,179.17,2.05E+06,EPI
111318Abl_DZ4,66,I,13249,431.33,314.94,36.59,18.929,2.51E+05,169.99,2.25E+06,122.46,1.62E+06,TE
111318Abl_DZ4,67,I,16819,276.56,388.61,35.726,18.933,3.18E+05,131.54,2.21E+06,159.08,2.68E+06,TE
111318Abl_DZ4,68,I,13754,239.75,113.18,36.25,18.27,2.51E+05,104.69,1.44E+06,146.44,2.01E+06,TE
111318Abl_DZ4,69,I,19417,197.37,245.85,36.087,36.205,7.03E+05,96.565,1.88E+06,151.44,2.94E+06,DP
111318Abl_DZ4,70,I,11393,104.29,313.51,37.336,53.707,6.12E+05,138.79,1.58E+06,161.93,1.84E+06,PRE
111318Abl_DZ4,71,I,17003,211.45,349.33,36.486,18.891,3.21E+05,102.78,1.75E+06,171.64,2.92E+06,EPI
111318Abl_DZ4,72,I,13366,374.53,128.97,38.242,18.137,2.42E+05,129.74,1.73E+06,118.63,1.59E+06,TE
111318Abl_DZ4,73,I,11921,170.35,133.62,38.647,18.182,2.17E+05,101.45,1.21E+06,179.24,2.14E+06,EPI
111318Abl_DZ4,74,I,12539,154.05,331.46,39.109,18.952,2.38E+05,97.444,1.22E+06,132.37,1.66E+06,EPI
111318Abl_DZ4,75,I,14913,62.179,219.46,41.612,18.563,2.77E+05,124.9,1.86E+06,133.17,1.99E+06,TE
111318Abl_DZ4,76,I,12933,364.98,369.09,41.102,19.11,2.47E+05,131.17,1.70E+06,149.64,1.94E+06,TE
111318Abl_DZ4,77,I,17601,237.29,220.4,42.266,35.296,6.21E+05,64.108,1.13E+06,124.27,2.19E+06,PRE
111318Abl_DZ4,78,I,15940,209.07,154.9,43.242,18.733,2.99E+05,74.533,1.19E+06,154.07,2.46E+06,EPI
111318Abl_DZ4,79,I,15757,118.84,180.25,42.136,20.174,3.18E+05,86.239,1.36E+06,151.27,2.38E+06,EPI
111318Abl_DZ4,80,I,9497,421.97,210.11,43.668,18.169,1.73E+05,152.22,1.45E+06,136.59,1.30E+06,TE
111318Abl_DZ4,81,I,17760,123.72,246.38,42.428,20.645,3.67E+05,84.256,1.50E+06,180.37,3.20E+06,EPI
111318Abl_DZ4,82,I,19604,302.15,133.45,43.671,17.675,3.47E+05,82.466,1.62E+06,163.41,3.20E+06,TE
111318Abl_DZ4,83,I,6963,189.54,247.95,45.1,32.844,2.29E+05,101.29,7.05E+05,118.28,8.24E+05,PRE
111318Abl_DZ4,84,I,25769,234.74,311.53,44.422,29.116,7.50E+05,58.758,1.51E+06,158.77,4.09E+06,PRE
111318Abl_DZ4,85,I,15200,173.41,200.53,47.222,20.597,3.13E+05,66.35,1.01E+06,146.69,2.23E+06,EPI
111318Abl_DZ4,86,I,12726,413.04,269.59,47.899,18.227,2.32E+05,109.75,1.40E+06,177.7,2.26E+06,TE
111318Abl_DZ4,87,I,19022,103.47,298.55,47.454,21.825,4.15E+05,96.104,1.83E+06,148.52,2.83E+06,TE
111318Abl_DZ4,88,I,9863,183.91,298.21,47.735,28.585,2.82E+05,68.677,6.77E+05,138.54,1.37E+06,DP
111318Abl_DZ4,89,I,13318,385.05,180.55,48.637,18.205,2.42E+05,108.4,1.44E+06,146.16,1.95E+06,TE
111318Abl_DZ4,90,I,23491,179.05,345.68,49.611,18.344,4.31E+05,85.893,2.02E+06,170.89,4.01E+06,TE
111318Abl_DZ4,91,I,11681,246.99,369.14,48.52,17.691,2.07E+05,68.503,8.00E+05,127.07,1.48E+06,TE
111318Abl_DZ4,92,I,13781,255.38,158.36,50.816,17.699,2.44E+05,63.271,8.72E+05,134.7,1.86E+06,TE
111318Abl_DZ4,93,I,12268,139.02,249.07,50.931,20.577,2.52E+05,78.675,9.65E+05,169.21,2.08E+06,DP
111318Abl_DZ4,94,I,16044,385.12,314.85,50.992,17.975,2.88E+05,82.37,1.32E+06,179.49,2.88E+06,TE
