Embryo_ID,Cell_ID,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum,Identity
013118Abl_CM4,1,I,20399,185.82,241.95,5.1092,163.44,3.33E+06,243.46,4.97E+06,PRE
013118Abl_CM4,2,I,8570,125.67,279.27,6.3144,54.293,4.65E+05,257.32,2.21E+06,DP
013118Abl_CM4,3,I,26684,229.72,296.95,10.07,128.58,3.43E+06,229.85,6.13E+06,PRE
013118Abl_CM4,4,I,45098,187.88,344.98,12.697,57.745,2.60E+06,254.34,1.15E+07,DP
013118Abl_CM4,4.2,I,45098,171,306,21,52.338,,220.292,,EPI
013118Abl_CM4,5,I,35800,163.73,173.46,11.335,97.263,3.48E+06,257.92,9.23E+06,PRE
013118Abl_CM4,6,I,16951,237.1,239.16,14.232,60.953,1.03E+06,232.58,3.94E+06,DP
013118Abl_CM4,7,I,11105,214.12,207.6,12.369,66.048,7.33E+05,211.89,2.35E+06,DP
013118Abl_CM4,8,I,32180,227.58,146.87,14.232,44.858,1.44E+06,239.66,7.71E+06,DP
013118Abl_CM4,9,I,30305,117.62,320.41,12.754,108.67,3.29E+06,246.83,7.48E+06,PRE
013118Abl_CM4,10,I,21225,158.44,245.17,17.272,145.88,3.10E+06,277.82,5.90E+06,PRE
013118Abl_CM4,11,I,33604,116.9,154.98,19.978,75.475,2.54E+06,278.55,9.36E+06,PRE
013118Abl_CM4,12,I,30349,93.705,256.4,20.759,123.65,3.75E+06,276.14,8.38E+06,PRE
013118Abl_CM4,13,I,17405,126.12,372.4,21.726,59.17,1.03E+06,272.6,4.74E+06,DP
013118Abl_CM4,14,I,15134,188.59,125.96,24.591,44.551,6.74E+05,252.48,3.82E+06,EPI
013118Abl_CM4,15,I,32214,155.54,345.06,30.728,67.866,2.19E+06,226.89,7.31E+06,DP
013118Abl_CM4,16,I,20806,163.36,274.91,31.251,71.688,1.49E+06,194.85,4.05E+06,DP
013118Abl_CM4,17,I,36658,174.81,187.94,31.142,75.112,2.75E+06,199.9,7.33E+06,DP
013118Abl_CM4,18,I,28873,79.634,186.19,34.576,86.126,2.49E+06,194.57,5.62E+06,PRE
013118Abl_CM4,19,I,35523,96.223,296.94,34.924,94.015,3.34E+06,254.88,9.05E+06,PRE
013118Abl_CM4,19.2,I,35523,72,296,38,61.958,,232.774,,EPI
013118Abl_CM4,20,I,29945,135.84,130.78,36.318,73.601,2.20E+06,267.4,8.01E+06,PRE
013118Abl_CM4,21,I,21045,112.84,225.28,35.818,70.053,1.47E+06,226.31,4.76E+06,PRE
013118Abl_CM4,22,I,29398,121.35,370.72,36.354,49.499,1.46E+06,248.43,7.30E+06,DP
013118Abl_CM4,23,I,4849,152.35,228.4,41.064,52.449,2.54E+05,290.59,1.41E+06,DP
