Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,Identity
102218Abl_DV2,59,I,15144,119.31,223.5,57.662,23.115,3.50E+05,61.546,9.32E+05,247.18,3.74E+06,DP
102218Abl_DV2,60,I,24316,222.54,384.97,64.901,17.291,4.20E+05,57.041,1.39E+06,365.77,8.89E+06,EPI
102218Abl_DV2,61,I,31761,251.99,82.595,65.428,15.526,4.93E+05,54.817,1.74E+06,370.46,1.18E+07,TE
102218Abl_DV2,62,I,23976,188.83,333.95,64.309,25.324,6.07E+05,59.142,1.42E+06,429.47,1.03E+07,PRE
102218Abl_DV2,63,I,34284,183.97,150.67,64.738,16.606,5.69E+05,52.387,1.80E+06,322.96,1.11E+07,EPI
102218Abl_DV2,64,I,11538,162.87,243.18,66.595,27.221,3.14E+05,51.521,5.94E+05,264.2,3.05E+06,PRE
102218Abl_DV2,65,I,14568,128.31,256.81,68.675,23.764,3.46E+05,52.003,7.58E+05,189.57,2.76E+06,PRE
102218Abl_DV2,66,I,21334,132.02,185.2,68.879,15.937,3.40E+05,55.223,1.18E+06,236.16,5.04E+06,EPI
102218Abl_DV2,67,I,34874,344.91,441.79,66.795,15.514,5.41E+05,51.967,1.81E+06,353.67,1.23E+07,TE
102218Abl_DV2,68,I,15815,207.27,268.9,69.814,34.119,5.40E+05,67.204,1.06E+06,410.36,6.49E+06,PRE
102218Abl_DV2,69,I,19311,400.23,37.49,69.118,15.606,3.01E+05,54.602,1.05E+06,352.27,6.80E+06,TE
102218Abl_DV2,70,I,11476,196.22,201.38,70.154,23.44,2.69E+05,56.6,6.50E+05,417.24,4.79E+06,DP
102218Abl_DV2,71,I,7849,503.04,396.3,69.357,15.582,1.22E+05,51.931,4.08E+05,399.97,3.14E+06,TE
102218Abl_DV2,72,I,10879,159.27,312.49,70.738,16.68,1.81E+05,50.643,5.51E+05,312.66,3.40E+06,EPI
102218Abl_DV2,73,I,11694,242.71,339.18,70.71,26.749,3.13E+05,72.253,8.45E+05,327.59,3.83E+06,PRE
102218Abl_DV2,74,I,8214,241.8,165.71,70.787,15.441,1.27E+05,35.517,2.92E+05,384.69,3.16E+06,TE
102218Abl_DV2,75,I,4975,487.93,101.44,71.005,15.488,77053,29.3,1.46E+05,383.83,1.91E+06,TE
