Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum, 
010319Abl_EG6,1,I,16060,251.12,219.87,5.5451,18.798,3.02E+05,136.8,2.20E+06,166.41,2.67E+06,
010319Abl_EG6,2,I,20132,293.06,276.56,6.1664,18.027,3.63E+05,43.228,8.70E+05,201.82,4.06E+06,
010319Abl_EG6,3,I,22652,223.13,288.56,6.9826,18.276,4.14E+05,50.576,1.15E+06,146.39,3.32E+06,
010319Abl_EG6,4,I,25139,184.88,198.46,8.4318,18.307,4.60E+05,49.731,1.25E+06,195.41,4.91E+06,
010319Abl_EG6,5,I,21729,372.47,231.92,7.4548,18.679,4.06E+05,100.3,2.18E+06,158.11,3.44E+06,
010319Abl_EG6,6,I,37641,113.1,288.6,8.9328,18.746,7.06E+05,34.962,1.32E+06,208.23,7.84E+06,
010319Abl_EG6,7,I,22245,354.38,303.65,7.4108,18.41,4.10E+05,49.365,1.10E+06,158.69,3.53E+06,
010319Abl_EG6,8,I,28451,181.91,342.41,8.0084,18.131,5.16E+05,44.622,1.27E+06,207.51,5.90E+06,
010319Abl_EG6,9,I,30399,256.41,156.29,10.074,18.231,5.54E+05,37.701,1.15E+06,170.82,5.19E+06,
010319Abl_EG6,10,I,27033,257.3,345.38,10.689,18.227,4.93E+05,40.822,1.10E+06,132.75,3.59E+06,
010319Abl_EG6,11,I,21426,174.69,257.23,11.457,18.411,3.94E+05,38.304,8.21E+05,205.6,4.41E+06,
010319Abl_EG6,12,I,57640,376.39,155.15,14.152,18.28,1.05E+06,36.04,2.08E+06,196.55,1.13E+07,
010319Abl_EG6,13,I,30131,435.84,232.58,11.632,18.37,5.54E+05,55.551,1.67E+06,175.39,5.28E+06,
010319Abl_EG6,14,I,19403,126.15,207.49,14.476,18.132,3.52E+05,48.417,9.39E+05,176.18,3.42E+06,
010319Abl_EG6,15,I,29556,320.77,364.94,14.532,18.146,5.36E+05,41.82,1.24E+06,191.17,5.65E+06,
010319Abl_EG6,16,I,20592,183.15,158.1,15.742,18.162,3.74E+05,36.598,7.54E+05,220.3,4.54E+06,
010319Abl_EG6,17,I,21389,189.01,298.54,21.537,18.404,3.94E+05,37.734,8.07E+05,185.19,3.96E+06,
010319Abl_EG6,18,I,16108,158.18,349.56,19.131,18.261,2.94E+05,44.974,7.24E+05,171.88,2.77E+06,
010319Abl_EG6,19,I,28438,98.28,322.76,21.319,18.334,5.21E+05,41.413,1.18E+06,181.27,5.15E+06,
010319Abl_EG6,20,I,24397,417.67,341.31,20.367,18.475,4.51E+05,47.505,1.16E+06,203.16,4.96E+06,
