Embryo_ID,Cell_ID,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum,Identity
013018Abl_CK1,2,I,25035,248.91,230.14,7.7681,94.638,2.37E+06,152.29,3.81E+06,PRE
013018Abl_CK1,3,I,25000,167.5,238.28,7.356,62.692,1.57E+06,139.78,3.49E+06,PRE
013018Abl_CK1,3.2,I,25000,163,272,12,43.332,,149.611,,EPI
013018Abl_CK1,4,I,15642,254.26,166.99,6.0639,44.099,6.90E+05,162.11,2.54E+06,DP
013018Abl_CK1,5,I,4829,188.84,185.96,5.9907,35.803,1.73E+05,140.04,6.76E+05,EPI
013018Abl_CK1,7,I,11251,110.72,238.39,11.275,42.768,4.81E+05,147.97,1.66E+06,DP
013018Abl_CK1,9,I,23397,214.62,310.41,10.516,82.051,1.92E+06,153.36,3.59E+06,PRE
013018Abl_CK1,10,I,17094,236.8,269.13,12.088,72.481,1.24E+06,163.4,2.79E+06,DP
013018Abl_CK1,11,I,22798,231.25,173.49,17.727,107.81,2.46E+06,150.54,3.43E+06,PRE
013018Abl_CK1,12,I,14222,132.74,317.24,18.062,27.972,3.98E+05,162.77,2.31E+06,EPI
013018Abl_CK1,14,I,17279,149.9,175.47,21.537,45.828,7.92E+05,135.18,2.34E+06,DP
013018Abl_CK1,15,I,25946,236.93,229.31,22.417,81.437,2.11E+06,137.47,3.57E+06,PRE
013018Abl_CK1,16,I,19604,173.28,213.24,24.438,65.306,1.28E+06,127.53,2.50E+06,PRE
013018Abl_CK1,17,I,21266,130.69,250.63,24.963,48.088,1.02E+06,125.52,2.67E+06,DP
013018Abl_CK1,18,I,24023,189.21,339.07,25.115,72.118,1.73E+06,144.77,3.48E+06,PRE
013018Abl_CK1,19,I,9453,232.86,120.14,23.418,41.786,3.95E+05,163.71,1.55E+06,DP
013018Abl_CK1,21,I,28299,233,318.22,29.771,94.296,2.67E+06,133.79,3.79E+06,PRE
013018Abl_CK1,22,I,16955,232.6,212.6,34.216,77.846,1.32E+06,131.76,2.23E+06,PRE
013018Abl_CK1,23,I,21863,193.39,270.03,32.873,63.591,1.39E+06,137.5,3.01E+06,PRE
013018Abl_CK1,24,I,31956,217.59,155.88,37.375,60.804,1.94E+06,137.97,4.41E+06,PRE
013018Abl_CK1,25,I,6288,154.46,144.69,34.055,31.296,1.97E+05,114.74,7.21E+05,EPI
013018Abl_CK1,26,I,21598,140.4,250.11,37.769,67.331,1.45E+06,127.56,2.76E+06,PRE
013018Abl_CK1,27,I,29033,159.13,209.33,41.84,51.126,1.48E+06,125.17,3.63E+06,PRE
013018Abl_CK1,28,I,41954,248.5,276.27,41.534,54.87,2.30E+06,111.19,4.67E+06,PRE
013018Abl_CK1,29,I,19702,161.68,313.79,40.692,31.915,6.29E+05,129.31,2.55E+06,EPI
013018Abl_CK1,30,I,20728,258.24,157.05,42.535,36.41,7.55E+05,111.07,2.30E+06,EPI
013018Abl_CK1,30.2,I,20728,238,198,43,33.385,,131.885,,EPI
013018Abl_CK1,31,I,7602,215.67,238.41,46.091,53.703,4.08E+05,123.91,9.42E+05,PRE
