Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,Identity
080117Abl_BC5,7,I,14064,174.07,179.83,6.754,29.866,4.20E+05,240.79,3.39E+06,EPI
080117Abl_BC5,9,I,13930,158.81,298.44,9.4888,35.333,4.92E+05,251.82,3.51E+06,EPI
080117Abl_BC5,16,I,12878,128.02,220.83,14.364,32.175,4.14E+05,233.87,3.01E+06,EPI
080117Abl_BC5,22,I,22797,223.82,195.31,18.838,81.158,1.85E+06,250.87,5.72E+06,PRE
080117Abl_BC5,25,I,29849,180.25,276.47,18.995,57.849,1.73E+06,240.25,7.17E+06,DP
080117Abl_BC5,26,I,6384,189.12,135.95,20.052,24.223,1.55E+05,227.17,1.45E+06,EPI
080117Abl_BC5,31,I,17628,161.27,241.04,25.259,69.342,1.22E+06,225.43,3.97E+06,PRE
080117Abl_BC5,33,I,10476,128.42,132.89,27.06,24.787,2.60E+05,221.26,2.32E+06,EPI
080117Abl_BC5,34,I,17124,90.276,272.52,27.119,95.099,1.63E+06,251.33,4.30E+06,PRE
080117Abl_BC5,36,I,14075,105.22,198.48,28.965,88.686,1.25E+06,237.69,3.35E+06,PRE
080117Abl_BC5,38,I,6466,137.79,319.09,29.133,24.306,1.57E+05,246.87,1.60E+06,EPI
080117Abl_BC5,41,I,14139,192.69,121.89,32.811,21.503,3.04E+05,246.3,3.48E+06,EPI
080117Abl_BC5,45,I,5292,233.64,202.58,31.636,27.706,1.47E+05,265.98,1.41E+06,DP
080117Abl_BC5,47,I,18890,138.44,253.62,38.258,33.942,6.41E+05,211.81,4.00E+06,DP
080117Abl_BC5,48,I,10473,200.71,296.17,38.487,21.537,2.26E+05,232.45,2.43E+06,DP
