Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum
112018Abl_EA7,1,I,21087,348.93,273.01,4.8742,18.563,3.91E+05,207.5,4.38E+06,153.36,3.23E+06
112018Abl_EA7,2,I,10433,170.22,204.36,5.067,18.841,1.97E+05,218,2.27E+06,142.07,1.48E+06
112018Abl_EA7,3,I,13199,212.08,276.2,5.0223,18.661,2.46E+05,221.01,2.92E+06,167.35,2.21E+06
112018Abl_EA7,4,I,12698,184,327.11,6.4729,18.01,2.29E+05,137.56,1.75E+06,158.69,2.02E+06
112018Abl_EA7,5,I,13329,221.55,192.23,6.258,18.005,2.40E+05,151.99,2.03E+06,133.14,1.77E+06
112018Abl_EA7,6,I,14728,154.2,272.94,7.0054,18.749,2.76E+05,223.8,3.30E+06,140.29,2.07E+06
112018Abl_EA7,7,I,13549,114.44,298.15,8.7201,18.231,2.47E+05,183.57,2.49E+06,175.85,2.38E+06
112018Abl_EA7,8,I,19183,340.72,380.74,9.7501,17.91,3.44E+05,126.01,2.42E+06,175.78,3.37E+06
112018Abl_EA7,9,I,8034,180.67,254.02,12.333,19.066,1.53E+05,198.93,1.60E+06,164.55,1.32E+06
112018Abl_EA7,10,I,19225,334.47,163.06,9.5301,17.776,3.42E+05,103.53,1.99E+06,151.94,2.92E+06
112018Abl_EA7,11,I,13716,143.63,196.28,11.394,18.542,2.54E+05,187.2,2.57E+06,161.88,2.22E+06
112018Abl_EA7,12,I,20582,81.859,323.11,13.266,18.132,3.73E+05,155.26,3.20E+06,208.49,4.29E+06
112018Abl_EA7,13,I,16526,85.988,233.45,12.999,18.149,3.00E+05,170.66,2.82E+06,179.96,2.97E+06
112018Abl_EA7,14,I,13604,179.96,212.49,18.385,18.283,2.49E+05,185.12,2.52E+06,162.77,2.21E+06
112018Abl_EA7,15,I,32242,212.27,413.98,17.871,17.703,5.71E+05,115.86,3.74E+06,151.44,4.88E+06
112018Abl_EA7,16,I,20102,428.05,189.61,19.52,18.002,3.62E+05,155.76,3.13E+06,155.09,3.12E+06
112018Abl_EA7,17,I,8678,43.404,215.94,18.638,18.847,1.64E+05,261.67,2.27E+06,142.69,1.24E+06
112018Abl_EA7,18,I,12208,148.77,267.83,18.253,18.462,2.25E+05,189.96,2.32E+06,141.64,1.73E+06
112018Abl_EA7,19,I,19147,222.79,132.56,20.268,17.945,3.44E+05,135.91,2.60E+06,136.17,2.61E+06
112018Abl_EA7,20,I,10511,140.47,311.11,19.749,18.54,1.95E+05,152.58,1.60E+06,137.44,1.44E+06
