Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,targeted
052119Abl_FC1,1,I,17991,293.92,226.93,4.5532,22.103,3.98E+05,245.2,4.41E+06,386.62,6.96E+06,F
052119Abl_FC1,2,I,1331,152.73,227.78,3.4981,33.083,44033,133.18,1.77E+05,241.9,3.22E+05,F
052119Abl_FC1,3,I,5230,131.92,270.56,4.604,22.115,1.16E+05,232.98,1.22E+06,298.81,1.56E+06,F
052119Abl_FC1,4,I,21612,331.35,310.53,5.414,22.201,4.80E+05,228.33,4.93E+06,408.28,8.82E+06,F
052119Abl_FC1,5,I,16933,214.7,316.85,5.0194,22.295,3.78E+05,251.18,4.25E+06,412.55,6.99E+06,F
052119Abl_FC1,6,M,29384,207.53,176.08,6.8693,21.819,6.41E+05,146.41,4.30E+06,400.59,1.18E+07,F
052119Abl_FC1,7,I,10975,176.59,277.01,7.5233,22.438,2.46E+05,229.28,2.52E+06,404.46,4.44E+06,F
052119Abl_FC1,8,I,11971,126.14,303.86,6.8699,22.508,2.69E+05,254.42,3.05E+06,346.7,4.15E+06,F
052119Abl_FC1,9,I,15408,193.51,231.04,10.517,22.627,3.49E+05,212.87,3.28E+06,426.61,6.57E+06,F
052119Abl_FC1,11,I,10103,118.06,263.91,13.669,22.776,2.30E+05,283.94,2.87E+06,298.43,3.02E+06,F
052119Abl_FC1,13,M,28768,346.03,142.24,16.325,21.335,6.14E+05,105.66,3.04E+06,492.56,1.42E+07,F
052119Abl_FC1,15,I,11588,86.868,242.76,15.967,22.772,2.64E+05,269.43,3.12E+06,490.73,5.69E+06,F
052119Abl_FC1,16,I,11488,53.304,271.28,15.879,23.746,2.73E+05,427.26,4.91E+06,433.35,4.98E+06,F
052119Abl_FC1,17,I,30229,299.14,409.34,14.255,22.209,6.71E+05,223.15,6.75E+06,495.68,1.50E+07,F
052119Abl_FC1,19,I,9807,119.66,177.02,16.552,22.707,2.23E+05,261.86,2.57E+06,312.22,3.06E+06,F
052119Abl_FC1,21,I,9221,144.7,311.53,17.07,23.505,2.17E+05,453.62,4.18E+06,334.09,3.08E+06,F
052119Abl_FC1,22,I,8334,155.93,268.53,18.671,21.931,1.83E+05,201.23,1.68E+06,411.76,3.43E+06,F
052119Abl_FC1,24,I,17889,175.89,178.27,19.909,22.241,3.98E+05,176.59,3.16E+06,351.19,6.28E+06,F
052119Abl_FC1,25,I,8842,130.95,216.29,20.97,22.068,1.95E+05,215.71,1.91E+06,297.81,2.63E+06,F
052119Abl_FC1,26,I,11727,91.269,312.82,21.317,22.789,2.67E+05,287.22,3.37E+06,373.11,4.38E+06,F
052119Abl_FC1,30,I,12645,40.732,227.76,25.17,22.473,2.84E+05,254.17,3.21E+06,342.5,4.33E+06,F
052119Abl_FC1,31,I,8201,96.415,214.04,25.381,21.679,1.78E+05,209.56,1.72E+06,381.07,3.13E+06,F
052119Abl_FC1,32,I,24456,434.2,338.1,24.334,22.065,5.40E+05,216.9,5.30E+06,391.12,9.57E+06,F
052119Abl_FC1,33,I,12722,139.13,378.75,26.813,23.04,2.93E+05,425.41,5.41E+06,365.05,4.64E+06,F
052119Abl_FC1,34,I,9861,44.273,171.25,26.007,27.495,2.71E+05,132.04,1.30E+06,432.6,4.27E+06,F
052119Abl_FC1,35,I,8849,357.11,71.508,30.21,22.543,1.99E+05,287.6,2.55E+06,309.28,2.74E+06,F
052119Abl_FC1,36,I,10856,63.914,256.06,29.322,22.211,2.41E+05,214,2.32E+06,320.46,3.48E+06,F
052119Abl_FC1,38,I,12372,107.48,334.25,31.443,21.923,2.71E+05,219.04,2.71E+06,354.55,4.39E+06,F
052119Abl_FC1,39,I,16617,110.9,123.72,33.729,22.488,3.74E+05,250.1,4.16E+06,428.28,7.12E+06,F
052119Abl_FC1,40,I,11391,94.157,162.24,28.826,21.762,2.48E+05,171.99,1.96E+06,514.8,5.86E+06,F
