Embryo_ID,Cell_ID,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,Identity
121917Abl_CE4,1,I,12047,246.38,232.2,4.6969,200.77,2.42E+06,182.26,2.20E+06,PRE
121917Abl_CE4,4,I,15959,238.31,299.37,6.4722,128.4,2.05E+06,187.2,2.99E+06,PRE
121917Abl_CE4,5,I,16114,103.35,288.11,6.392,40.771,6.57E+05,201.25,3.24E+06,EPI
121917Abl_CE4,6,I,24724,197.11,231.75,10.672,222.71,5.51E+06,180.7,4.47E+06,PRE
121917Abl_CE4,7,I,30014,108.15,184.65,9.402,81.824,2.46E+06,206.68,6.20E+06,DP
121917Abl_CE4,7.2,I,30014,150,203,11,51.655,,142.255,,EPI
121917Abl_CE4,9,I,14381,127.83,263.53,14.881,75.84,1.09E+06,186.48,2.68E+06,DP
121917Abl_CE4,10,I,12597,103.22,333.67,17.939,39.56,4.98E+05,188.59,2.38E+06,EPI
121917Abl_CE4,12,I,18442,189.86,291.81,19.106,176.8,3.26E+06,177.74,3.28E+06,PRE
121917Abl_CE4,13,I,908,143.33,363.37,14,49.675,,201.33,,EPI
121917Abl_CE4,14,I,20378,45.101,222.7,17.684,44.556,9.08E+05,194.08,3.95E+06,EPI
121917Abl_CE4,14.2,I,20378,74,271,22,41.94,,166.018,,EPI
121917Abl_CE4,15,I,20459,195.55,359.21,14.766,90.844,1.86E+06,164.9,3.37E+06,PRE
121917Abl_CE4,16,I,18236,173.97,158.17,21.51,139.7,2.55E+06,158.94,2.90E+06,PRE
121917Abl_CE4,17,I,5306,142.15,227.3,19.845,130.19,6.91E+05,166.14,8.82E+05,PRE
121917Abl_CE4,18,I,2587,104.71,209.88,18.009,92.58,2.40E+05,203.71,5.27E+05,DP
121917Abl_CE4,19,I,9636,180.74,216.9,23.188,138.02,1.33E+06,170.95,1.65E+06,PRE
121917Abl_CE4,20,I,18000,129.73,135.72,26.459,105.83,1.90E+06,208.86,3.76E+06,PRE
121917Abl_CE4,21,I,13637,143.58,279.71,27.705,170.38,2.32E+06,178.53,2.43E+06,PRE
121917Abl_CE4,22,I,14899,78.396,194.84,28.041,64.012,9.54E+05,165.67,2.47E+06,DP
121917Abl_CE4,23,I,17497,145.61,388.1,28.603,135.75,2.38E+06,172.75,3.02E+06,PRE
121917Abl_CE4,23.2,I,17497,137,350,26,39.295,,204.621,,EPI
121917Abl_CE4,25,I,22872,48.755,318.33,31.366,91.482,2.09E+06,173.25,3.96E+06,PRE
121917Abl_CE4,26,I,6583,99.489,142.97,32.23,88.674,5.84E+05,160.12,1.05E+06,DP
121917Abl_CE4,27,I,14609,43.417,248.26,33.902,100.5,1.47E+06,166.81,2.44E+06,PRE
121917Abl_CE4,28,I,9739,54.212,176.03,35.608,49.555,4.83E+05,164.79,1.60E+06,DP
121917Abl_CE4,29,I,14221,124.69,193.44,37.031,62.077,8.83E+05,197.74,2.81E+06,DP
121917Abl_CE4,30,I,23153,165.55,332.17,39.857,67.533,1.56E+06,148.3,3.43E+06,PRE
121917Abl_CE4,31,I,19796,97.118,234.93,41.556,89.235,1.77E+06,157.01,3.11E+06,PRE
121917Abl_CE4,32,I,17589,61.451,280.35,42.6,97.781,1.72E+06,157.8,2.78E+06,PRE
121917Abl_CE4,33,I,18883,98.851,174.42,43.344,53.634,1.01E+06,169,3.19E+06,DP
121917Abl_CE4,34,I,7588,117.34,310.67,44.523,39.331,2.98E+05,183.05,1.39E+06,DP
