
Time Index
 ==================== 
Time Index,Unit,Category,Time,NS-labs,TrackID,ID,
1,,Spot,1,PRE,1000000000,0,
1,,Spot,1,PRE,1000000068,68,
1,,Spot,1,PRE,1000000136,136,
1,,Spot,1,PRE,1000000144,144,
1,,Spot,1,PRE,1000000219,219,
1,,Spot,1,PRE,1000000234,234,
1,,Spot,1,PRE,1000000239,239,
1,,Spot,1,PRE,1000000315,315,
1,,Spot,1,PRE,1000000388,388,
1,,Spot,1,PRE,1000000507,507,
1,,Spot,1,PRE,1000000575,575,
1,,Spot,1,PRE,1000000610,610,
2,,Spot,2,PRE,1000000000,611,
2,,Spot,2,PRE,1000000068,612,
2,,Spot,2,PRE,1000000136,613,
2,,Spot,2,PRE,1000000144,614,
2,,Spot,2,PRE,1000000219,615,
2,,Spot,2,PRE,1000000234,616,
2,,Spot,2,PRE,1000000239,617,
2,,Spot,2,PRE,1000000315,618,
2,,Spot,2,PRE,1000000388,619,
2,,Spot,2,PRE,1000000507,620,
2,,Spot,2,PRE,1000000575,621,
2,,Spot,2,PRE,1000000610,622,
3,,Spot,3,PRE,1000000000,623,
3,,Spot,3,PRE,1000000068,624,
3,,Spot,3,PRE,1000000136,625,
3,,Spot,3,PRE,1000000144,626,
3,,Spot,3,PRE,1000000219,627,
3,,Spot,3,PRE,1000000234,628,
3,,Spot,3,PRE,1000000239,629,
3,,Spot,3,PRE,1000000315,630,
3,,Spot,3,PRE,1000000388,631,
3,,Spot,3,PRE,1000000507,632,
3,,Spot,3,PRE,1000000575,633,
3,,Spot,3,PRE,1000000610,634,
4,,Spot,4,PRE,1000000000,635,
4,,Spot,4,PRE,1000000068,636,
4,,Spot,4,PRE,1000000136,637,
4,,Spot,4,PRE,1000000144,638,
4,,Spot,4,PRE,1000000219,639,
4,,Spot,4,PRE,1000000234,640,
4,,Spot,4,PRE,1000000239,641,
4,,Spot,4,PRE,1000000315,642,
4,,Spot,4,PRE,1000000388,643,
4,,Spot,4,PRE,1000000507,644,
4,,Spot,4,PRE,1000000575,645,
4,,Spot,4,PRE,1000000610,646,
5,,Spot,5,PRE,1000000000,647,
5,,Spot,5,PRE,1000000068,648,
5,,Spot,5,PRE,1000000136,649,
5,,Spot,5,PRE,1000000144,650,
5,,Spot,5,PRE,1000000219,651,
5,,Spot,5,Apoptosis;PRE,1000000234,652,
5,,Spot,5,PRE,1000000239,653,
5,,Spot,5,PRE,1000000315,654,
5,,Spot,5,PRE,1000000388,655,
5,,Spot,5,PRE,1000000507,656,
5,,Spot,5,PRE,1000000575,657,
5,,Spot,5,PRE,1000000610,658,
6,,Spot,6,PRE,1000000000,659,
6,,Spot,6,PRE,1000000068,660,
6,,Spot,6,PRE,1000000136,661,
6,,Spot,6,PRE,1000000144,662,
6,,Spot,6,PRE,1000000219,663,
6,,Spot,6,PRE,1000000239,664,
6,,Spot,6,PRE,1000000315,665,
6,,Spot,6,PRE,1000000388,666,
6,,Spot,6,PRE,1000000507,667,
6,,Spot,6,PRE,1000000575,668,
6,,Spot,6,PRE,1000000610,669,
7,,Spot,7,PRE,1000000000,670,
7,,Spot,7,PRE,1000000068,671,
7,,Spot,7,PRE,1000000136,672,
7,,Spot,7,PRE,1000000144,673,
7,,Spot,7,PRE,1000000219,674,
7,,Spot,7,PRE,1000000239,675,
7,,Spot,7,PRE,1000000315,676,
7,,Spot,7,PRE,1000000388,677,
7,,Spot,7,PRE,1000000507,678,
7,,Spot,7,PRE,1000000575,679,
7,,Spot,7,PRE,1000000610,680,
8,,Spot,8,PRE,1000000000,681,
8,,Spot,8,PRE,1000000068,682,
8,,Spot,8,Apoptosis;PRE,1000000136,683,
8,,Spot,8,PRE,1000000144,684,
8,,Spot,8,PRE,1000000219,685,
8,,Spot,8,PRE,1000000239,686,
8,,Spot,8,PRE,1000000315,687,
8,,Spot,8,PRE,1000000388,688,
8,,Spot,8,PRE,1000000507,689,
8,,Spot,8,PRE,1000000575,690,
8,,Spot,8,PRE,1000000610,691,
9,,Spot,9,PRE,1000000000,692,
9,,Spot,9,PRE,1000000068,693,
9,,Spot,9,PRE,1000000144,694,
9,,Spot,9,PRE,1000000219,695,
9,,Spot,9,PRE,1000000239,696,
9,,Spot,9,PRE,1000000315,697,
9,,Spot,9,PRE,1000000388,698,
9,,Spot,9,PRE,1000000507,699,
9,,Spot,9,PRE,1000000575,700,
9,,Spot,9,PRE,1000000610,701,
10,,Spot,10,PRE,1000000000,702,
10,,Spot,10,PRE,1000000068,703,
10,,Spot,10,PRE,1000000144,704,
10,,Spot,10,PRE,1000000219,705,
10,,Spot,10,PRE,1000000239,706,
10,,Spot,10,PRE,1000000315,707,
10,,Spot,10,PRE,1000000388,708,
10,,Spot,10,PRE,1000000507,709,
10,,Spot,10,PRE,1000000575,710,
10,,Spot,10,PRE,1000000610,711,
11,,Spot,11,PRE,1000000000,712,
11,,Spot,11,PRE,1000000068,713,
11,,Spot,11,PRE,1000000144,714,
11,,Spot,11,PRE,1000000219,715,
11,,Spot,11,PRE,1000000239,716,
11,,Spot,11,PRE,1000000315,717,
11,,Spot,11,PRE,1000000388,718,
11,,Spot,11,PRE,1000000507,719,
11,,Spot,11,PRE,1000000575,720,
11,,Spot,11,PRE,1000000610,721,
12,,Spot,12,PRE,1000000000,722,
12,,Spot,12,PRE,1000000068,723,
12,,Spot,12,PRE,1000000144,724,
12,,Spot,12,PRE,1000000219,725,
12,,Spot,12,PRE,1000000239,726,
12,,Spot,12,PRE,1000000315,727,
12,,Spot,12,PRE,1000000388,728,
12,,Spot,12,PRE,1000000507,729,
12,,Spot,12,PRE,1000000575,730,
12,,Spot,12,PRE,1000000610,731,
13,,Spot,13,PRE,1000000000,732,
13,,Spot,13,PRE,1000000068,733,
13,,Spot,13,PRE,1000000144,734,
13,,Spot,13,PRE,1000000219,735,
13,,Spot,13,PRE,1000000239,736,
13,,Spot,13,PRE,1000000315,737,
13,,Spot,13,PRE,1000000388,738,
13,,Spot,13,PRE,1000000507,739,
13,,Spot,13,PRE,1000000575,740,
13,,Spot,13,PRE,1000000610,741,
14,,Spot,14,PRE,1000000000,742,
14,,Spot,14,PRE,1000000068,743,
14,,Spot,14,PRE,1000000144,744,
14,,Spot,14,PRE,1000000219,745,
14,,Spot,14,PRE,1000000239,746,
14,,Spot,14,PRE,1000000315,747,
14,,Spot,14,PRE,1000000388,748,
14,,Spot,14,PRE,1000000507,749,
14,,Spot,14,PRE,1000000575,750,
14,,Spot,14,PRE,1000000610,751,
15,,Spot,15,PRE,1000000000,752,
15,,Spot,15,PRE,1000000068,753,
15,,Spot,15,PRE,1000000144,754,
15,,Spot,15,Apoptosis;PRE,1000000219,755,
15,,Spot,15,PRE,1000000239,756,
