Embryo_ID,Cellcount,Cell_ID,Identity,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum,
091415_FGF4ko_H3,64,1,TE,17809,186.57,304.77,7.2613,1937.1,3.45E+07,776.01,1.38E+07,230.83,4.11E+06,852.11,1.52E+07,352.51,6.28E+06,
091415_FGF4ko_H3,64,2,TE,9143,279.09,252.52,5.961,2027,1.85E+07,820.74,7.50E+06,448.92,4.10E+06,872.17,7.97E+06,580.6,5.31E+06,
091415_FGF4ko_H3,64,3,EPI,8586,222.55,258.89,6.6112,1953.7,1.68E+07,138.36,1.19E+06,2774.7,2.38E+07,921.06,7.91E+06,298.28,2.56E+06,
091415_FGF4ko_H3,64,4,TE,10699,259.53,201.05,9.0337,2091.1,2.24E+07,839.59,8.98E+06,265.74,2.84E+06,866.8,9.27E+06,297.3,3.18E+06,
091415_FGF4ko_H3,64,5,EPI,6485,238.39,300.28,7.2604,2046.7,1.33E+07,89.188,5.78E+05,2885.9,1.87E+07,852.58,5.53E+06,309.11,2.00E+06,
091415_FGF4ko_H3,64,7,TE,11757,299.82,315.63,8.389,1649.2,1.94E+07,639.3,7.52E+06,347.06,4.08E+06,877.61,1.03E+07,443.88,5.22E+06,
091415_FGF4ko_H3,64,8,EPI,7457,211.57,209.66,10.861,1742.1,1.30E+07,116.83,8.71E+05,2922.6,2.18E+07,891.81,6.65E+06,313.37,2.34E+06,
091415_FGF4ko_H3,64,9,EPI,6083,254.14,277.07,11.62,2115.6,1.29E+07,108.95,6.63E+05,3440,2.09E+07,860.86,5.24E+06,198.15,1.21E+06,
091415_FGF4ko_H3,64,10,TE,12062,139.89,235.74,13.756,2146.9,2.59E+07,694.49,8.38E+06,276.42,3.33E+06,853.26,1.03E+07,451.37,5.44E+06,
091415_FGF4ko_H3,64,11,EPI,6472,170.33,226.56,13.102,2097.2,1.36E+07,107.74,6.97E+05,2972.5,1.92E+07,757.72,4.90E+06,201.67,1.31E+06,
