"Experiment","Embryo_ID","Experimenter","Treatment","Cell_ID","Identity.man","Size","X","Y","Z","CH1.Avg","CH2.Avg","CH3.Avg","CH4.Avg","CH5.Avg","TE_ICM","Stage","CH1.ebLogCor","CH4.ebLogCor","CH5.ebLogCor","Identity.km","Exp_date","Img_date","Gene1","Gene2","Genotype1","Genotype2","Background","Litter","Cellcount","icm.count","litter.median","CH4.ebLogCor.l","CH5.ebLogCor.l","id.cluster","Identity.hc"
"020614_R3","020614_R3_LM1","NS","Littermate",11,"TE",3893,263.73,175.18,18.648,158.86,9.6833,32.252,49.702,8.542,"TE","64_90",5.70540699278959,4.34604391815339,2.55202685681687,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.656966340988315,0.356328193239055,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",12,"TE",12616,125.69,272.03,23.854,103.07,88.369,30.496,137.29,20.656,"TE","64_90",5.45073191137691,5.48492771833617,3.54865924596863,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.829124822841591,0.49548355424216,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",13,"TE",9694,223.28,396.22,25.191,72.701,72.59,31.543,140.76,6.0553,"TE","64_90",5.14737734657928,5.541434848196,2.35078099448125,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.837666679077488,0.328229125891336,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",14,"TE",3909,218.83,161.84,26.644,154.06,7.319,29.609,40.249,7.1374,"TE","64_90",5.94802672210907,4.32374878336296,2.54690699172021,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.653596114317589,0.35561332917928,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",17,"TE",8392,378.52,256.93,32.799,84.513,72.323,31.535,50.456,7.846,"TE","64_90",5.5579665436651,4.69499108300454,2.77590292110514,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.70971466714603,0.387587015333432,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",18,"TE",10549,171.28,384.2,35.365,72.039,75.636,35.759,129.5,14.001,"TE","64_90",5.4859741299967,5.69811346598035,3.41102894321856,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.861350880198177,0.476266845380778,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",21,"TE",10096,174.47,173.07,38.875,89.123,54.837,30.255,88.216,3.9625,"TE","64_90",5.81875441118394,5.39703921645943,2.22540432386013,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.815839225967678,0.310723337346275,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",23,"TE",5755,129.64,214.88,38.812,73.265,60.264,28.707,88.584,5.2867,"TE","64_90",5.6206668999251,5.39971563824231,2.51234202879171,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.816243805180119,0.350787176681398,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",24,"TE",11922,240.08,146.23,43.038,66.305,48.849,33.543,50.389,7.3116,"TE","64_90",5.66529276091111,4.9352499660373,2.92884334005269,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.746033213909137,0.408941407827866,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",25,"TE",10024,381.86,292.17,41.831,61.316,49.521,33.615,52.956,3.2654,"TE","64_90",5.54581349647832,4.95645937064092,2.09643587852191,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.749239317022541,0.29271604522493,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",28,"TE",8884,234.94,422.12,42.056,50.378,60.381,33.234,115.88,3.1253,"TE","64_90",5.3570180346935,5.74486097895308,2.05749621848666,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.868417431555313,0.287279073169311,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",29,"TE",9704,342.36,176.36,42.645,75.761,60.268,32.646,33.642,10.399,"TE","64_90",5.78517828967161,4.5219805676212,3.27250899715668,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.683561667456098,0.456925919568828,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",33,"TE",5670,113.69,235.73,50.799,37.998,28.438,27.784,51.659,13.509,"TE","64_90",5.37383075648222,5.14326106831139,3.71212628674415,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.777477050032178,0.518307732262891,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",38,"TE",9840,176.67,394.05,56.596,30.816,41.665,30.184,70.048,13.92,"TE","64_90",5.36247160160435,5.58455618733685,3.86862462882411,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.844185082694062,0.540158901786952,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",40,"TE",12340,366.45,343.6,59.041,36.613,31.129,29.24,56.057,10.166,"TE","64_90",5.61840978814386,5.41943425678161,3.60771516028958,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.819224554780231,0.503729269679619,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",42,"TE",9725,110.39,325.01,58.201,27.508,33.436,29.161,58.146,9.7418,"TE","64_90",5.3037732467429,5.43620257882811,3.54675844187614,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.821759325110873,0.495218153395704,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",44,"TE",11420,156.29,188.9,62.139,27.675,27.655,28.359,38.482,6.8398,"TE","64_90",5.44442549191605,5.11635348103833,3.27904801450026,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.773409585577489,0.457838933563713,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",45,"TE",12999,360.49,213,65.619,27.952,26.338,29.901,18.93,1.0478,"TE","64_90",5.57333008811819,4.48902360308387,1.47901917343151,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.678579753602965,0.206508888582825,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",46,"TE",10202,241.36,151.38,63.553,36.156,28.976,28.317,30.734,28.016,"TE","64_90",5.76006817197627,4.9248961858753,4.71991687371133,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.744468092802097,0.659021062946743,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",48,"TE",9728,372.47,296.71,64.95,20.857,22.287,29.675,28.513,1.3542,"TE","64_90",5.25766595549457,4.88284903248733,1.72091382043592,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.73811206763749,0.240283565479756,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",56,"TE",12409,276.21,395.18,75.122,19.753,21.847,33.497,28.283,2.9448,"TE","64_90",5.5509578906388,5.1147566524514,2.71972279919983,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.773168202228932,0.379742834038476,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",57,"TE",13527,176.9,374.63,75.353,8.747,15.504,30.131,37.527,8.7678,"TE","64_90",4.74426517722762,5.4030059479449,3.81578717769832,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.816741182281395,0.532781442790108,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",58,"TE",9650,129.52,312.21,76.141,8.7748,7.6435,27.95,25.979,8.1684,"TE","64_90",4.77437193751437,5.05382771842611,3.76217440303458,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.76395792741332,0.525295728805777,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",62,"TE",5669,343.32,261.7,81.665,20.482,14.987,34.463,25.822,0.72323,"TE","64_90",5.81083656294119,5.17810400662917,1.45856879005459,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.782744055641647,0.203653492237649,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",63,"TE",10598,219.3,197.91,83.589,12.201,11.827,36.598,19.223,1.9389,"TE","64_90",5.35857308404387,4.92838246134206,2.48662502041002,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.744995092915351,0.347196424841274,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",66,"TE",7764,156.55,261.89,84.935,5.285,6.5081,27.823,18.213,3.4281,"TE","64_90",4.56794438972297,4.90616956177556,3.08586641233736,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.741637297268144,0.430865843103532,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",67,"TE",7035,266.55,210.41,87.157,20.298,16.614,32.813,26.678,0.82544,"TE","64_90",5.98952742888662,5.34029920358968,1.71061192110723,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.807262166153126,0.238845156959517,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",68,"TE",14661,317.51,294.75,87.215,17.267,18.403,33.411,22.27,2.6914,"TE","64_90",5.8297855227061,5.1610696722814,2.89369407659175,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.78016907376885,0.404033672037679,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",69,"TE",10544,212.67,344.79,88.713,10.318,14.716,35.774,21.041,1.0577,"TE","64_90",5.36608339159694,5.13964745140791,1.99248274647474,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.776930800449909,0.27820153036982,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",69.2,"TE",10544,212.67,344.79,88.713,10.318,14.716,35.774,21.041,1.0577,"TE","64_90",5.36608339159694,5.13964745140791,1.99248274647474,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.776930800449909,0.27820153036982,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",70,"TE",6978,235.5,242.67,89.617,16.569,18.535,35.556,27.226,1.1956,"TE","64_90",5.870621721072,5.41867559850679,2.13475438195393,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.81910987279352,0.298066287938515,0,"TE"
"020614_R3","020614_R3_LM1","NS","Littermate",71,"TE",7459,181.14,298.94,88.508,6.3389,8.0944,29.48,21.724,34.221,"TE","64_90",4.87189794575129,5.16675508298598,5.46465945375114,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",70,28,70,0.781028504446023,0.763006166890663,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",1,"TE",10989,274.68,240.71,5.3004,138.74,154.27,31.977,179.6,65.471,"TE","64_90",5.12105583497151,5.34076589443639,4.29747716931978,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.807332713111167,0.600037680300828,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",2,"TE",16200,221.28,301.6,7.2675,112.04,130.5,30.435,194.56,111.02,"TE","64_90",4.97724967137459,5.47645504916914,4.8685810117431,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.82784405841171,0.679778377299765,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",3,"TE",13645,244.32,180.67,10.483,114.64,144.61,31.792,195.12,198.86,"TE","64_90",5.11451620009967,5.57034718184419,5.52176310966584,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.842037189455201,0.770979297144006,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",4,"TE",14971,161.14,246.38,9.3049,112.16,122.97,29.363,173.73,26.209,"TE","64_90",5.05075902170045,5.42088754914582,3.46951460401306,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.819444240587573,0.484432938847087,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",8,"TE",11999,274.19,328.97,14.287,133.18,103.75,31.127,131,9.0463,"TE","64_90",5.39967047138325,5.27960606860393,2.51468502507422,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.798087535715512,0.351114318862478,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",12,"TE",13384,182.52,151.29,23.303,100.48,119,33.669,195.9,101.88,"TE","64_90",5.43848781369697,5.93721981445725,5.13320725223512,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.89749520497359,0.716726965793766,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",15,"TE",12072,373.22,287.5,23.675,108.96,79.012,31.281,128.28,29.657,"TE","64_90",5.53273617550119,5.52436096957893,3.90724421011913,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.835085719526048,0.545551182667439,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",16,"TE",9494,135.46,301.53,22.389,128.39,128.71,29.884,153.2,26.949,"TE","64_90",5.6511045253899,5.66548819485144,3.78338020605008,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.856419106520561,0.528256601045233,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",18,"TE",9207,214.05,355.51,25.901,122.43,116.47,30.806,116.82,20.857,"TE","64_90",5.72843914026524,5.493789140775,3.60389810337225,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.830464352856755,0.503196310948715,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",20,"TE",9683,369.91,177,30.601,122.59,4.9562,31.816,52.935,11.108,"TE","64_90",5.89685162838025,4.83525888369807,3.07662167746007,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.730918139894014,0.429575041767723,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",21,"TE",8234,258.61,357.97,27.932,124.88,100.31,30.115,82.087,6.9264,"TE","64_90",5.82046429150844,5.19842438355297,2.54595659426134,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.785815769578861,0.355480629396566,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",25,"TE",12197,325.87,355.92,30.995,107.67,72.901,32.637,69.002,5.7295,"TE","64_90",5.7810857812279,5.11148175612559,2.42320578483729,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.772673155078742,0.338341478206261,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",27,"TE",9486,215.1,134.24,34.364,77.597,92.025,30.835,101.09,7.2414,"TE","64_90",5.57332725613754,5.58871996733171,2.73103578971608,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.844814497251167,0.381322416737623,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",29,"TE",7413,142.61,331.64,37.706,55.192,65.883,28.002,159.6,28.864,"TE","64_90",5.35144039666703,6.13997776996802,4.18686316057929,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.928144953261173,0.584593136770205,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",31,"TE",10975,124.31,194.92,40.688,59.203,75.562,32.657,74.792,12.498,"TE","64_90",5.5276181989866,5.46642724822025,3.41502860589392,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.826328213698307,0.476825300543924,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",33,"TE",12910,256.16,123.32,45.707,46.316,57.663,32.507,80.874,17.467,"TE","64_90",5.46058230702515,5.68667647848879,3.85948794104981,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.859622016899563,0.538883186589006,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",38,"TE",9168,268.69,382.61,42.87,75.342,52.343,32.002,44.669,9.1777,"TE","64_90",5.84626343814643,5.01276068764459,3.15393867688572,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.757750061718476,0.440370471540892,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",40,"TE",6633,111.55,263.98,46.728,35.003,34.57,26.883,72.284,16.994,"TE","64_90",5.21683051789348,5.60328747941835,3.85435442300877,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.847016583859839,0.53816641622915,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",44,"TE",13097,396.3,299.61,51.821,59.52,53.652,29.036,87.268,30.689,"TE","64_90",5.92878737821031,5.93583079592815,4.55673025946066,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.89728523507043,0.636236039638145,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",46,"TE",6890,181.33,144.01,51.192,24.635,28.732,27.004,42.013,26.729,"TE","64_90",5.02428173908389,5.18702279987061,4.40482544628162,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.784092258069466,0.615026244184849,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",50,"TE",10789,179.49,351.51,56.85,28.641,40.176,26.48,35.088,14.021,"TE","64_90",5.37611998303664,5.16705877848762,3.88332151406552,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.781074412339787,0.542210962700936,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",52,"TE",7909,132.13,205.35,61.823,17.546,23.124,29.491,37.328,27.853,"TE","64_90",5.06292180728592,5.36970892477658,4.6784137294657,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.811707863730396,0.653226162958413,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",54,"TE",8028,229.68,371.18,62.322,27.182,25.932,29.432,29.292,22.171,"TE","64_90",5.51839050253279,5.1414050852312,4.46116738845465,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.777196491796667,0.622893019726207,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",56,"TE",12046,132.93,265.76,67.533,13.47,16.385,28.28,34.054,15.806,"TE","64_90",5.00157910619596,5.43954029101764,4.23668772534126,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.822263867772136,0.591549919804494,0,"TE"
"020614_R3","020614_R3_LM2","NS","Littermate",58,"TE",14209,183.98,167.5,68.706,12.449,21.072,28.394,24.576,4.2987,"TE","64_90",4.96446053218985,5.14656723161836,2.96026983225258,"TE",20140206,20140219,"any","any","wt","wt","CD1/mixed","020614_R3",64,31,70,0.777976823631202,0.413329349575233,0,"TE"
