"Embryo_ID","Identity.hc","lin.count","Litter","Experiment","Treatment","Embryo_size","TE_ICM","Cellcount","icm.count","H_genotype","D_genotype","t0.donor","donor.end","cell_type","lin.type","pc.lin"
"011017Xim_WT_AB4","EPI",5,"AB","011017Xim_WT_AB","Chimera","Single","ICM",84,23,"wt","CAG:H2B-GFP",50,"[20,40)","donor",2,40
"011017Xim_WT_AB4","EPI",5,"AB","011017Xim_WT_AB","Chimera","Single","ICM",84,23,"wt","CAG:H2B-GFP",50,"[20,40)","host",3,60
"011017Xim_WT_AB4","PRE",14,"AB","011017Xim_WT_AB","Chimera","Single","ICM",84,23,"wt","CAG:H2B-GFP",50,"[20,40)","host",11,78.5714285714286
"011017Xim_WT_AB4","PRE",14,"AB","011017Xim_WT_AB","Chimera","Single","ICM",84,23,"wt","CAG:H2B-GFP",50,"[20,40)","donor",3,21.4285714285714
"011017Xim_WT_AB4","TE",61,"AB","011017Xim_WT_AB","Chimera","Single","TE",84,23,"wt","CAG:H2B-GFP",50,"[20,40)","host",28,45.9016393442623
"011017Xim_WT_AB4","TE",61,"AB","011017Xim_WT_AB","Chimera","Single","TE",84,23,"wt","CAG:H2B-GFP",50,"[20,40)","donor",33,54.0983606557377
"011017Xim_WT_AB5","DP",2,"AB","011017Xim_WT_AB","Chimera","Single","ICM",102,33,"wt","CAG:H2B-GFP",50,"[80,100]","donor",1,50
"011017Xim_WT_AB5","DP",2,"AB","011017Xim_WT_AB","Chimera","Single","ICM",102,33,"wt","CAG:H2B-GFP",50,"[80,100]","host",1,50
"011017Xim_WT_AB5","EPI",5,"AB","011017Xim_WT_AB","Chimera","Single","ICM",102,33,"wt","CAG:H2B-GFP",50,"[80,100]","donor",3,60
"011017Xim_WT_AB5","EPI",5,"AB","011017Xim_WT_AB","Chimera","Single","ICM",102,33,"wt","CAG:H2B-GFP",50,"[80,100]","host",2,40
"011017Xim_WT_AB5","EPI.lo",3,"AB","011017Xim_WT_AB","Chimera","Single","ICM",102,33,"wt","CAG:H2B-GFP",50,"[80,100]","donor",3,100
"011017Xim_WT_AB5","EPI.lo",3,"AB","011017Xim_WT_AB","Chimera","Single","ICM",102,33,"wt","CAG:H2B-GFP",50,"[80,100]","host",0,0
"011017Xim_WT_AB5","PRE",23,"AB","011017Xim_WT_AB","Chimera","Single","ICM",102,33,"wt","CAG:H2B-GFP",50,"[80,100]","donor",20,86.9565217391304
"011017Xim_WT_AB5","PRE",23,"AB","011017Xim_WT_AB","Chimera","Single","ICM",102,33,"wt","CAG:H2B-GFP",50,"[80,100]","host",3,13.0434782608696
"011017Xim_WT_AB5","TE",69,"AB","011017Xim_WT_AB","Chimera","Single","TE",102,33,"wt","CAG:H2B-GFP",50,"[80,100]","host",35,50.7246376811594
