"Exp_date","Embryo_ID","Litter","Genotype1","Stage.t0","Cellcount","Treatment","ES_culture","ESC_line","ESC_genotype","icm.count","D_cells","EPI","ESC","PRE","esc.end"
20181127,"112718Xim_F4_DD12","DD","ko","8cell",142,"Chimera","2i/LIF","CAG:H2B-GFP","wt",60,"4",60,0,0,"0"
20181127,"112718Xim_F4_DD4","DD","ko","8cell",121,"Control","2i/LIF","CAG:H2B-GFP","no.esc",53,"0",53,0,0,"0"
20181127,"112718Xim_F4_DD6","DD","ko","8cell",142,"Chimera","2i/LIF","CAG:H2B-GFP","wt",46,"2",46,0,0,"0"
20181127,"112718Xim_F4_DD7","DD","ko","8cell",129,"Chimera","2i/LIF","CAG:H2B-GFP","wt",65,"2",65,0,0,"0"
20181127,"112718Xim_F4_DD9","DD","ko","8cell",139,"Chimera","2i/LIF","CAG:H2B-GFP","wt",57,"2",56,0,1,"0"
20181127,"112718Xim_WT_DB1","DB","wt","8cell",111,"Control","S/LIF","CAG:H2B-GFP","no.esc",14,"0",5,0,9,"0"
20181127,"112718Xim_WT_DB2","DB","wt","8cell",151,"Control","S/LIF","CAG:H2B-GFP","no.esc",17,"0",9,0,7,"0"
20181127,"112718Xim_WT_DB4","DB","wt","8cell",161,"Chimera","S/LIF","CAG:H2B-GFP","wt",28,"1",9,0,13,"0"
20181127,"112718Xim_WT_DB5","DB","wt","8cell",174,"Chimera","S/LIF","CAG:H2B-GFP","wt",29,"1",12,0,17,"0"
20181127,"112718Xim_WT_DB6","DB","wt","8cell",167,"Chimera","S/LIF","CAG:H2B-GFP","wt",33,"3",12,0,21,"0"
20181127,"112718Xim_WT_DB7","DB","wt","8cell",145,"Chimera","S/LIF","CAG:H2B-GFP","wt",24,"3",6,0,18,"0"
20181127,"112718Xim_WT_DB8","DB","wt","8cell",112,"Chimera","S/LIF","CAG:H2B-GFP","wt",26,"3",8,0,18,"0"
20190109,"010919Xim_F4_DH1","DH","ko","8cell",130,"Control","2i/LIF","CAG:H2B-GFP","no.esc",51,"0",50,0,1,"0"
20190109,"010919Xim_F4_DH2","DH","ko","8cell",119,"Control","2i/LIF","CAG:H2B-GFP","no.esc",30,"0",25,0,0,"0"
20190109,"010919Xim_WT_DJ1","DJ","wt","8cell",104,"Control","S/LIF","CAG:H2B-GFP","no.esc",17,"0",3,0,14,"0"
20190109,"010919Xim_WT_DJ10","DJ","wt","8cell",171,"Chimera","S/LIF","CAG:H2B-GFP","wt",39,"1",13,0,25,"0"
20190109,"010919Xim_WT_DJ11","DJ","wt","8cell",175,"Chimera","S/LIF","CAG:H2B-GFP","wt",38,"1",11,0,27,"0"
20190109,"010919Xim_WT_DJ12","DJ","wt","8cell",156,"Chimera","S/LIF","CAG:H2B-GFP","wt",24,"1",6,0,18,"0"
20190109,"010919Xim_WT_DJ2","DJ","wt","8cell",95,"Control","S/LIF","CAG:H2B-GFP","no.esc",17,"0",6,0,10,"0"
20190109,"010919Xim_WT_DJ3","DJ","wt","8cell",108,"Control","S/LIF","CAG:H2B-GFP","no.esc",16,"0",1,0,13,"0"
