"Exp_date","Embryo_ID","Litter","Genotype1","Stage.t0","Cellcount","Treatment","ES_culture","ESC_line","ESC_genotype","icm.count","D_cells","EPI","ESC","PRE","esc.end"
20180222,"022218Xim_WT_AY1","AY","wt","8cell",42,"Control","S/LIF","H2B-tdTomato","no.esc",8,"0",0,0,3,"0"
20180222,"022218Xim_WT_AY2","AY","wt","8cell",55,"Control","S/LIF","H2B-tdTomato","no.esc",24,"0",0,0,4,"0"
20180222,"022218Xim_WT_AY3","AY","wt","8cell",80,"Chimera","S/LIF","H2B-tdTomato","wt",31,"2",0,0,7,"0"
20180222,"022218Xim_WT_AY7","AY","wt","8cell",87,"Chimera","S/LIF","H2B-tdTomato","wt",27,"2",6,0,9,"0"
20180222,"022218Xim_WT_AZ1","AZ","wt","8cell",56,"Control","2i/LIF","H2B-tdTomato","no.esc",26,"0",0,0,1,"0"
20180222,"022218Xim_WT_AZ2","AZ","wt","8cell",44,"Control","2i/LIF","H2B-tdTomato","no.esc",18,"0",0,0,1,"0"
20180222,"022218Xim_WT_AZ4","AZ","wt","8cell",86,"Chimera","2i/LIF","H2B-tdTomato","wt",28,"2",0,0,2,"0"
20180222,"022218Xim_WT_AZ7","AZ","wt","8cell",95,"Chimera","2i/LIF","H2B-tdTomato","wt",22,"2",0,0,2,"0"
20180222,"022218Xim_WT_BA1","BA","wt","8cell",53,"Control","2i/LIF","H2B-tdTomato","no.esc",17,"0",0,0,4,"0"
20180222,"022218Xim_WT_BA2","BA","wt","8cell",60,"Control","2i/LIF","H2B-tdTomato","no.esc",26,"0",0,0,0,"0"
20180405,"040518Xim_WT_BE1","BE","wt","blastocyst",84,"Control","S/LIF","H2B-tdTomato","no.esc",13,"0",6,0,6,"0"
20180405,"040518Xim_WT_BE5","BE","wt","blastocyst",110,"Control","S/LIF","H2B-tdTomato","no.esc",23,"0",11,0,12,"0"
20180405,"040518Xim_WT_BF1","BF","wt","blastocyst",124,"Control","S/LIF","H2B-tdTomato","no.esc",33,"0",12,0,21,"0"
20180405,"040518Xim_WT_BF2","BF","wt","blastocyst",127,"Control","S/LIF","H2B-tdTomato","no.esc",28,"0",12,0,15,"0"
20180405,"040518Xim_WT_BF3","BF","wt","blastocyst",120,"Control","S/LIF","H2B-tdTomato","no.esc",27,"0",8,0,19,"0"
20180405,"040518Xim_WT_BF4","BF","wt","blastocyst",122,"Control","S/LIF","H2B-tdTomato","no.esc",31,"0",20,0,11,"0"
20180405,"040518Xim_WT_BF5","BF","wt","blastocyst",115,"Control","S/LIF","H2B-tdTomato","no.esc",32,"0",14,0,18,"0"
20180405,"040518Xim_WT_BG1","BG","wt","blastocyst",113,"Control","S/LIF","H2B-tdTomato","no.esc",27,"0",13,0,14,"0"
20180405,"040518Xim_WT_BG2","BG","wt","blastocyst",120,"Control","S/LIF","H2B-tdTomato","no.esc",33,"0",11,0,22,"0"
20180405,"040518Xim_WT_BG3","BG","wt","blastocyst",115,"Control","S/LIF","H2B-tdTomato","no.esc",32,"0",17,0,15,"0"
20180405,"040518Xim_WT_BG4","BG","wt","blastocyst",94,"Control","S/LIF","H2B-tdTomato","no.esc",27,"0",18,0,9,"0"
20180412,"041218Xim_WT_BH1","BH","wt","blastocyst",62,"Littermate","S/LIF","H2B-tdTomato","no.esc",23,"0",3,0,3,"0"
20180412,"041218Xim_WT_BH2","BH","wt","blastocyst",30,"Littermate","S/LIF","H2B-tdTomato","no.esc",8,"0",0,0,1,"0"
20180412,"041218Xim_WT_BH3","BH","wt","blastocyst",74,"Control","S/LIF","H2B-tdTomato","no.esc",12,"0",5,0,7,"0"
20180412,"041218Xim_WT_BH4","BH","wt","blastocyst",43,"Control","S/LIF","H2B-tdTomato","no.esc",11,"0",4,0,6,"0"
