"Embryo_ID","Cellcount","TE_ICM","Treatment","Stage","Gene1","Genotype1","Background","Gene2","Genotype2","icm.count","Identity.man","count","pc.icm"
"D3",66,"ICM","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",31,"DP",0,0
"D4",62,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",31,"DP",22,70.9677419354839
"D5",78,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",22,"DP",6,27.2727272727273
"E1",217,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",62,"DP",0,0
"E2",171,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",61,"DP",0,0
"E3",179,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",58,"DP",1,1.72413793103448
"F1",145,"ICM","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",33,"DP",0,0
"F2",145,"ICM","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",36,"DP",2,5.55555555555556
"F3",147,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",52,"DP",0,0
"G1",61,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",30,"DP",18,60
"G10",52,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",20,"DP",16,80
"G11",47,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",15,"DP",13,86.6666666666667
"G12",68,"ICM","Littermate","64-128 cell","Gata6","wt","CD1/mixed","any","wt",25,"DP",19,76
"G13",80,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",23,"DP",2,8.69565217391304
"G2",44,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",20,"DP",18,90
"G3",44,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",14,"DP",11,78.5714285714286
"G4",61,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",25,"DP",18,72
"G5",64,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",27,"DP",19,70.3703703703704
"G6",60,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",21,"DP",15,71.4285714285714
"G7",47,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",17,"DP",16,94.1176470588235
"G8",63,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",25,"DP",18,72
"G9",45,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",18,"DP",15,83.3333333333333
"I1",104,"ICM","Littermate","64-128 cell","Gata6","wt","CD1/mixed","any","wt",28,"DP",2,7.14285714285714
"I2",110,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",34,"DP",12,35.2941176470588
"I3",116,"ICM","Littermate","64-128 cell","Gata6","wt","CD1/mixed","any","wt",41,"DP",2,4.8780487804878
"I4",107,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",35,"DP",12,34.2857142857143
"I5",50,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",11,"DP",8,72.7272727272727
"I6",115,"ICM","Littermate","64-128 cell","Gata6","wt","CD1/mixed","any","wt",49,"DP",4,8.16326530612245
"K1",166,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",48,"DP",0,0
"K2",161,"ICM","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",39,"DP",1,2.56410256410256
"K3",166,"ICM","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",37,"DP",0,0
"M1",96,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",27,"DP",2,7.40740740740741
"M2",96,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",28,"DP",7,25
"M3",109,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",31,"DP",15,48.3870967741936
"M4",94,"ICM","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",41,"DP",0,0
"M5",83,"ICM","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",29,"DP",0,0
"M6",85,"ICM","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",35,"DP",0,0
"M7",91,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",25,"DP",2,8
"AK1",146,"ICM","Littermate",">128 cell","Gata6","ko","CD1/mixed","any","wt",29,"EPI",29,100
"AK4",144,"ICM","Littermate",">128 cell","Gata6","ko","CD1/mixed","any","wt",39,"EPI",39,100
"AM10",49,"ICM","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",19,"EPI",19,100
