"Embryo_ID","Cellcount","TE_ICM","Treatment","Stage","Gene1","Genotype1","Background","Gene2","Genotype2","icm.count","Identity.man","count","pc.icm"
"G2",44,"TE","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",20,"TE",24,120
"G3",44,"TE","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",14,"TE",30,214.285714285714
"G4",61,"TE","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",25,"TE",36,144
"G5",64,"TE","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",27,"TE",35,129.62962962963
"G6",60,"TE","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",21,"TE",39,185.714285714286
"G7",47,"TE","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",17,"TE",30,176.470588235294
"G8",63,"TE","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",25,"TE",38,152
"G9",45,"TE","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",18,"TE",27,150
"I1",104,"TE","Littermate","64-128 cell","Gata6","wt","CD1/mixed","any","wt",28,"TE",74,264.285714285714
"I2",110,"TE","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",34,"TE",76,223.529411764706
"I3",116,"TE","Littermate","64-128 cell","Gata6","wt","CD1/mixed","any","wt",41,"TE",75,182.926829268293
"I4",107,"TE","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",35,"TE",69,197.142857142857
"I5",50,"TE","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",11,"TE",39,354.545454545455
"I6",115,"TE","Littermate","64-128 cell","Gata6","wt","CD1/mixed","any","wt",49,"TE",64,130.612244897959
"K1",166,"TE","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",48,"TE",113,235.416666666667
"K2",161,"TE","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",39,"TE",122,312.820512820513
"K3",166,"TE","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",37,"TE",124,335.135135135135
"M1",96,"TE","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",27,"TE",69,255.555555555556
"M2",96,"TE","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",28,"TE",68,242.857142857143
"M3",109,"TE","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",31,"TE",78,251.612903225806
"M4",94,"TE","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",41,"TE",53,129.268292682927
"M5",83,"TE","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",29,"TE",54,186.206896551724
"M6",85,"TE","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",35,"TE",50,142.857142857143
"M7",91,"TE","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",25,"TE",66,264
