"Experiment","Litter","Embryo_ID","Exp_date","Img_date","Cellcount","TE_ICM","Treatment","Stage","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","litter.median","Identity.hc","count","pc.icm"
"052517G6G4_F","F","052517G6G4_F2",20170525,20170531,147,"ICM","Littermate","120_150","CD1/mixed","Gata6","mosaic","Gata4","het",42,152,"DN",0,0
"052517G6G4_F","F","052517G6G4_F3",20170525,20170531,152,"ICM","Littermate",">150","CD1/mixed","Gata6","mosaic","Gata4","wt",42,152,"DN",0,0
"052517G6G4_F","F","052517G6G4_F4",20170525,20170531,92,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Gata4","wt",21,152,"DN",0,0
"052517G6G4_F","F","052517G6G4_F7",20170525,20170531,140,"ICM","Littermate","120_150","CD1/mixed","Gata6","het","Gata4","wt",31,152,"DN",0,0
"080217G6G4_I","I","080217G6G4_I1",20170802,20170808,148,"ICM","Littermate","120_150","CD1/mixed","Gata6","het","Gata4","het",38,176,"DN",0,0
"080217G6G4_I","I","080217G6G4_I2",20170802,20170808,164,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Gata4","wt",54,176,"DN",0,0
"080217G6G4_I","I","080217G6G4_I4",20170802,20170808,176,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","het",70,176,"DN",1,1.42857142857143
"080217G6G4_I","I","080217G6G4_I5",20170802,20170808,196,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","het",71,176,"DN",0,0
"080217G6G4_I","I","080217G6G4_I6",20170802,20170808,217,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Gata4","wt",98,176,"DN",0,0
"080317G6G4_J","J","080317G6G4_J1",20170803,20170808,185,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","wt",75,183,"DN",0,0
"080317G6G4_J","J","080317G6G4_J2",20170803,20170808,183,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","het",64,183,"DN",0,0
"080317G6G4_J","J","080317G6G4_J3",20170803,20170808,175,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","wt",68,183,"DN",0,0
"080317G6G4_J","J","080317G6G4_J4",20170803,20170808,207,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Gata4","wt",91,183,"DN",0,0
"080317G6G4_J","J","080317G6G4_J5",20170803,20170808,173,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","wt",59,183,"DN",0,0
"080317G6G4_J","J","080317G6G4_J6",20170803,20170808,182,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Gata4","het",66,183,"DN",0,0
"081418G6NG_AE","AE","081414G6NG_AE1",20180814,20180816,91,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Nanog","het",31,91,"DN",0,0
"081418G6NG_AE","AE","081414G6NG_AE3",20180814,20180816,84,"ICM","Littermate","64_90","CD1/mixed","Gata6","het","Nanog","het",24,91,"DN",0,0
"081418G6NG_AE","AE","081414G6NG_AE4",20180814,20180816,91,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Nanog","het",28,91,"DN",0,0
"081418G6NG_AE","AE","081414G6NG_AE5",20180814,20180816,93,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Nanog","het",41,91,"DN",0,0
"081418G6NG_AE","AE","081414G6NG_AE7",20180814,20180816,85,"ICM","Littermate","64_90","CD1/mixed","Gata6","het","Nanog","het",27,91,"DN",0,0
"081418G6NG_AE","AE","081414G6NG_AE8",20180814,20180816,92,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Nanog","het",33,91,"DN",0,0
"081418G6NG_AE","AE","081414G6NG_AE9",20180814,20180816,105,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Nanog","wt",35,91,"DN",0,0
"082118G6NG_AF","AF","082118G6NG_AF1",20180821,20180824,103,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Nanog","het",43,104,"DN",0,0
