"Experiment","Litter","Embryo_ID","Exp_date","Img_date","Cellcount","TE_ICM","Treatment","Stage","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","litter.median","Identity.hc","count","pc.icm"
"042117G6G4_C","C","042117G6G4_C1",20170421,20170511,103,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Gata4","het",23,99,"DP",0,0
"042117G6G4_C","C","042117G6G4_C2",20170421,20170511,105,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Gata4","wt",25,99,"DP",0,0
"042117G6G4_C","C","042117G6G4_C3",20170421,20170511,104,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Gata4","het",20,99,"DP",0,0
"042117G6G4_C","C","042117G6G4_C4",20170421,20170511,91,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Gata4","het",18,99,"DP",4,22.2222222222222
"042117G6G4_C","C","042117G6G4_C5",20170421,20170511,90,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Gata4","het",24,99,"DP",4,16.6666666666667
"042117G6G4_C","C","042117G6G4_C6",20170421,20170511,90,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Gata4","het",15,99,"DP",3,20
"042117G6G4_C","C","042117G6G4_C7",20170421,20170511,99,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Gata4","wt",20,99,"DP",0,0
"050217G6G4_D","D","050217G6G4_D1",20170502,20170511,98,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Gata4","mosaic",30,99,"DP",1,3.33333333333333
"050217G6G4_D","D","050217G6G4_D2",20170502,20170511,99,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Gata4","wt",19,99,"DP",2,10.5263157894737
"050217G6G4_D","D","050217G6G4_D3",20170502,20170511,93,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Gata4","wt",33,99,"DP",2,6.06060606060606
"050217G6G4_D","D","050217G6G4_D4",20170502,20170511,93,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Gata4","mosaic",29,99,"DP",0,0
"050217G6G4_D","D","050217G6G4_D5",20170502,20170511,107,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Gata4","het",35,99,"DP",0,0
"050217G6G4_D","D","050217G6G4_D6",20170502,20170511,104,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Gata4","mosaic",20,99,"DP",5,25
"050217G6G4_D","D","050217G6G4_D7",20170502,20170511,91,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Gata4","het",26,99,"DP",3,11.5384615384615
"050217G6G4_D","D","050217G6G4_D8",20170502,20170511,102,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Gata4","het",31,99,"DP",3,9.67741935483871
"052317G6G4_E","E","052317G6G4_E1",20170523,20170531,113,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Gata4","het",34,132,"DP",2,5.88235294117647
"052317G6G4_E","E","052317G6G4_E3",20170523,20170531,125,"ICM","Littermate","120_150","CD1/mixed","Gata6","het","Gata4","het",43,132,"DP",4,9.30232558139535
"052317G6G4_E","E","052317G6G4_E4",20170523,20170531,132,"ICM","Littermate","120_150","CD1/mixed","Gata6","wt","Gata4","wt",28,132,"DP",0,0
"052317G6G4_E","E","052317G6G4_E5",20170523,20170531,141,"ICM","Littermate","120_150","CD1/mixed","Gata6","het","Gata4","wt",30,132,"DP",0,0
"052317G6G4_E","E","052317G6G4_E7",20170523,20170531,159,"ICM","Littermate",">150","CD1/mixed","Gata6","mosaic","Gata4","wt",32,132,"DP",2,6.25
"052317G6G4_E","E","052317G6G4_E8",20170523,20170531,116,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Gata4","het",29,132,"DP",1,3.44827586206897
"052317G6G4_E","E","052317G6G4_E9",20170523,20170531,163,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","het",45,132,"DP",0,0
"052517G6G4_F","F","052517G6G4_F1",20170525,20170531,166,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Gata4","wt",45,152,"DP",3,6.66666666666667
"052517G6G4_F","F","052517G6G4_F10",20170525,20170531,172,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Gata4","het",51,152,"DP",1,1.96078431372549
"052517G6G4_F","F","052517G6G4_F2",20170525,20170531,147,"ICM","Littermate","120_150","CD1/mixed","Gata6","mosaic","Gata4","het",42,152,"DP",0,0
"052517G6G4_F","F","052517G6G4_F3",20170525,20170531,152,"ICM","Littermate",">150","CD1/mixed","Gata6","mosaic","Gata4","wt",42,152,"DP",0,0
"052517G6G4_F","F","052517G6G4_F4",20170525,20170531,92,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Gata4","wt",21,152,"DP",11,52.3809523809524
"052517G6G4_F","F","052517G6G4_F7",20170525,20170531,140,"ICM","Littermate","120_150","CD1/mixed","Gata6","het","Gata4","wt",31,152,"DP",1,3.2258064516129
"080217G6G4_I","I","080217G6G4_I1",20170802,20170808,148,"ICM","Littermate","120_150","CD1/mixed","Gata6","het","Gata4","het",38,176,"DP",4,10.5263157894737
"080217G6G4_I","I","080217G6G4_I2",20170802,20170808,164,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Gata4","wt",54,176,"DP",0,0
"080217G6G4_I","I","080217G6G4_I4",20170802,20170808,176,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","het",70,176,"DP",0,0
