"Embryo_ID","Litter","timepoint","dataset","icm.count","Cellcount","DP.t0","EPI.t0","PRE.t0"
"050819Abl_EY3","EY","t0","live",29,77,10,7,12
"050819Abl_EY4","EY","t0","live",26,90,5,11,10
"050819Abl_EY5","EY","t0","live",27,80,6,6,15
"050819Abl_EY6","EY","t0","live",30,70,10,5,15
"050819Abl_EY7","EY","t0","live",29,70,10,7,12
"050819Abl_EZ3","EZ","t0","live",19,49,7,5,7
"050819Abl_EZ4","EZ","t0","live",18,75,10,4,4
"050819Abl_EZ5","EZ","t0","live",8,36,5,2,1
"050819Abl_EZ6","EZ","t0","live",20,60,10,6,4
"050819Abl_EZ7","EZ","t0","live",17,50,6,6,5
"051419Abl_FA1","FA","t0","live",20,72,5,7,8
"051419Abl_FA3","FA","t0","live",24,93,3,10,11
"051419Abl_FA9","FA","t0","live",24,58,10,10,4
"052119Abl_FB3","FB","t0","live",21,81,4,5,12
"052119Abl_FB4","FB","t0","live",28,63,12,5,11
"052119Abl_FB5","FB","t0","live",21,65,5,6,10
"052119Abl_FB6","FB","t0","live",20,74,6,5,9
"052119Abl_FB7","FB","t0","live",18,76,3,5,10
"052119Abl_FB8","FB","t0","live",33,99,7,9,17
"052119Abl_FB9","FB","t0","live",17,70,8,3,6
"052119Abl_FC4","FC","t0","live",21,68,3,9,9
"052119Abl_FC5","FC","t0","live",22,65,6,6,10
"052819Abl_FD3","FD","t0","live",30,97,3,11,16
"052819Abl_FD4","FD","t0","live",23,78,8,4,11
"052819Abl_FD5","FD","t0","live",20,93,2,9,9
"052819Abl_FD6","FD","t0","live",35,105,1,19,15
"070919Abl_FE3","FE","t0","live",27,62,8,9,10
"070919Abl_FE4","FE","t0","live",24,64,7,4,13
"070919Abl_FE5","FE","t0","live",21,57,7,4,10
"070919Abl_FE6","FE","t0","live",23,70,3,10,10
"070919Abl_FF2","FF","t0","live",21,86,2,10,9
"070919Abl_FF3","FF","t0","live",25,66,6,8,11
"070919Abl_FF4","FF","t0","live",22,75,6,8,8
"070919Abl_FF5","FF","t0","live",25,69,8,6,11
"072518Abl_DR1","DR","t0","live",31,82,0,10,21
"072518Abl_DR2","DR","t0","live",31,85,2,9,20
"072518Abl_DR3","DR","t0","live",34,84,8,10,16
"072518Abl_DR4","DR","t0","live",28,0,6,4,18
"072518Abl_DR5","DR","t0","live",21,73,3,8,10
"072518Abl_DR6","DR","t0","live",36,96,9,10,17
"072518Abl_DR7","DR","t0","live",38,105,9,10,19
"072518Abl_DS1","DS","t0","live",40,104,13,11,16
"072518Abl_DS2","DS","t0","live",28,91,7,4,17
"072518Abl_DS3","DS","t0","live",33,110,5,8,20
"082619Abl_FH3","FH","t0","live",25,85,8,8,9
"082619Abl_FH4","FH","t0","live",26,90,7,12,7
"082619Abl_FH5","FH","t0","live",18,70,0,13,5
"082619Abl_FH6","FH","t0","live",35,94,2,14,19
"092319Abl_FK3","FK","t0","live",25,64,14,7,4
"092319Abl_FK4","FK","t0","live",12,49,5,3,4
"092319Abl_FK5","FK","t0","live",25,67,10,9,6
"100719Abl_FL3","FL","t0","live",22,53,14,4,4
"100719Abl_FL4","FL","t0","live",13,38,13,0,0
"100719Abl_FL5","FL","t0","live",16,49,8,3,5
"100719Abl_FL6","FL","t0","live",15,66,4,5,6
"100719Abl_FM6","FM","t0","live",16,35,9,3,4
"100719Abl_FM7","FM","t0","live",32,65,15,7,10
"100819Abl_FN4","FN","t0","live",21,56,10,5,6
"100819Abl_FN5","FN","t0","live",21,46,11,5,5
"100819Abl_FN6","FN","t0","live",19,72,11,4,4
"100819Abl_FN7","FN","t0","live",10,32,7,2,1
"100819Abl_FN8","FN","t0","live",15,37,6,5,4
"102218Abl_DV1","DV","t0","live",35,0,5,14,16
"102218Abl_DV2","DV","t0","live",36,0,6,11,19
"102218Abl_DV3","DV","t0","live",30,0,12,7,11
"102218Abl_DV4","DV","t0","live",24,0,2,12,10
"102218Abl_DV5","DV","t0","live",17,0,4,8,5
"102218Abl_DV6","DV","t0","live",28,0,3,12,13
"102218Abl_DW2","DW","t0","live",28,0,4,12,12
"102218Abl_DW3","DW","t0","live",16,0,5,6,5
"102218Abl_DW4","DW","t0","live",18,0,1,7,10
"102218Abl_DX1","DX","t0","live",26,0,3,5,18
"102218Abl_DX2","DX","t0","live",28,0,9,9,10
"102218Abl_DX3","DX","t0","live",21,0,6,8,7
"102218Abl_DX4","DX","t0","live",23,0,8,5,10
"102218Abl_DX5","DX","t0","live",24,0,9,5,10
"102218Abl_DX6","DX","t0","live",21,0,6,5,10
"111318Abl_DZ1","DZ","t0","live",30,79,9,8,13
"111318Abl_DZ2","DZ","t0","live",21,69,5,7,9
"111318Abl_DZ3","DZ","t0","live",27,78,8,6,13
"111318Abl_DZ4","DZ","t0","live",35,93,8,13,14
"112018Abl_EA1","EA","t0","live",23,74,7,7,9
"112018Abl_EA2","EA","t0","live",35,84,19,6,10
"112018Abl_EA3","EA","t0","live",21,76,6,8,7
"112018Abl_EA4","EA","t0","live",30,74,15,9,6
"112018Abl_EA5","EA","t0","live",30,78,16,7,7
"112018Abl_EA6","EA","t0","live",25,60,15,4,6
"121018Abl_EB1","EB","t0","live",30,81,2,11,17
"121018Abl_EB2","EB","t0","live",29,92,7,5,17
"121018Abl_EB3","EB","t0","live",30,87,7,9,14
"121018Abl_EB4","EB","t0","live",29,92,1,11,17
"121018Abl_EB5","EB","t0","live",32,83,12,9,11
"121018Abl_EC1","EC","t0","live",30,64,14,7,9
"121018Abl_EC2","EC","t0","live",22,66,7,9,6
"121018Abl_EC3","EC","t0","live",19,46,8,8,3
"121718Abl_ED1","ED","t0","live",31,98,10,8,13
"121718Abl_ED2","ED","t0","live",37,100,6,11,20
"121718Abl_ED3","ED","t0","live",24,82,7,7,10
"121818Abl_EE1","EE","t0","live",32,97,14,9,9
"121818Abl_EE2","EE","t0","live",36,98,14,6,16
"121818Abl_EE3","EE","t0","live",34,97,11,7,16
"121818Abl_EE4","EE","t0","live",28,89,7,8,13
"121818Abl_EE5","EE","t0","live",25,82,8,10,7
"121918Abl_EF1","EF","t0","live",24,92,6,7,11
"121918Abl_EF4","EF","t0","live",27,98,9,9,9
