"Experiment","Litter","Embryo_ID","Treatment","Cellcount","TE_ICM","icm.count","H_genotype","D_genotype","Embryo_size","t0.donor","donor.end","Identity.hc","lin.count","pc.icm"
"020817Xim_WT_AI","AI","020817Xim_WT_AI18","Chimera",85,"ICM",14,"wt","CAG:H2B-GFP","Single",25,"[60,80)","DP",3,21.4285714285714
"020817Xim_WT_AI","AI","020817Xim_WT_AI19","Chimera",90,"ICM",19,"wt","CAG:H2B-GFP","Single",25,"[0,20)","DP",1,5.26315789473684
"020817Xim_WT_AI","AI","020817Xim_WT_AI2","Control",107,"ICM",12,"wt","0","Single",0,"[0,20)","DP",3,25
"020817Xim_WT_AI","AI","020817Xim_WT_AI20","Chimera",118,"ICM",15,"wt","CAG:H2B-GFP","Single",25,"[80,100]","DP",4,26.6666666666667
"020817Xim_WT_AI","AI","020817Xim_WT_AI3","Control",114,"ICM",18,"wt","0","Single",0,"[0,20)","DP",6,33.3333333333333
"020817Xim_WT_AI","AI","020817Xim_WT_AI4","Control",112,"ICM",20,"wt","0","Single",0,"[0,20)","DP",5,25
"020817Xim_WT_AI","AI","020817Xim_WT_AI5","Control",96,"ICM",11,"wt","0","Single",0,"[0,20)","DP",2,18.1818181818182
"020817Xim_WT_AI","AI","020817Xim_WT_AI6","Control",103,"ICM",18,"wt","0","Single",0,"[0,20)","DP",3,16.6666666666667
"020817Xim_WT_AI","AI","020817Xim_WT_AI7","Control",105,"ICM",23,"wt","0","Single",0,"[0,20)","DP",3,13.0434782608696
"020817Xim_WT_AI","AI","020817Xim_WT_AI8","Control",97,"ICM",23,"wt","0","Single",0,"[0,20)","DP",5,21.7391304347826
"020817Xim_WT_AI","AI","020817Xim_WT_AI9","Chimera",78,"ICM",15,"wt","CAG:H2B-GFP","Single",25,"[60,80)","DP",8,53.3333333333333
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ1","Control",89,"ICM",18,"wt","0","Single",0,"[0,20)","DP",6,33.3333333333333
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ10","Chimera",99,"ICM",12,"wt","CAG:H2B-GFP","Single",25,"[0,20)","DP",2,16.6666666666667
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ11","Chimera",81,"ICM",10,"wt","CAG:H2B-GFP","Single",25,"[0,20)","DP",5,50
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ12","Chimera",86,"ICM",11,"wt","CAG:H2B-GFP","Single",25,"[0,20)","DP",0,0
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ13","Chimera",91,"ICM",12,"wt","CAG:H2B-GFP","Single",25,"[40,60)","DP",3,25
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ14","Chimera",112,"ICM",13,"wt","CAG:H2B-GFP","Single",25,"[20,40)","DP",5,38.4615384615385
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ15","Chimera",78,"ICM",9,"wt","CAG:H2B-GFP","Single",25,"[40,60)","DP",4,44.4444444444444
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ2","Control",89,"ICM",15,"wt","0","Single",0,"[0,20)","DP",4,26.6666666666667
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ3","Control",102,"ICM",20,"wt","0","Single",0,"[0,20)","DP",6,30
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ4","Chimera",59,"ICM",7,"wt","CAG:H2B-GFP","Single",25,"[80,100]","DP",2,28.5714285714286
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ5","Chimera",102,"ICM",24,"wt","CAG:H2B-GFP","Single",25,"[40,60)","DP",7,29.1666666666667
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ6","Chimera",58,"ICM",10,"wt","CAG:H2B-GFP","Single",25,"[0,20)","DP",3,30
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ7","Chimera",94,"ICM",12,"wt","CAG:H2B-GFP","Single",25,"[20,40)","DP",1,8.33333333333333
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ8","Chimera",106,"ICM",14,"wt","CAG:H2B-GFP","Single",25,"[60,80)","DP",2,14.2857142857143
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ9","Chimera",90,"ICM",12,"wt","CAG:H2B-GFP","Single",25,"[0,20)","DP",3,25
"022417Xim_WT_AK","AK","022417Xim_WT_AK1","Chimera",227,"ICM",32,"wt","CAG:H2B-GFP","Double",50,"[0,20)","DP",7,21.875
"022417Xim_WT_AK","AK","022417Xim_WT_AK10","Control",86,"ICM",17,"ko","0","Single",0,"[0,20)","DP",0,0
"022417Xim_WT_AK","AK","022417Xim_WT_AK2","Chimera",265,"ICM",45,"wt","CAG:H2B-GFP","Double",50,"[40,60)","DP",21,46.6666666666667
"022417Xim_WT_AK","AK","022417Xim_WT_AK3","Chimera",270,"ICM",52,"wt","CAG:H2B-GFP","Double",50,"[20,40)","DP",22,42.3076923076923
"022417Xim_WT_AK","AK","022417Xim_WT_AK4","Control",86,"ICM",29,"het","0","Single",0,"[0,20)","DP",17,58.6206896551724
"022417Xim_WT_AK","AK","022417Xim_WT_AK5","Control",144,"ICM",32,"wt","0","Single",0,"[0,20)","DP",12,37.5
"022417Xim_WT_AK","AK","022417Xim_WT_AK6","Control",134,"ICM",23,"wt","0","Single",0,"[0,20)","DP",7,30.4347826086957
"022417Xim_WT_AK","AK","022417Xim_WT_AK7","Control",115,"ICM",15,"wt","0","Single",0,"[0,20)","DP",4,26.6666666666667
"022417Xim_WT_AK","AK","022417Xim_WT_AK8","Control",112,"ICM",7,"het","0","Single",0,"[0,20)","DP",5,71.4285714285714
"030117Xim_WT_AL","AL","030117Xim_WT_AL1","Chimera",114,"ICM",17,"wt","CAG:H2B-GFP","Single",75,"[60,80)","DP",9,52.9411764705882
"030117Xim_WT_AL","AL","030117Xim_WT_AL2","Chimera",102,"ICM",24,"wt","CAG:H2B-GFP","Single",75,"[80,100]","DP",11,45.8333333333333
"030117Xim_WT_AL","AL","030117Xim_WT_AL3","Chimera",83,"ICM",18,"wt","CAG:H2B-GFP","Single",75,"[80,100]","DP",7,38.8888888888889
"030117Xim_WT_AL","AL","030117Xim_WT_AL4","Chimera",102,"ICM",15,"wt","CAG:H2B-GFP","Single",75,"[80,100]","DP",7,46.6666666666667
"030117Xim_WT_AL","AL","030117Xim_WT_AL5","Chimera",115,"ICM",15,"wt","CAG:H2B-GFP","Single",75,"[80,100]","DP",7,46.6666666666667
"030117Xim_WT_AL","AL","030117Xim_WT_AL6","Chimera",99,"ICM",20,"wt","CAG:H2B-GFP","Single",75,"[80,100]","DP",10,50
"030117Xim_WT_AL","AL","030117Xim_WT_AL7","Chimera",98,"ICM",17,"wt","CAG:H2B-GFP","Single",75,"[60,80)","DP",9,52.9411764705882
"030117Xim_WT_AL","AL","030117Xim_WT_AL8","Control",108,"ICM",21,"wt","0","Single",0,"[0,20)","DP",5,23.8095238095238
"030217Xim_WT_AM","AM","030217Xim_WT_AM1","Chimera",168,"ICM",36,"wt","CAG:H2B-GFP","Double",50,"[40,60)","DP",2,5.55555555555556
"030217Xim_WT_AM","AM","030217Xim_WT_AM2","Chimera",134,"ICM",26,"wt","CAG:H2B-GFP","Double",50,"[20,40)","DP",2,7.69230769230769
"030217Xim_WT_AM","AM","030217Xim_WT_AM3","Chimera",171,"ICM",39,"wt","CAG:H2B-GFP","Double",50,"[40,60)","DP",17,43.5897435897436
"030217Xim_WT_AM","AM","030217Xim_WT_AM4","Chimera",192,"ICM",44,"wt","CAG:H2B-GFP","Double",50,"[40,60)","DP",18,40.9090909090909
"030217Xim_WT_AM","AM","030217Xim_WT_AM5","Chimera",181,"ICM",43,"wt","CAG:H2B-GFP","Double",50,"[40,60)","DP",21,48.8372093023256
"030217Xim_WT_AM","AM","030217Xim_WT_AM6","Chimera",170,"ICM",31,"wt","CAG:H2B-GFP","Double",50,"[0,20)","DP",6,19.3548387096774
"030217Xim_WT_AM","AM","030217Xim_WT_AM7","Control",81,"ICM",20,"wt","0","Single",0,"[0,20)","DP",6,30
"031818Xim_WT_AN","AN","031818Xim_WT_AN1","Chimera",104,"ICM",20,"wt","CAG:H2B-GFP","Single",75,"[80,100]","DP",9,45
"031818Xim_WT_AN","AN","031818Xim_WT_AN10","Chimera",99,"ICM",14,"wt","CAG:H2B-GFP","Single",75,"[60,80)","DP",7,50
"031818Xim_WT_AN","AN","031818Xim_WT_AN11","Chimera",135,"ICM",17,"wt","CAG:H2B-GFP","Single",75,"[40,60)","DP",7,41.1764705882353
"031818Xim_WT_AN","AN","031818Xim_WT_AN12","Chimera",106,"ICM",10,"wt","CAG:H2B-GFP","Single",75,"[80,100]","DP",6,60
"031818Xim_WT_AN","AN","031818Xim_WT_AN13","Chimera",98,"ICM",17,"wt","CAG:H2B-GFP","Single",75,"[80,100]","DP",9,52.9411764705882
"031818Xim_WT_AN","AN","031818Xim_WT_AN14","Control",132,"ICM",23,"wt","0","Single",0,"[0,20)","DP",3,13.0434782608696
"031818Xim_WT_AN","AN","031818Xim_WT_AN15","Control",113,"ICM",15,"wt","0","Single",0,"[0,20)","DP",4,26.6666666666667
"031818Xim_WT_AN","AN","031818Xim_WT_AN2","Chimera",89,"ICM",10,"wt","CAG:H2B-GFP","Single",75,"[60,80)","DP",4,40
"031818Xim_WT_AN","AN","031818Xim_WT_AN3","Chimera",81,"ICM",13,"wt","CAG:H2B-GFP","Single",75,"[80,100]","DP",3,23.0769230769231
"031818Xim_WT_AN","AN","031818Xim_WT_AN4","Chimera",106,"ICM",18,"wt","CAG:H2B-GFP","Single",75,"[60,80)","DP",7,38.8888888888889
"031818Xim_WT_AN","AN","031818Xim_WT_AN5","Chimera",82,"ICM",21,"wt","CAG:H2B-GFP","Single",75,"[80,100]","DP",8,38.0952380952381
"031818Xim_WT_AN","AN","031818Xim_WT_AN6","Chimera",109,"ICM",17,"wt","CAG:H2B-GFP","Single",75,"[80,100]","DP",7,41.1764705882353
"031818Xim_WT_AN","AN","031818Xim_WT_AN7","Chimera",91,"ICM",7,"wt","CAG:H2B-GFP","Single",75,"[0,20)","DP",3,42.8571428571429
"031818Xim_WT_AN","AN","031818Xim_WT_AN8","Chimera",114,"ICM",28,"wt","CAG:H2B-GFP","Single",75,"[80,100]","DP",10,35.7142857142857
"031818Xim_WT_AN","AN","031818Xim_WT_AN9","Chimera",105,"ICM",16,"wt","CAG:H2B-GFP","Single",75,"[60,80)","DP",5,31.25
"031818Xim_WT_AO","AO","031818Xim_WT_AO1","Chimera",117,"ICM",14,"wt","CAG:H2B-GFP","Single",50,"[60,80)","DP",4,28.5714285714286
"031818Xim_WT_AO","AO","031818Xim_WT_AO10","Chimera",95,"ICM",20,"wt","CAG:H2B-GFP","Single",50,"[40,60)","DP",6,30
"031818Xim_WT_AO","AO","031818Xim_WT_AO11","Chimera",119,"ICM",23,"wt","CAG:H2B-GFP","Single",50,"[20,40)","DP",6,26.0869565217391
"031818Xim_WT_AO","AO","031818Xim_WT_AO12","Chimera",87,"ICM",17,"wt","CAG:H2B-GFP","Single",50,"[40,60)","DP",2,11.7647058823529
"031818Xim_WT_AO","AO","031818Xim_WT_AO13","Chimera",91,"ICM",29,"wt","CAG:H2B-GFP","Single",50,"[60,80)","DP",3,10.3448275862069
"031818Xim_WT_AO","AO","031818Xim_WT_AO14","Chimera",98,"ICM",20,"wt","CAG:H2B-GFP","Single",50,"[20,40)","DP",5,25
"031818Xim_WT_AO","AO","031818Xim_WT_AO15","Chimera",107,"ICM",23,"wt","CAG:H2B-GFP","Single",50,"[60,80)","DP",7,30.4347826086957
"031818Xim_WT_AO","AO","031818Xim_WT_AO16","Chimera",90,"ICM",19,"wt","CAG:H2B-GFP","Single",50,"[60,80)","DP",5,26.3157894736842
"031818Xim_WT_AO","AO","031818Xim_WT_AO17","Chimera",108,"ICM",25,"wt","CAG:H2B-GFP","Single",50,"[80,100]","DP",5,20
"031818Xim_WT_AO","AO","031818Xim_WT_AO18","Chimera",83,"ICM",18,"wt","CAG:H2B-GFP","Single",50,"[80,100]","DP",4,22.2222222222222
"031818Xim_WT_AO","AO","031818Xim_WT_AO19","Control",96,"ICM",9,"wt","0","Single",0,"[0,20)","DP",3,33.3333333333333
"031818Xim_WT_AO","AO","031818Xim_WT_AO2","Chimera",79,"ICM",23,"wt","CAG:H2B-GFP","Single",50,"[80,100]","DP",7,30.4347826086957
"031818Xim_WT_AO","AO","031818Xim_WT_AO3","Chimera",93,"ICM",22,"wt","CAG:H2B-GFP","Single",50,"[20,40)","DP",5,22.7272727272727
"031818Xim_WT_AO","AO","031818Xim_WT_AO4","Chimera",96,"ICM",19,"wt","CAG:H2B-GFP","Single",50,"[60,80)","DP",5,26.3157894736842
"031818Xim_WT_AO","AO","031818Xim_WT_AO5","Chimera",111,"ICM",22,"wt","CAG:H2B-GFP","Single",50,"[60,80)","DP",7,31.8181818181818
"031818Xim_WT_AO","AO","031818Xim_WT_AO6","Chimera",97,"ICM",13,"wt","CAG:H2B-GFP","Single",50,"[80,100]","DP",3,23.0769230769231
"031818Xim_WT_AO","AO","031818Xim_WT_AO7","Chimera",106,"ICM",23,"wt","CAG:H2B-GFP","Single",50,"[40,60)","DP",6,26.0869565217391
"031818Xim_WT_AO","AO","031818Xim_WT_AO8","Chimera",72,"ICM",9,"wt","CAG:H2B-GFP","Single",50,"[80,100]","DP",2,22.2222222222222
"031818Xim_WT_AO","AO","031818Xim_WT_AO9","Chimera",63,"ICM",15,"wt","CAG:H2B-GFP","Single",50,"[40,60)","DP",5,33.3333333333333
"041318Xim_G6_AW","AW","041318Xim_G6_AW1","Control",80,"ICM",24,"CAG:H2B-GFP","0","Single",0,"[0,20)","DP",5,20.8333333333333
"041318Xim_G6_AW","AW","041318Xim_G6_AW10","Control",61,"ICM",15,"wt","0","Single",0,"[0,20)","DP",0,0
"041318Xim_G6_AW","AW","041318Xim_G6_AW11","Chimera",93,"ICM",33,"het","CAG:H2B-GFP","Single",50,"[60,80)","DP",5,15.1515151515152
"041318Xim_G6_AW","AW","041318Xim_G6_AW12","Chimera",98,"ICM",30,"mosaic","CAG:H2B-GFP","Single",50,"[40,60)","DP",10,33.3333333333333
"041318Xim_G6_AW","AW","041318Xim_G6_AW13","Chimera",65,"ICM",15,"ko","CAG:H2B-GFP","Single",50,"[80,100]","DP",0,0
"041318Xim_G6_AW","AW","041318Xim_G6_AW14","Chimera",75,"ICM",13,"het","CAG:H2B-GFP","Single",50,"[60,80)","DP",6,46.1538461538462
"041318Xim_G6_AW","AW","041318Xim_G6_AW15","Chimera",84,"ICM",30,"mosaic","CAG:H2B-GFP","Single",50,"[40,60)","DP",12,40
"041318Xim_G6_AW","AW","041318Xim_G6_AW16","Chimera",75,"ICM",29,"mosaic","CAG:H2B-GFP","Single",50,"[40,60)","DP",9,31.0344827586207
"041318Xim_G6_AW","AW","041318Xim_G6_AW17","Chimera",96,"ICM",20,"het","CAG:H2B-GFP","Single",50,"[60,80)","DP",9,45
"041318Xim_G6_AW","AW","041318Xim_G6_AW18","Chimera",86,"ICM",25,"mosaic","CAG:H2B-GFP","Single",50,"[20,40)","DP",12,48
"041318Xim_G6_AW","AW","041318Xim_G6_AW19","Chimera",97,"ICM",31,"het","CAG:H2B-GFP","Single",50,"[80,100]","DP",7,22.5806451612903
"041318Xim_G6_AW","AW","041318Xim_G6_AW2","Control",97,"ICM",25,"CAG:H2B-GFP","0","Single",0,"[0,20)","DP",5,20
"041318Xim_G6_AW","AW","041318Xim_G6_AW20","Chimera",92,"ICM",32,"mosaic","CAG:H2B-GFP","Single",50,"[60,80)","DP",12,37.5
"041318Xim_G6_AW","AW","041318Xim_G6_AW21","Chimera",103,"ICM",29,"mosaic","CAG:H2B-GFP","Single",50,"[80,100]","DP",4,13.7931034482759
"041318Xim_G6_AW","AW","041318Xim_G6_AW22","Chimera",155,"ICM",68,"ko","CAG:H2B-GFP","Double",50,"[60,80)","DP",0,0
"041318Xim_G6_AW","AW","041318Xim_G6_AW23","Chimera",152,"ICM",62,"het","CAG:H2B-GFP","Double",50,"[60,80)","DP",26,41.9354838709677
"041318Xim_G6_AW","AW","041318Xim_G6_AW24","Chimera",166,"ICM",45,"het","CAG:H2B-GFP","Double",50,"[40,60)","DP",8,17.7777777777778
"041318Xim_G6_AW","AW","041318Xim_G6_AW25","Chimera",128,"ICM",45,"het","CAG:H2B-GFP","Double",50,"[40,60)","DP",18,40
"041318Xim_G6_AW","AW","041318Xim_G6_AW3","Control",101,"ICM",19,"CAG:H2B-GFP","0","Single",0,"[0,20)","DP",7,36.8421052631579
"041318Xim_G6_AW","AW","041318Xim_G6_AW4","Control",45,"ICM",10,"wt","0","Single",0,"[0,20)","DP",0,0
"041318Xim_G6_AW","AW","041318Xim_G6_AW5","Control",81,"ICM",20,"wt","0","Single",0,"[0,20)","DP",8,40
"041318Xim_G6_AW","AW","041318Xim_G6_AW6","Control",92,"ICM",19,"wt","0","Single",0,"[0,20)","DP",7,36.8421052631579
"041318Xim_G6_AW","AW","041318Xim_G6_AW7","Control",50,"ICM",13,"wt","0","Single",0,"[0,20)","DP",0,0
"041318Xim_G6_AW","AW","041318Xim_G6_AW8","Control",58,"ICM",8,"wt","0","Single",0,"[0,20)","DP",1,12.5
"041318Xim_G6_AW","AW","041318Xim_G6_AW9","Control",89,"ICM",18,"wt","0","Single",0,"[0,20)","DP",2,11.1111111111111
"041818Xim_G6_AY","AY","041818Xim_G6_AY1","Control",109,"ICM",24,"wt","0","Single",0,"[0,20)","DP",2,8.33333333333333
"041818Xim_G6_AY","AY","041818Xim_G6_AY10","Chimera",116,"ICM",31,"het","CAG:H2B-GFP","Single",25,"[0,20)","DP",8,25.8064516129032
"041818Xim_G6_AY","AY","041818Xim_G6_AY11","Chimera",98,"ICM",19,"het","CAG:H2B-GFP","Single",25,"[40,60)","DP",8,42.1052631578947
"041818Xim_G6_AY","AY","041818Xim_G6_AY12","Chimera",122,"ICM",37,"het","CAG:H2B-GFP","Single",25,"[0,20)","DP",18,48.6486486486487
"041818Xim_G6_AY","AY","041818Xim_G6_AY13","Chimera",93,"ICM",45,"het","CAG:H2B-GFP","Single",25,"[0,20)","DP",18,40
"041818Xim_G6_AY","AY","041818Xim_G6_AY14","Chimera",102,"ICM",33,"ko","CAG:H2B-GFP","Single",25,"[0,20)","DP",0,0
"041818Xim_G6_AY","AY","041818Xim_G6_AY15","Chimera",73,"ICM",16,"het","CAG:H2B-GFP","Single",25,"[0,20)","DP",6,37.5
"041818Xim_G6_AY","AY","041818Xim_G6_AY16","Chimera",96,"ICM",28,"ko","CAG:H2B-GFP","Single",25,"[40,60)","DP",0,0
"041818Xim_G6_AY","AY","041818Xim_G6_AY3","Control",95,"ICM",17,"wt","0","Single",0,"[0,20)","DP",0,0
"041818Xim_G6_AY","AY","041818Xim_G6_AY4","Control",108,"ICM",20,"wt","0","Single",0,"[0,20)","DP",5,25
"041818Xim_G6_AY","AY","041818Xim_G6_AY5","Control",96,"ICM",25,"wt","0","Single",0,"[0,20)","DP",4,16
"041818Xim_G6_AY","AY","041818Xim_G6_AY6","Control",102,"ICM",26,"wt","0","Single",0,"[0,20)","DP",9,34.6153846153846
"041818Xim_G6_AY","AY","041818Xim_G6_AY7","Control",63,"ICM",20,"wt","0","Single",0,"[0,20)","DP",0,0
"041818Xim_G6_AY","AY","041818Xim_G6_AY8","Chimera",89,"ICM",26,"het","CAG:H2B-GFP","Single",25,"[0,20)","DP",18,69.2307692307692
"041818Xim_G6_AY","AY","041818Xim_G6_AY9","Chimera",88,"ICM",16,"het","CAG:H2B-GFP","Single",25,"[0,20)","DP",8,50
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ1","Control",105,"ICM",17,"wt","0","Single",0,"[0,20)","DP",12,70.5882352941177
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ10","Control",82,"ICM",13,"CAG:H2B-GFP","0","Single",0,"[0,20)","DP",3,23.0769230769231
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ11","Control",103,"ICM",11,"wt","0","Single",0,"[0,20)","DP",4,36.3636363636364
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ12","Chimera",57,"ICM",27,"ko","CAG:H2B-GFP","Single",25,"[20,40)","DP",0,0
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ13","Chimera",97,"ICM",17,"het","CAG:H2B-GFP","Single",25,"[0,20)","DP",7,41.1764705882353
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ14","Chimera",85,"ICM",33,"ko","CAG:H2B-GFP","Single",25,"[20,40)","DP",0,0
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ15","Chimera",74,"ICM",24,"het","CAG:H2B-GFP","Single",25,"[0,20)","DP",11,45.8333333333333
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ16","Chimera",100,"ICM",15,"het","CAG:H2B-GFP","Single",25,"[20,40)","DP",7,46.6666666666667
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ17","Chimera",90,"ICM",19,"het","CAG:H2B-GFP","Single",25,"[0,20)","DP",10,52.6315789473684
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ18","Chimera",110,"ICM",20,"het","CAG:H2B-GFP","Single",75,"[80,100]","DP",4,20
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ19","Chimera",87,"ICM",16,"het","CAG:H2B-GFP","Single",75,"[80,100]","DP",7,43.75
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ2","Control",96,"ICM",18,"wt","0","Single",0,"[0,20)","DP",9,50
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ20","Chimera",90,"ICM",23,"wt","CAG:H2B-GFP","Single",75,"[80,100]","DP",5,21.7391304347826
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ21","Chimera",88,"ICM",13,"ko","CAG:H2B-GFP","Single",75,"[80,100]","DP",0,0
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ22","Chimera",104,"ICM",27,"ko","CAG:H2B-GFP","Single",75,"[20,40)","DP",0,0
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ23","Chimera",95,"ICM",18,"het","CAG:H2B-GFP","Single",75,"[80,100]","DP",6,33.3333333333333
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ24","Chimera",114,"ICM",17,"mosaic","CAG:H2B-GFP","Single",75,"[80,100]","DP",4,23.5294117647059
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ25","Chimera",108,"ICM",29,"het","CAG:H2B-GFP","Single",75,"[80,100]","DP",15,51.7241379310345
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ3","Control",113,"ICM",25,"wt","0","Single",0,"[0,20)","DP",9,36
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ4","Control",103,"ICM",23,"wt","0","Single",0,"[0,20)","DP",14,60.8695652173913
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ5","Control",107,"ICM",15,"wt","0","Single",0,"[0,20)","DP",5,33.3333333333333
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ6","Control",111,"ICM",23,"wt","0","Single",0,"[0,20)","DP",15,65.2173913043478
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ8","Control",78,"ICM",5,"wt","0","Single",0,"[0,20)","DP",1,20
"041918Xim_G6_AZ","AZ","041918Xim_G6_AZ9","Control",110,"ICM",16,"wt","0","Single",0,"[0,20)","DP",4,25
"042617Xim_G6_AQ","AQ","042617Xim_G6_AQ1","Chimera",95,"ICM",19,"het","CAG:H2B-GFP","Single",25,"[0,20)","DP",15,78.9473684210526
"042617Xim_G6_AQ","AQ","042617Xim_G6_AQ10","Chimera",78,"ICM",16,"het","CAG:H2B-GFP","Single",25,"[0,20)","DP",12,75
"042617Xim_G6_AQ","AQ","042617Xim_G6_AQ11","Control",103,"ICM",13,"wt","0","Single",0,"[0,20)","DP",5,38.4615384615385
"042617Xim_G6_AQ","AQ","042617Xim_G6_AQ12","Control",87,"ICM",22,"wt","0","Single",0,"[0,20)","DP",6,27.2727272727273
"042617Xim_G6_AQ","AQ","042617Xim_G6_AQ13","Control",99,"ICM",23,"wt","0","Single",0,"[0,20)","DP",7,30.4347826086957
"042617Xim_G6_AQ","AQ","042617Xim_G6_AQ14","Control",105,"ICM",27,"wt","0","Single",0,"[0,20)","DP",12,44.4444444444444
"042617Xim_G6_AQ","AQ","042617Xim_G6_AQ15","Control",105,"ICM",22,"wt","0","Single",0,"[0,20)","DP",9,40.9090909090909
"042617Xim_G6_AQ","AQ","042617Xim_G6_AQ16","Control",101,"ICM",20,"wt","0","Single",0,"[0,20)","DP",9,45
"042617Xim_G6_AQ","AQ","042617Xim_G6_AQ2","Chimera",98,"ICM",23,"ko","CAG:H2B-GFP","Single",25,"[0,20)","DP",0,0
"042617Xim_G6_AQ","AQ","042617Xim_G6_AQ3","Chimera",90,"ICM",31,"ko","CAG:H2B-GFP","Single",25,"[0,20)","DP",0,0
"042617Xim_G6_AQ","AQ","042617Xim_G6_AQ4","Chimera",75,"ICM",29,"ko","CAG:H2B-GFP","Single",25,"[0,20)","DP",0,0
"042617Xim_G6_AQ","AQ","042617Xim_G6_AQ5","Chimera",91,"ICM",18,"het","CAG:H2B-GFP","Single",25,"[20,40)","DP",11,61.1111111111111
"042617Xim_G6_AQ","AQ","042617Xim_G6_AQ6","Chimera",99,"ICM",12,"ko","CAG:H2B-GFP","Single",25,"[80,100]","DP",0,0
"042617Xim_G6_AQ","AQ","042617Xim_G6_AQ7","Chimera",85,"ICM",9,"het","CAG:H2B-GFP","Single",25,"[40,60)","DP",3,33.3333333333333
"042617Xim_G6_AQ","AQ","042617Xim_G6_AQ8","Chimera",88,"ICM",14,"het","CAG:H2B-GFP","Single",25,"[20,40)","DP",2,14.2857142857143
"042617Xim_G6_AQ","AQ","042617Xim_G6_AQ9","Chimera",75,"ICM",19,"ko","CAG:H2B-GFP","Single",25,"[0,20)","DP",0,0
"042617Xim_G6_AR","AR","042617Xim_G6_AR1","Chimera",85,"ICM",33,"ko","CAG:H2B-GFP","Single",50,"[20,40)","DP",0,0
"042617Xim_G6_AR","AR","042617Xim_G6_AR10","Chimera",87,"ICM",21,"het","CAG:H2B-GFP","Single",50,"[20,40)","DP",4,19.047619047619
"042617Xim_G6_AR","AR","042617Xim_G6_AR11","Control",104,"ICM",24,"wt","0","Single",0,"[0,20)","DP",9,37.5
"042617Xim_G6_AR","AR","042617Xim_G6_AR12","Control",93,"ICM",18,"wt","0","Single",0,"[0,20)","DP",8,44.4444444444444
"042617Xim_G6_AR","AR","042617Xim_G6_AR13","Control",75,"ICM",15,"wt","0","Single",0,"[0,20)","DP",5,33.3333333333333
"042617Xim_G6_AR","AR","042617Xim_G6_AR14","Control",90,"ICM",16,"wt","0","Single",0,"[0,20)","DP",3,18.75
"042617Xim_G6_AR","AR","042617Xim_G6_AR15","Control",90,"ICM",19,"wt","0","Single",0,"[0,20)","DP",8,42.1052631578947
"042617Xim_G6_AR","AR","042617Xim_G6_AR16","Control",110,"ICM",21,"wt","0","Single",0,"[0,20)","DP",10,47.6190476190476
"042617Xim_G6_AR","AR","042617Xim_G6_AR2","Chimera",105,"ICM",19,"ko","CAG:H2B-GFP","Single",50,"[80,100]","DP",0,0
"042617Xim_G6_AR","AR","042617Xim_G6_AR3","Chimera",77,"ICM",15,"ko","CAG:H2B-GFP","Single",50,"[40,60)","DP",0,0
"042617Xim_G6_AR","AR","042617Xim_G6_AR4","Chimera",108,"ICM",14,"het","CAG:H2B-GFP","Single",50,"[40,60)","DP",0,0
"042617Xim_G6_AR","AR","042617Xim_G6_AR5","Chimera",148,"ICM",37,"ko","CAG:H2B-GFP","Single",50,"[40,60)","DP",0,0
