"Experiment","Litter","Embryo_ID","Treatment","Cellcount","TE_ICM","icm.count","H_genotype","D_genotype","Embryo_size","t0.donor","donor.end","Identity.hc","lin.count","pc.icm"
"011317Xim_WT_AD","AD","011317Xim_WT_AD9","Chimera",86,"ICM",19,"wt","CAG:H2B-GFP","Single",75,"[60,80)","PRE",11,57.8947368421053
"011517Xim_WT_AE","AE","011517Xim_WT_AE1","Chimera",89,"ICM",11,"wt","CAG:H2B-GFP","Single",50,"[20,40)","PRE",3,27.2727272727273
"011517Xim_WT_AE","AE","011517Xim_WT_AE10","Control",109,"ICM",24,"CAG:H2B-GFP","0","Single",0,"[0,20)","PRE",14,58.3333333333333
"011517Xim_WT_AE","AE","011517Xim_WT_AE3","Chimera",95,"ICM",15,"wt","CAG:H2B-GFP","Single",50,"[80,100]","PRE",6,40
"011517Xim_WT_AE","AE","011517Xim_WT_AE4","Chimera",67,"ICM",10,"wt","CAG:H2B-GFP","Single",50,"[20,40)","PRE",4,40
"011517Xim_WT_AE","AE","011517Xim_WT_AE5","Chimera",68,"ICM",13,"wt","CAG:H2B-GFP","Single",50,"[20,40)","PRE",6,46.1538461538462
"011517Xim_WT_AE","AE","011517Xim_WT_AE6","Control",110,"ICM",14,"CAG:H2B-GFP","0","Single",0,"[0,20)","PRE",5,35.7142857142857
"011517Xim_WT_AE","AE","011517Xim_WT_AE7","Control",114,"ICM",18,"CAG:H2B-GFP","0","Single",0,"[0,20)","PRE",8,44.4444444444444
"011517Xim_WT_AE","AE","011517Xim_WT_AE8","Control",98,"ICM",15,"CAG:H2B-GFP","0","Single",0,"[0,20)","PRE",2,13.3333333333333
"011517Xim_WT_AE","AE","011517Xim_WT_AE9","Control",106,"ICM",17,"CAG:H2B-GFP","0","Single",0,"[0,20)","PRE",9,52.9411764705882
"012017Xim_G6_AF","AF","012017Xim_G6_AF10","Chimera",78,"ICM",18,"ko","CAG:H2B-GFP","Single",50,"[40,60)","PRE",9,50
"012017Xim_G6_AF","AF","012017Xim_G6_AF11","Chimera",97,"ICM",24,"ko","CAG:H2B-GFP","Single",50,"[40,60)","PRE",10,41.6666666666667
"012017Xim_G6_AF","AF","012017Xim_G6_AF12","Chimera",103,"ICM",17,"het","CAG:H2B-GFP","Single",50,"[60,80)","PRE",16,94.1176470588235
"012017Xim_G6_AF","AF","012017Xim_G6_AF13","Chimera",87,"ICM",8,"het","CAG:H2B-GFP","Single",50,"[20,40)","PRE",4,50
"012017Xim_G6_AF","AF","012017Xim_G6_AF14","Control",96,"ICM",18,"wt","0","Single",0,"[0,20)","PRE",1,5.55555555555556
"012017Xim_G6_AF","AF","012017Xim_G6_AF15","Control",105,"ICM",37,"wt","0","Single",0,"[0,20)","PRE",2,5.40540540540541
"012017Xim_G6_AF","AF","012017Xim_G6_AF16","Control",67,"ICM",14,"wt","0","Single",0,"[0,20)","PRE",0,0
"012017Xim_G6_AF","AF","012017Xim_G6_AF17","Control",123,"ICM",17,"wt","0","Single",0,"[0,20)","PRE",0,0
"012017Xim_G6_AF","AF","012017Xim_G6_AF3","Chimera",65,"ICM",16,"het","CAG:H2B-GFP","Single",50,"[40,60)","PRE",6,37.5
"012017Xim_G6_AF","AF","012017Xim_G6_AF4","Chimera",99,"ICM",17,"het","CAG:H2B-GFP","Single",50,"[80,100]","PRE",9,52.9411764705882
"012017Xim_G6_AF","AF","012017Xim_G6_AF5","Chimera",74,"ICM",26,"het","CAG:H2B-GFP","Single",50,"[40,60)","PRE",12,46.1538461538462
"012017Xim_G6_AF","AF","012017Xim_G6_AF6","Chimera",79,"ICM",18,"ko","CAG:H2B-GFP","Single",50,"[40,60)","PRE",7,38.8888888888889
"012017Xim_G6_AF","AF","012017Xim_G6_AF7","Chimera",51,"ICM",13,"het","CAG:H2B-GFP","Single",50,"[20,40)","PRE",3,23.0769230769231
"012017Xim_G6_AF","AF","012017Xim_G6_AF8","Chimera",70,"ICM",16,"het","CAG:H2B-GFP","Single",50,"[0,20)","PRE",2,12.5
"012017Xim_G6_AF","AF","012017Xim_G6_AF9","Chimera",91,"ICM",13,"het","CAG:H2B-GFP","Single",50,"[60,80)","PRE",3,23.0769230769231
"020117Xim_WT_AH","AH","020117Xim_WT_AH1","Chimera",81,"ICM",21,"wt","CAG:H2B-GFP","Single",50,"[20,40)","PRE",11,52.3809523809524
"020117Xim_WT_AH","AH","020117Xim_WT_AH2","Chimera",47,"ICM",11,"wt","CAG:H2B-GFP","Single",50,"[80,100]","PRE",7,63.6363636363636
"020117Xim_WT_AH","AH","020117Xim_WT_AH3","Chimera",70,"ICM",17,"wt","CAG:H2B-GFP","Single",50,"[40,60)","PRE",12,70.5882352941177
"020117Xim_WT_AH","AH","020117Xim_WT_AH4","Chimera",108,"ICM",23,"wt","CAG:H2B-GFP","Single",50,"[60,80)","PRE",13,56.5217391304348
"020117Xim_WT_AH","AH","020117Xim_WT_AH5","Chimera",76,"ICM",13,"wt","CAG:H2B-GFP","Single",50,"[20,40)","PRE",6,46.1538461538462
"020117Xim_WT_AH","AH","020117Xim_WT_AH6","Chimera",47,"ICM",6,"wt","CAG:H2B-GFP","Single",50,"[80,100]","PRE",4,66.6666666666667
"020817Xim_WT_AI","AI","020817Xim_WT_AI1","Control",84,"ICM",8,"wt","0","Single",0,"[0,20)","PRE",6,75
"020817Xim_WT_AI","AI","020817Xim_WT_AI10","Chimera",61,"ICM",18,"wt","CAG:H2B-GFP","Single",25,"[0,20)","PRE",11,61.1111111111111
"020817Xim_WT_AI","AI","020817Xim_WT_AI11","Chimera",102,"ICM",10,"wt","CAG:H2B-GFP","Single",25,"[60,80)","PRE",8,80
"020817Xim_WT_AI","AI","020817Xim_WT_AI12","Chimera",75,"ICM",4,"wt","CAG:H2B-GFP","Single",25,"[60,80)","PRE",2,50
"020817Xim_WT_AI","AI","020817Xim_WT_AI13","Chimera",60,"ICM",11,"wt","CAG:H2B-GFP","Single",25,"[80,100]","PRE",3,27.2727272727273
"020817Xim_WT_AI","AI","020817Xim_WT_AI14","Chimera",96,"ICM",18,"wt","CAG:H2B-GFP","Single",25,"[0,20)","PRE",7,38.8888888888889
"020817Xim_WT_AI","AI","020817Xim_WT_AI15","Chimera",91,"ICM",15,"wt","CAG:H2B-GFP","Single",25,"[0,20)","PRE",7,46.6666666666667
"020817Xim_WT_AI","AI","020817Xim_WT_AI16","Chimera",93,"ICM",31,"wt","CAG:H2B-GFP","Single",25,"[0,20)","PRE",19,61.2903225806452
"020817Xim_WT_AI","AI","020817Xim_WT_AI17","Chimera",121,"ICM",20,"wt","CAG:H2B-GFP","Single",25,"[80,100]","PRE",10,50
"020817Xim_WT_AI","AI","020817Xim_WT_AI18","Chimera",85,"ICM",14,"wt","CAG:H2B-GFP","Single",25,"[60,80)","PRE",8,57.1428571428571
"020817Xim_WT_AI","AI","020817Xim_WT_AI19","Chimera",90,"ICM",19,"wt","CAG:H2B-GFP","Single",25,"[0,20)","PRE",7,36.8421052631579
"020817Xim_WT_AI","AI","020817Xim_WT_AI2","Control",107,"ICM",12,"wt","0","Single",0,"[0,20)","PRE",9,75
"020817Xim_WT_AI","AI","020817Xim_WT_AI20","Chimera",118,"ICM",15,"wt","CAG:H2B-GFP","Single",25,"[80,100]","PRE",7,46.6666666666667
"020817Xim_WT_AI","AI","020817Xim_WT_AI3","Control",114,"ICM",18,"wt","0","Single",0,"[0,20)","PRE",11,61.1111111111111
"020817Xim_WT_AI","AI","020817Xim_WT_AI4","Control",112,"ICM",20,"wt","0","Single",0,"[0,20)","PRE",15,75
"020817Xim_WT_AI","AI","020817Xim_WT_AI5","Control",96,"ICM",11,"wt","0","Single",0,"[0,20)","PRE",8,72.7272727272727
"020817Xim_WT_AI","AI","020817Xim_WT_AI6","Control",103,"ICM",18,"wt","0","Single",0,"[0,20)","PRE",14,77.7777777777778
"020817Xim_WT_AI","AI","020817Xim_WT_AI7","Control",105,"ICM",23,"wt","0","Single",0,"[0,20)","PRE",18,78.2608695652174
"020817Xim_WT_AI","AI","020817Xim_WT_AI8","Control",97,"ICM",23,"wt","0","Single",0,"[0,20)","PRE",16,69.5652173913043
"020817Xim_WT_AI","AI","020817Xim_WT_AI9","Chimera",78,"ICM",15,"wt","CAG:H2B-GFP","Single",25,"[60,80)","PRE",6,40
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ1","Control",89,"ICM",18,"wt","0","Single",0,"[0,20)","PRE",12,66.6666666666667
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ10","Chimera",99,"ICM",12,"wt","CAG:H2B-GFP","Single",25,"[0,20)","PRE",10,83.3333333333333
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ11","Chimera",81,"ICM",10,"wt","CAG:H2B-GFP","Single",25,"[0,20)","PRE",4,40
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ12","Chimera",86,"ICM",11,"wt","CAG:H2B-GFP","Single",25,"[0,20)","PRE",11,100
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ13","Chimera",91,"ICM",12,"wt","CAG:H2B-GFP","Single",25,"[40,60)","PRE",9,75
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ14","Chimera",112,"ICM",13,"wt","CAG:H2B-GFP","Single",25,"[20,40)","PRE",8,61.5384615384615
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ15","Chimera",78,"ICM",9,"wt","CAG:H2B-GFP","Single",25,"[40,60)","PRE",5,55.5555555555556
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ2","Control",89,"ICM",15,"wt","0","Single",0,"[0,20)","PRE",11,73.3333333333333
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ3","Control",102,"ICM",20,"wt","0","Single",0,"[0,20)","PRE",12,60
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ4","Chimera",59,"ICM",7,"wt","CAG:H2B-GFP","Single",25,"[80,100]","PRE",5,71.4285714285714
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ5","Chimera",102,"ICM",24,"wt","CAG:H2B-GFP","Single",25,"[40,60)","PRE",17,70.8333333333333
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ6","Chimera",58,"ICM",10,"wt","CAG:H2B-GFP","Single",25,"[0,20)","PRE",6,60
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ7","Chimera",94,"ICM",12,"wt","CAG:H2B-GFP","Single",25,"[20,40)","PRE",11,91.6666666666667
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ8","Chimera",106,"ICM",14,"wt","CAG:H2B-GFP","Single",25,"[60,80)","PRE",12,85.7142857142857
"020917Xim_WT_AJ","AJ","020917Xim_WT_AJ9","Chimera",90,"ICM",12,"wt","CAG:H2B-GFP","Single",25,"[0,20)","PRE",7,58.3333333333333
"022417Xim_WT_AK","AK","022417Xim_WT_AK1","Chimera",227,"ICM",32,"wt","CAG:H2B-GFP","Double",50,"[0,20)","PRE",25,78.125
"022417Xim_WT_AK","AK","022417Xim_WT_AK10","Control",86,"ICM",17,"ko","0","Single",0,"[0,20)","PRE",0,0
"022417Xim_WT_AK","AK","022417Xim_WT_AK2","Chimera",265,"ICM",45,"wt","CAG:H2B-GFP","Double",50,"[40,60)","PRE",23,51.1111111111111
"022417Xim_WT_AK","AK","022417Xim_WT_AK3","Chimera",270,"ICM",52,"wt","CAG:H2B-GFP","Double",50,"[20,40)","PRE",30,57.6923076923077
"022417Xim_WT_AK","AK","022417Xim_WT_AK4","Control",86,"ICM",29,"het","0","Single",0,"[0,20)","PRE",12,41.3793103448276
"022417Xim_WT_AK","AK","022417Xim_WT_AK5","Control",144,"ICM",32,"wt","0","Single",0,"[0,20)","PRE",17,53.125
"022417Xim_WT_AK","AK","022417Xim_WT_AK6","Control",134,"ICM",23,"wt","0","Single",0,"[0,20)","PRE",15,65.2173913043478
"022417Xim_WT_AK","AK","022417Xim_WT_AK7","Control",115,"ICM",15,"wt","0","Single",0,"[0,20)","PRE",11,73.3333333333333
"022417Xim_WT_AK","AK","022417Xim_WT_AK8","Control",112,"ICM",7,"het","0","Single",0,"[0,20)","PRE",2,28.5714285714286
"030117Xim_WT_AL","AL","030117Xim_WT_AL1","Chimera",114,"ICM",17,"wt","CAG:H2B-GFP","Single",75,"[60,80)","PRE",4,23.5294117647059
"030117Xim_WT_AL","AL","030117Xim_WT_AL2","Chimera",102,"ICM",24,"wt","CAG:H2B-GFP","Single",75,"[80,100]","PRE",9,37.5
"030117Xim_WT_AL","AL","030117Xim_WT_AL3","Chimera",83,"ICM",18,"wt","CAG:H2B-GFP","Single",75,"[80,100]","PRE",3,16.6666666666667
"030117Xim_WT_AL","AL","030117Xim_WT_AL4","Chimera",102,"ICM",15,"wt","CAG:H2B-GFP","Single",75,"[80,100]","PRE",4,26.6666666666667
"030117Xim_WT_AL","AL","030117Xim_WT_AL5","Chimera",115,"ICM",15,"wt","CAG:H2B-GFP","Single",75,"[80,100]","PRE",2,13.3333333333333
"030117Xim_WT_AL","AL","030117Xim_WT_AL6","Chimera",99,"ICM",20,"wt","CAG:H2B-GFP","Single",75,"[80,100]","PRE",8,40
"030117Xim_WT_AL","AL","030117Xim_WT_AL7","Chimera",98,"ICM",17,"wt","CAG:H2B-GFP","Single",75,"[60,80)","PRE",5,29.4117647058824
"030117Xim_WT_AL","AL","030117Xim_WT_AL8","Control",108,"ICM",21,"wt","0","Single",0,"[0,20)","PRE",9,42.8571428571429
"030217Xim_WT_AM","AM","030217Xim_WT_AM1","Chimera",168,"ICM",36,"wt","CAG:H2B-GFP","Double",50,"[40,60)","PRE",26,72.2222222222222
"030217Xim_WT_AM","AM","030217Xim_WT_AM2","Chimera",134,"ICM",26,"wt","CAG:H2B-GFP","Double",50,"[20,40)","PRE",16,61.5384615384615
"030217Xim_WT_AM","AM","030217Xim_WT_AM3","Chimera",171,"ICM",39,"wt","CAG:H2B-GFP","Double",50,"[40,60)","PRE",20,51.2820512820513
"030217Xim_WT_AM","AM","030217Xim_WT_AM4","Chimera",192,"ICM",44,"wt","CAG:H2B-GFP","Double",50,"[40,60)","PRE",25,56.8181818181818
"030217Xim_WT_AM","AM","030217Xim_WT_AM5","Chimera",181,"ICM",43,"wt","CAG:H2B-GFP","Double",50,"[40,60)","PRE",16,37.2093023255814
"030217Xim_WT_AM","AM","030217Xim_WT_AM6","Chimera",170,"ICM",31,"wt","CAG:H2B-GFP","Double",50,"[0,20)","PRE",25,80.6451612903226
"030217Xim_WT_AM","AM","030217Xim_WT_AM7","Control",81,"ICM",20,"wt","0","Single",0,"[0,20)","PRE",5,25
"031818Xim_WT_AN","AN","031818Xim_WT_AN1","Chimera",104,"ICM",20,"wt","CAG:H2B-GFP","Single",75,"[80,100]","PRE",2,10
"031818Xim_WT_AN","AN","031818Xim_WT_AN10","Chimera",99,"ICM",14,"wt","CAG:H2B-GFP","Single",75,"[60,80)","PRE",7,50
"031818Xim_WT_AN","AN","031818Xim_WT_AN11","Chimera",135,"ICM",17,"wt","CAG:H2B-GFP","Single",75,"[40,60)","PRE",9,52.9411764705882
