"Embryo_ID","esc.end","Experiment","Litter","Exp_date","Img_date","TE_ICM","Cellcount","Stage","Background","Treatment","Gene1","Genotype1","Gene2","Genotype2","ESC_line","ESC_genotype","ESC_t0","ES_culture","H_cells","D_cells","Culture_time","Stage.t0","Cre","icm.count","group.median","Identity.hc","count","pc.icm","host.icm"
"010919Xim_F4_DH3","2x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",161,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",38,140,"PRE",13,34.2105263157895,24
"010919Xim_F4_DH3","2x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",161,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",38,140,"EPI",11,28.9473684210526,24
"010919Xim_F4_DH3","2x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",161,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",38,140,"ESC",14,36.8421052631579,24
"010919Xim_F4_DH3","2x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",161,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",38,140,"EPI.lo",0,0,24
"010919Xim_F4_DH3","2x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",161,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",38,140,"DP",0,0,24
"010919Xim_F4_DH3","2x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"TE",161,">150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",38,140,"TE",123,323.684210526316,24
"010919Xim_F4_DH4","1x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"TE",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",33,140,"TE",107,324.242424242424,25
"010919Xim_F4_DH4","1x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",33,140,"ESC",8,24.2424242424242,25
"010919Xim_F4_DH4","1x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",33,140,"DP",1,3.03030303030303,25
"010919Xim_F4_DH4","1x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",33,140,"PRE",4,12.1212121212121,25
"010919Xim_F4_DH4","1x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",33,140,"EPI",20,60.6060606060606,25
"010919Xim_F4_DH4","1x","010919Xim_F4_DH.Chimera","DH",20190109,20190118,"ICM",140,"120_150","CD1/mixed","Chimera","Fgf4","ko","any","wt","CAG:H2B-GFP","wt","2","2i/LIF","8",2,"56h","8cell","Gdf9:iCre",33,140,"EPI.lo",0,0,25
