"Embryo_ID","Experiment","Litter","Stage.t0","timepoint","Gene1","Genotype1","Gene2","Genotype2","Gene3","Genotype3","dataset","icm.count","Cellcount","Identity","count"
"102218Abl_DX9","102218Abl_DX.Littermate.Pdgfra.wt","DX","[50,70)","t0","Pdgfra","wt","R26","mKate/mKate","Fgf4","wt","fixed",25,60,"PRE",17
"110817Abl_BY3","110817Abl_BY.Littermate.Pdgfra.wt","BY","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",18,86,"PRE",12
"110817Abl_BY4","110817Abl_BY.Littermate.Pdgfra.wt","BY","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",34,93,"PRE",16
"110817Abl_BY5","110817Abl_BY.Littermate.Pdgfra.wt","BY","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",31,119,"PRE",13
"110817Abl_BY6","110817Abl_BY.Littermate.Pdgfra.wt","BY","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",37,98,"PRE",21
"111318Abl_DZ5","111318Abl_DZ.Littermate.Pdgfra.wt","DZ","[70,90)","t0","Pdgfra","wt","R26","mKate/mKate","Fgf4","wt","fixed",24,81,"PRE",10
"111318Abl_DZ6","111318Abl_DZ.Littermate.Pdgfra.wt","DZ","[70,90)","t0","Pdgfra","wt","R26","mKate/mKate","Fgf4","wt","fixed",27,67,"PRE",7
"112018Abl_EA10","112018Abl_EA.Littermate.Pdgfra.wt","EA","[70,90)","t0","Pdgfra","wt","R26","mKate/mKate","Fgf4","wt","fixed",21,68,"PRE",12
"112018Abl_EA11","112018Abl_EA.Littermate.Pdgfra.wt","EA","[70,90)","t0","Pdgfra","wt","R26","mKate/mKate","Fgf4","wt","fixed",33,80,"PRE",17
"112018Abl_EA9","112018Abl_EA.Littermate.Pdgfra.wt","EA","[70,90)","t0","Pdgfra","wt","R26","mKate/mKate","Fgf4","wt","fixed",28,67,"PRE",13
"121018Abl_EB7","121018Abl_EB.Littermate.Pdgfra.wt","EB","[70,90)","t0","Pdgfra","wt","R26","mKate/mKate","Fgf4","wt","fixed",26,86,"PRE",14
"121018Abl_EB8","121018Abl_EB.Littermate.Pdgfra.wt","EB","[70,90)","t0","Pdgfra","wt","R26","mKate/mKate","Fgf4","wt","fixed",20,68,"PRE",12
"121018Abl_EC6","121018Abl_EC.Littermate.Pdgfra.wt","EC","[50,70)","t0","Pdgfra","wt","R26","mKate/mKate","Fgf4","wt","fixed",25,65,"PRE",8
"121917Abl_CD5","121917Abl_CD.Littermate.Pdgfra.wt","CD","[110,130)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",47,115,"PRE",26
"121917Abl_CD6","121917Abl_CD.Littermate.Pdgfra.wt","CD","[110,130)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",39,118,"PRE",23
"121917Abl_CE10","121917Abl_CE.Littermate.Pdgfra.wt","CE","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",35,103,"PRE",15
"121917Abl_CE7","121917Abl_CE.Littermate.Pdgfra.wt","CE","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",38,106,"PRE",20
"121917Abl_CE8","121917Abl_CE.Littermate.Pdgfra.wt","CE","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",40,104,"PRE",26
"121917Abl_CE9","121917Abl_CE.Littermate.Pdgfra.wt","CE","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",33,101,"PRE",19
"012318Abl_CJ6","012318Abl_CJ.Littermate.Pdgfra.wt","CJ","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",25,63,"DP",6
"012318Abl_CJ7","012318Abl_CJ.Littermate.Pdgfra.wt","CJ","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",28,73,"DP",6
"013018Abl_CK10","013018Abl_CK.Littermate.Pdgfra.wt","CK","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",25,75,"DP",8
"013018Abl_CK11","013018Abl_CK.Littermate.Pdgfra.wt","CK","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",29,84,"DP",1
"013018Abl_CK12","013018Abl_CK.Littermate.Pdgfra.wt","CK","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",19,67,"DP",0
"013018Abl_CK9","013018Abl_CK.Littermate.Pdgfra.wt","CK","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",24,75,"DP",2
"013118Abl_CL10","013118Abl_CLb.Littermate.Pdgfra.wt","CL","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",27,63,"DP",27
"013118Abl_CL11","013118Abl_CLb.Littermate.Pdgfra.wt","CL","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",22,64,"DP",20
"013118Abl_CL12","013118Abl_CLb.Littermate.Pdgfra.wt","CL","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",31,62,"DP",28
"013118Abl_CL13","013118Abl_CLb.Littermate.Pdgfra.wt","CL","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",28,64,"DP",25
"013118Abl_CL14","013118Abl_CLb.Littermate.Pdgfra.wt","CL","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",31,64,"DP",8
"013118Abl_CL6","013118Abl_CLa.Littermate.Pdgfra.wt","CL","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",22,62,"DP",12
"013118Abl_CL7","013118Abl_CLa.Littermate.Pdgfra.wt","CL","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",25,62,"DP",19
"013118Abl_CL8","013118Abl_CLa.Littermate.Pdgfra.wt","CL","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",33,64,"DP",3
"013118Abl_CL9","013118Abl_CLa.Littermate.Pdgfra.wt","CL","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",24,71,"DP",6
"013118Abl_CM10","013118Abl_CMb.Littermate.Pdgfra.wt","CM","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",25,63,"DP",4
"013118Abl_CM11","013118Abl_CMb.Littermate.Pdgfra.wt","CM","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",26,94,"DP",10
"013118Abl_CM5","013118Abl_CMa.Littermate.Pdgfra.wt","CM","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",28,75,"DP",2
"013118Abl_CM6","013118Abl_CMa.Littermate.Pdgfra.wt","CM","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",26,80,"DP",13
"013118Abl_CM7","013118Abl_CMa.Littermate.Pdgfra.wt","CM","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",24,62,"DP",16
"013118Abl_CM8","013118Abl_CMa.Littermate.Pdgfra.wt","CM","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",26,68,"DP",7
"013118Abl_CM9","013118Abl_CMb.Littermate.Pdgfra.wt","CM","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",27,65,"DP",10
"013118Abl_CN3","013118Abl_CNa.Littermate.Pdgfra.wt","CN","[110,130)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",33,107,"DP",3
"013118Abl_CN6","013118Abl_CNb.Littermate.Pdgfra.wt","CN","[110,130)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",34,114,"DP",3
"013118Abl_CN7","013118Abl_CNb.Littermate.Pdgfra.wt","CN","[110,130)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",31,110,"DP",11
"020618Abl_CQ10","020618Abl_CQ.Littermate.Pdgfra.wt","CQ","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",35,99,"DP",12
"020618Abl_CQ11","020618Abl_CQ.Littermate.Pdgfra.wt","CQ","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",33,88,"DP",5
"020618Abl_CQ12","020618Abl_CQ.Littermate.Pdgfra.wt","CQ","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",37,109,"DP",15
"020618Abl_CQ8","020618Abl_CQ.Littermate.Pdgfra.wt","CQ","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",29,94,"DP",14
"020618Abl_CQ9","020618Abl_CQ.Littermate.Pdgfra.wt","CQ","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",35,105,"DP",8
"040317Abl_Q12","040317Abl_Q.Littermate.Pdgfra.wt","Q","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",17,71,"DP",4
"040317Abl_Q13","040317Abl_Q.Littermate.Pdgfra.wt","Q","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",18,48,"DP",1
"040317Abl_Q14","040317Abl_Q.Littermate.Pdgfra.wt","Q","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",28,63,"DP",13
"040317Abl_R10","040317Abl_R.Littermate.Pdgfra.wt","R","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",18,44,"DP",11
"040317Abl_R11","040317Abl_R.Littermate.Pdgfra.wt","R","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",27,65,"DP",17
"040317Abl_R9","040317Abl_R.Littermate.Pdgfra.wt","R","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",28,64,"DP",19
"040317Abl_S6","040317Abl_S.Littermate.Pdgfra.wt","S","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",31,64,"DP",19
"040317Abl_S7","040317Abl_S.Littermate.Pdgfra.wt","S","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",18,62,"DP",16
"040317Abl_S8","040317Abl_S.Littermate.Pdgfra.wt","S","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",17,57,"DP",6
"040317Abl_S9","040317Abl_S.Littermate.Pdgfra.wt","S","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",14,45,"DP",5
"040317Abl_T3","040317Abl_T.Littermate.Pdgfra.wt","T","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",27,77,"DP",16
"040317Abl_T4","040317Abl_T.Littermate.Pdgfra.wt","T","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",21,78,"DP",6
"040317Abl_T5","040317Abl_T.Littermate.Pdgfra.wt","T","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",30,74,"DP",15
"040517Abl_U10","040517Abl_U.Littermate.Pdgfra.wt","U","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,65,"DP",14
"040517Abl_U11","040517Abl_U.Littermate.Pdgfra.wt","U","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",20,71,"DP",1
"040517Abl_U8","040517Abl_U.Littermate.Pdgfra.wt","U","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",19,82,"DP",6
"040517Abl_U9","040517Abl_U.Littermate.Pdgfra.wt","U","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",29,78,"DP",6
"040517Abl_V10","040517Abl_V.Littermate.Pdgfra.wt","V","[30,50)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",17,31,"DP",15
"040517Abl_V11","040517Abl_V.Littermate.Pdgfra.wt","V","[30,50)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",11,31,"DP",9
"040517Abl_V12","040517Abl_V.Littermate.Pdgfra.wt","V","[30,50)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",14,32,"DP",14
"040517Abl_V13","040517Abl_V.Littermate.Pdgfra.wt","V","[30,50)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",13,32,"DP",10
"040517Abl_V9","040517Abl_V.Littermate.Pdgfra.wt","V","[30,50)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",14,31,"DP",13
"041117Abl_W10","041117Abl_W.Littermate.Pdgfra.wt","W","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",29,69,"DP",3
"041117Abl_W11","041117Abl_W.Littermate.Pdgfra.wt","W","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",25,64,"DP",1
"062317Abl_AO10","062317Abl_AO.Littermate.Pdgfra.wt","AO","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",21,63,"DP",12
"062317Abl_AO7","062317Abl_AO.Littermate.Pdgfra.wt","AO","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",19,64,"DP",16
"062317Abl_AO8","062317Abl_AO.Littermate.Pdgfra.wt","AO","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,71,"DP",10
"062317Abl_AO9","062317Abl_AO.Littermate.Pdgfra.wt","AO","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",24,69,"DP",8
"062317Abl_AP10","062317Abl_AP.Littermate.Pdgfra.wt","AP","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,59,"DP",19
"062317Abl_AP11","062317Abl_AP.Littermate.Pdgfra.wt","AP","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",22,60,"DP",19
"062317Abl_AP12","062317Abl_AP.Littermate.Pdgfra.wt","AP","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",18,45,"DP",15
"062317Abl_AP9","062317Abl_AP.Littermate.Pdgfra.wt","AP","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",30,64,"DP",18
"062817Abl_AQ8","062817Abl_AQ.Littermate.Pdgfra.wt","AQ","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",26,92,"DP",1
"062817Abl_AQ9","062817Abl_AQ.Littermate.Pdgfra.wt","AQ","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",19,58,"DP",18
"062817Abl_AR7","062817Abl_AR.Littermate.Pdgfra.wt","AR","[30,50)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,60,"DP",14
"062817Abl_AR8","062817Abl_AR.Littermate.Pdgfra.wt","AR","[30,50)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",14,34,"DP",14
"062817Abl_AR9","062817Abl_AR.Littermate.Pdgfra.wt","AR","[30,50)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",10,38,"DP",10
"062817Abl_AS6","062817Abl_AS.Littermate.Pdgfra.wt","AS","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",25,75,"DP",9
"062817Abl_AS7","062817Abl_AS.Littermate.Pdgfra.wt","AS","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",21,80,"DP",3
"062817Abl_AS8","062817Abl_AS.Littermate.Pdgfra.wt","AS","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",34,92,"DP",2
"071217Abl_AV10","071217Abl_AV.Littermate.Pdgfra.wt","AV","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",22,66,"DP",13
"071217Abl_AV11","071217Abl_AV.Littermate.Pdgfra.wt","AV","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",19,65,"DP",9
"071217Abl_AV7","071217Abl_AV.Littermate.Pdgfra.wt","AV","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,86,"DP",2
"071217Abl_AV8","071217Abl_AV.Littermate.Pdgfra.wt","AV","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",21,61,"DP",14
"071217Abl_AV9","071217Abl_AV.Littermate.Pdgfra.wt","AV","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,65,"DP",9
"072318Abl_DP5","072318Abl_DP.Littermate.Pdgfra.wt","DP","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",37,98,"DP",0
"072318Abl_DP6","072318Abl_DP.Littermate.Pdgfra.wt","DP","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",36,89,"DP",0
"072318Abl_DQ6","072318Abl_DQ.Littermate.Pdgfra.wt","DQ","[110,130)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",30,87,"DP",0
"072318Abl_DQ7","072318Abl_DQ.Littermate.Pdgfra.wt","DQ","[110,130)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",41,111,"DP",0
"072517Abl_AW10","072517Abl_AW.Littermate.Pdgfra.wt","AW","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",33,97,"DP",9
"072517Abl_AW11","072517Abl_AW.Littermate.Pdgfra.wt","AW","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",19,76,"DP",6
"072517Abl_AW9","072517Abl_AW.Littermate.Pdgfra.wt","AW","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,88,"DP",4
"072517Abl_AX10","072517Abl_AX.Littermate.Pdgfra.wt","AX","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,68,"DP",13
"072517Abl_AX11","072517Abl_AX.Littermate.Pdgfra.wt","AX","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",27,64,"DP",11
"072517Abl_AX12","072517Abl_AX.Littermate.Pdgfra.wt","AX","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",26,86,"DP",1
"072517Abl_AX8","072517Abl_AX.Littermate.Pdgfra.wt","AX","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",21,80,"DP",3
"072517Abl_AX9","072517Abl_AX.Littermate.Pdgfra.wt","AX","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",18,68,"DP",1
"072518Abl_DR10","072518Abl_DR.Littermate.Pdgfra.wt","DR","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",26,71,"DP",0
"072518Abl_DR11","072518Abl_DR.Littermate.Pdgfra.wt","DR","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",31,91,"DP",0
"072518Abl_DR8","072518Abl_DR.Littermate.Pdgfra.wt","DR","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",35,94,"DP",1
"072518Abl_DR9","072518Abl_DR.Littermate.Pdgfra.wt","DR","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",27,91,"DP",2
"072518Abl_DS4","072518Abl_DS.Littermate.Pdgfra.wt","DS","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",29,88,"DP",0
"072518Abl_DS5","072518Abl_DS.Littermate.Pdgfra.wt","DS","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",30,99,"DP",2
"072518Abl_DS6","072518Abl_DS.Littermate.Pdgfra.wt","DS","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",28,94,"DP",0
"072817Abl_AY4","072817Abl_AY.Littermate.Pdgfra.wt","AY","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",30,107,"DP",0
"072817Abl_AY5","072817Abl_AY.Littermate.Pdgfra.wt","AY","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",19,74,"DP",8
"072817Abl_AY6","072817Abl_AY.Littermate.Pdgfra.wt","AY","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",17,85,"DP",4
"072817Abl_AY7","072817Abl_AY.Littermate.Pdgfra.wt","AY","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",24,86,"DP",2
"072817Abl_AZ7","072817Abl_AZ.Littermate.Pdgfra.wt","AZ","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",25,79,"DP",14
"072817Abl_AZ8","072817Abl_AZ.Littermate.Pdgfra.wt","AZ","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",25,69,"DP",9
"072817Abl_AZ9","072817Abl_AZ.Littermate.Pdgfra.wt","AZ","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,78,"DP",13
"080117Abl_BA10","080117Abl_BA.Littermate.Pdgfra.wt","BA","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",28,68,"DP",25
"080117Abl_BA6","080117Abl_BA.Littermate.Pdgfra.wt","BA","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",25,63,"DP",19
"080117Abl_BA7","080117Abl_BA.Littermate.Pdgfra.wt","BA","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,71,"DP",9
"080117Abl_BA8","080117Abl_BA.Littermate.Pdgfra.wt","BA","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",25,71,"DP",15
"080117Abl_BA9","080117Abl_BA.Littermate.Pdgfra.wt","BA","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",20,62,"DP",20
"080117Abl_BB8","080117Abl_BB.Littermate.Pdgfra.wt","BB","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",25,64,"DP",5
"080117Abl_BC13","080117Abl_BC.Littermate.Pdgfra.wt","BC","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",34,106,"DP",3
"080117Abl_BC14","080117Abl_BC.Littermate.Pdgfra.wt","BC","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",22,78,"DP",3
"080117Abl_BC15","080117Abl_BC.Littermate.Pdgfra.wt","BC","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",15,37,"DP",13
"080117Abl_BC16","080117Abl_BC.Littermate.Pdgfra.wt","BC","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",26,92,"DP",0
"080117Abl_BD10","080117Abl_BD.Littermate.Pdgfra.wt","BD","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",16,54,"DP",14
"080117Abl_BD7","080117Abl_BD.Littermate.Pdgfra.wt","BD","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",20,54,"DP",13
"080117Abl_BD8","080117Abl_BD.Littermate.Pdgfra.wt","BD","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",26,64,"DP",19
"080117Abl_BD9","080117Abl_BD.Littermate.Pdgfra.wt","BD","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",30,62,"DP",23
"081417Abl_BH6","081417Abl_BH.Littermate.Pdgfra.wt","BH","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",20,52,"DP",11
"081417Abl_BH7","081417Abl_BH.Littermate.Pdgfra.wt","BH","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,70,"DP",20
"081517Abl_BK11","081517Abl_BK.Littermate.Pdgfra.wt","BK","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",36,99,"DP",1
"081517Abl_BK12","081517Abl_BK.Littermate.Pdgfra.wt","BK","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",29,61,"DP",23
"081517Abl_BK13","081517Abl_BK.Littermate.Pdgfra.wt","BK","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",27,64,"DP",27
"081517Abl_BK14","081517Abl_BK.Littermate.Pdgfra.wt","BK","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",28,62,"DP",22
"082219Abl_FG1","082219Abl_FG.Littermate.Pdgfra.wt","FG","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",16,31,"DP",16
"082219Abl_FG10","082219Abl_FG.Littermate.Pdgfra.het","FG","[30,50)","t0","Pdgfra","het","R26","mKate/+","Fgf4","wt","fixed",12,32,"DP",11
"082219Abl_FG2","082219Abl_FG.Littermate.Pdgfra.wt","FG","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",32,63,"DP",28
"082219Abl_FG3","082219Abl_FG.Littermate.Pdgfra.het","FG","[30,50)","t0","Pdgfra","het","R26","mKate/+","Fgf4","wt","fixed",12,30,"DP",12
"082219Abl_FG4","082219Abl_FG.Littermate.Pdgfra.het","FG","[30,50)","t0","Pdgfra","het","R26","mKate/+","Fgf4","wt","fixed",18,50,"DP",17
"082219Abl_FG5","082219Abl_FG.Littermate.Pdgfra.wt","FG","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",4,19,"DP",1
"082219Abl_FG6","082219Abl_FG.Littermate.Pdgfra.het","FG","[30,50)","t0","Pdgfra","het","R26","mKate/+","Fgf4","wt","fixed",2,14,"DP",2
"082219Abl_FG7","082219Abl_FG.Littermate.Pdgfra.wt","FG","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",11,32,"DP",11
"082219Abl_FG8","082219Abl_FG.Littermate.Pdgfra.wt","FG","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",16,38,"DP",16
"082219Abl_FG9","082219Abl_FG.Littermate.Pdgfra.wt","FG","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",13,41,"DP",12
"082819Abl_FI1","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",11,33,"DP",11
"082819Abl_FI2","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",15,38,"DP",15
"082819Abl_FI3","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",16,32,"DP",15
"082819Abl_FI4","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",14,30,"DP",14
"082819Abl_FI5","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",16,34,"DP",16
"082819Abl_FI6","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",11,26,"DP",11
"082819Abl_FI7","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",15,35,"DP",15
"082819Abl_FI8","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",11,31,"DP",11
"082819Abl_FI9","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",15,43,"DP",13
"082819Abl_FJ1","082819Abl_FJ.Littermate.Pdgfra.wt","FJ","[50,70)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",17,44,"DP",16
