"Embryo_ID","Experiment","Litter","Stage.t0","timepoint","Gene1","Genotype1","Gene2","Genotype2","Gene3","Genotype3","dataset","icm.count","Cellcount","Identity","count"
"062317Abl_AO10","062317Abl_AO.Littermate.Pdgfra.wt","AO","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",21,63,"PRE",6
"062317Abl_AO7","062317Abl_AO.Littermate.Pdgfra.wt","AO","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",19,64,"PRE",3
"062317Abl_AO8","062317Abl_AO.Littermate.Pdgfra.wt","AO","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,71,"PRE",8
"062317Abl_AO9","062317Abl_AO.Littermate.Pdgfra.wt","AO","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",24,69,"PRE",12
"062317Abl_AP10","062317Abl_AP.Littermate.Pdgfra.wt","AP","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,59,"PRE",4
"062317Abl_AP11","062317Abl_AP.Littermate.Pdgfra.wt","AP","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",22,60,"PRE",3
"062317Abl_AP12","062317Abl_AP.Littermate.Pdgfra.wt","AP","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",18,45,"PRE",2
"062317Abl_AP9","062317Abl_AP.Littermate.Pdgfra.wt","AP","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",30,64,"PRE",12
"062817Abl_AQ8","062817Abl_AQ.Littermate.Pdgfra.wt","AQ","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",26,92,"PRE",16
"062817Abl_AQ9","062817Abl_AQ.Littermate.Pdgfra.wt","AQ","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",19,58,"PRE",1
"062817Abl_AR7","062817Abl_AR.Littermate.Pdgfra.wt","AR","[30,50)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,60,"PRE",6
"062817Abl_AR8","062817Abl_AR.Littermate.Pdgfra.wt","AR","[30,50)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",14,34,"PRE",0
"062817Abl_AR9","062817Abl_AR.Littermate.Pdgfra.wt","AR","[30,50)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",10,38,"PRE",0
"062817Abl_AS6","062817Abl_AS.Littermate.Pdgfra.wt","AS","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",25,75,"PRE",9
"062817Abl_AS7","062817Abl_AS.Littermate.Pdgfra.wt","AS","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",21,80,"PRE",12
"062817Abl_AS8","062817Abl_AS.Littermate.Pdgfra.wt","AS","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",34,92,"PRE",19
"071217Abl_AV10","071217Abl_AV.Littermate.Pdgfra.wt","AV","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",22,66,"PRE",7
"071217Abl_AV11","071217Abl_AV.Littermate.Pdgfra.wt","AV","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",19,65,"PRE",3
"071217Abl_AV7","071217Abl_AV.Littermate.Pdgfra.wt","AV","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,86,"PRE",14
"071217Abl_AV8","071217Abl_AV.Littermate.Pdgfra.wt","AV","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",21,61,"PRE",7
"071217Abl_AV9","071217Abl_AV.Littermate.Pdgfra.wt","AV","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,65,"PRE",10
"072318Abl_DP5","072318Abl_DP.Littermate.Pdgfra.wt","DP","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",37,98,"PRE",20
"072318Abl_DP6","072318Abl_DP.Littermate.Pdgfra.wt","DP","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",36,89,"PRE",20
"072318Abl_DQ6","072318Abl_DQ.Littermate.Pdgfra.wt","DQ","[110,130)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",30,87,"PRE",19
"072318Abl_DQ7","072318Abl_DQ.Littermate.Pdgfra.wt","DQ","[110,130)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",41,111,"PRE",23
"072517Abl_AW10","072517Abl_AW.Littermate.Pdgfra.wt","AW","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",33,97,"PRE",15
"072517Abl_AW11","072517Abl_AW.Littermate.Pdgfra.wt","AW","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",19,76,"PRE",7
"072517Abl_AW9","072517Abl_AW.Littermate.Pdgfra.wt","AW","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,88,"PRE",11
"072517Abl_AX10","072517Abl_AX.Littermate.Pdgfra.wt","AX","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,68,"PRE",7
"072517Abl_AX11","072517Abl_AX.Littermate.Pdgfra.wt","AX","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",27,64,"PRE",10
"072517Abl_AX12","072517Abl_AX.Littermate.Pdgfra.wt","AX","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",26,86,"PRE",14
"072517Abl_AX8","072517Abl_AX.Littermate.Pdgfra.wt","AX","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",21,80,"PRE",8
"072517Abl_AX9","072517Abl_AX.Littermate.Pdgfra.wt","AX","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",18,68,"PRE",10
"072518Abl_DR10","072518Abl_DR.Littermate.Pdgfra.wt","DR","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",26,71,"PRE",15
"072518Abl_DR11","072518Abl_DR.Littermate.Pdgfra.wt","DR","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",31,91,"PRE",17
"072518Abl_DR8","072518Abl_DR.Littermate.Pdgfra.wt","DR","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",35,94,"PRE",23
"072518Abl_DR9","072518Abl_DR.Littermate.Pdgfra.wt","DR","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",27,91,"PRE",14
"072518Abl_DS4","072518Abl_DS.Littermate.Pdgfra.wt","DS","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",29,88,"PRE",14
"072518Abl_DS5","072518Abl_DS.Littermate.Pdgfra.wt","DS","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",30,99,"PRE",16
"072518Abl_DS6","072518Abl_DS.Littermate.Pdgfra.wt","DS","[90,110)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",28,94,"PRE",16
"072817Abl_AY4","072817Abl_AY.Littermate.Pdgfra.wt","AY","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",30,107,"PRE",14
"072817Abl_AY5","072817Abl_AY.Littermate.Pdgfra.wt","AY","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",19,74,"PRE",9
"072817Abl_AY6","072817Abl_AY.Littermate.Pdgfra.wt","AY","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",17,85,"PRE",10
"072817Abl_AY7","072817Abl_AY.Littermate.Pdgfra.wt","AY","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",24,86,"PRE",13
"072817Abl_AZ7","072817Abl_AZ.Littermate.Pdgfra.wt","AZ","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",25,79,"PRE",8
"072817Abl_AZ8","072817Abl_AZ.Littermate.Pdgfra.wt","AZ","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",25,69,"PRE",9
"072817Abl_AZ9","072817Abl_AZ.Littermate.Pdgfra.wt","AZ","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,78,"PRE",6
"080117Abl_BA10","080117Abl_BA.Littermate.Pdgfra.wt","BA","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",28,68,"PRE",3
"080117Abl_BA6","080117Abl_BA.Littermate.Pdgfra.wt","BA","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",25,63,"PRE",6
"080117Abl_BA7","080117Abl_BA.Littermate.Pdgfra.wt","BA","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,71,"PRE",12
"080117Abl_BA8","080117Abl_BA.Littermate.Pdgfra.wt","BA","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",25,71,"PRE",8
"080117Abl_BA9","080117Abl_BA.Littermate.Pdgfra.wt","BA","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",20,62,"PRE",0
"080117Abl_BB8","080117Abl_BB.Littermate.Pdgfra.wt","BB","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",25,64,"PRE",15
"080117Abl_BC13","080117Abl_BC.Littermate.Pdgfra.wt","BC","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",34,106,"PRE",19
"080117Abl_BC14","080117Abl_BC.Littermate.Pdgfra.wt","BC","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",22,78,"PRE",13
"080117Abl_BC15","080117Abl_BC.Littermate.Pdgfra.wt","BC","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",15,37,"PRE",1
"080117Abl_BC16","080117Abl_BC.Littermate.Pdgfra.wt","BC","[90,110)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",26,92,"PRE",13
"080117Abl_BD10","080117Abl_BD.Littermate.Pdgfra.wt","BD","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",16,54,"PRE",1
"080117Abl_BD7","080117Abl_BD.Littermate.Pdgfra.wt","BD","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",20,54,"PRE",3
"080117Abl_BD8","080117Abl_BD.Littermate.Pdgfra.wt","BD","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",26,64,"PRE",6
"080117Abl_BD9","080117Abl_BD.Littermate.Pdgfra.wt","BD","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",30,62,"PRE",5
"081417Abl_BH6","081417Abl_BH.Littermate.Pdgfra.wt","BH","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",20,52,"PRE",7
"081417Abl_BH7","081417Abl_BH.Littermate.Pdgfra.wt","BH","[70,90)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",23,70,"PRE",3
"081517Abl_BK11","081517Abl_BK.Littermate.Pdgfra.wt","BK","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",36,99,"PRE",23
"081517Abl_BK12","081517Abl_BK.Littermate.Pdgfra.wt","BK","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",29,61,"PRE",6
"081517Abl_BK13","081517Abl_BK.Littermate.Pdgfra.wt","BK","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",27,64,"PRE",0
"081517Abl_BK14","081517Abl_BK.Littermate.Pdgfra.wt","BK","[50,70)","t0","Pdgfra","wt","R26","wt","Fgf4","wt","fixed",28,62,"PRE",5
"082219Abl_FG1","082219Abl_FG.Littermate.Pdgfra.wt","FG","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",16,31,"PRE",0
"082219Abl_FG10","082219Abl_FG.Littermate.Pdgfra.het","FG","[30,50)","t0","Pdgfra","het","R26","mKate/+","Fgf4","wt","fixed",12,32,"PRE",0
"082219Abl_FG2","082219Abl_FG.Littermate.Pdgfra.wt","FG","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",32,63,"PRE",2
"082219Abl_FG3","082219Abl_FG.Littermate.Pdgfra.het","FG","[30,50)","t0","Pdgfra","het","R26","mKate/+","Fgf4","wt","fixed",12,30,"PRE",0
"082219Abl_FG4","082219Abl_FG.Littermate.Pdgfra.het","FG","[30,50)","t0","Pdgfra","het","R26","mKate/+","Fgf4","wt","fixed",18,50,"PRE",1
"082219Abl_FG5","082219Abl_FG.Littermate.Pdgfra.wt","FG","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",4,19,"PRE",3
"082219Abl_FG6","082219Abl_FG.Littermate.Pdgfra.het","FG","[30,50)","t0","Pdgfra","het","R26","mKate/+","Fgf4","wt","fixed",2,14,"PRE",0
"082219Abl_FG7","082219Abl_FG.Littermate.Pdgfra.wt","FG","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",11,32,"PRE",0
"082219Abl_FG8","082219Abl_FG.Littermate.Pdgfra.wt","FG","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",16,38,"PRE",0
"082219Abl_FG9","082219Abl_FG.Littermate.Pdgfra.wt","FG","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",13,41,"PRE",0
"082819Abl_FI1","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",11,33,"PRE",0
"082819Abl_FI2","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",15,38,"PRE",0
"082819Abl_FI3","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",16,32,"PRE",1
"082819Abl_FI4","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",14,30,"PRE",0
"082819Abl_FI5","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",16,34,"PRE",0
"082819Abl_FI6","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",11,26,"PRE",0
"082819Abl_FI7","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",15,35,"PRE",0
"082819Abl_FI8","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",11,31,"PRE",0
"082819Abl_FI9","082819Abl_FI.Littermate.Pdgfra.wt","FI","[30,50)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",15,43,"PRE",2
"082819Abl_FJ1","082819Abl_FJ.Littermate.Pdgfra.wt","FJ","[50,70)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",17,44,"PRE",1
"082819Abl_FJ10","082819Abl_FJ.Littermate.Pdgfra.wt","FJ","[50,70)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",22,52,"PRE",0
"082819Abl_FJ11","082819Abl_FJ.Littermate.Pdgfra.wt","FJ","[50,70)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",29,61,"PRE",8
"082819Abl_FJ2","082819Abl_FJ.Littermate.Pdgfra.wt","FJ","[50,70)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",23,49,"PRE",5
"082819Abl_FJ3","082819Abl_FJ.Littermate.Pdgfra.wt","FJ","[50,70)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",26,59,"PRE",2
"082819Abl_FJ4","082819Abl_FJ.Littermate.Pdgfra.wt","FJ","[50,70)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",15,42,"PRE",1
"082819Abl_FJ5","082819Abl_FJ.Littermate.Pdgfra.wt","FJ","[50,70)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",12,32,"PRE",0
"082819Abl_FJ6","082819Abl_FJ.Littermate.Pdgfra.wt","FJ","[50,70)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",13,48,"PRE",0
"082819Abl_FJ7","082819Abl_FJ.Littermate.Pdgfra.wt","FJ","[50,70)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",28,63,"PRE",1
"082819Abl_FJ8","082819Abl_FJ.Littermate.Pdgfra.wt","FJ","[50,70)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",24,60,"PRE",2
"082819Abl_FJ9","082819Abl_FJ.Littermate.Pdgfra.wt","FJ","[50,70)","t0","Pdgfra","wt","R26","mKate/+","Fgf4","wt","fixed",17,47,"PRE",4
"102218Abl_DV8","102218Abl_DV.Littermate.Pdgfra.wt","DV","[70,90)","t0","Pdgfra","wt","R26","mKate/mKate","Fgf4","wt","fixed",27,77,"PRE",7
"102218Abl_DV9","102218Abl_DV.Littermate.Pdgfra.wt","DV","[70,90)","t0","Pdgfra","wt","R26","mKate/mKate","Fgf4","wt","fixed",22,77,"PRE",9
"102218Abl_DW5","102218Abl_DW.Littermate.Pdgfra.wt","DW","[90,110)","t0","Pdgfra","wt","R26","mKate/mKate","Fgf4","wt","fixed",30,91,"PRE",9
"102218Abl_DW6","102218Abl_DW.Littermate.Pdgfra.wt","DW","[90,110)","t0","Pdgfra","wt","R26","mKate/mKate","Fgf4","wt","fixed",30,92,"PRE",15
"102218Abl_DX10","102218Abl_DX.Littermate.Pdgfra.wt","DX","[50,70)","t0","Pdgfra","wt","R26","mKate/mKate","Fgf4","wt","fixed",22,64,"PRE",17
"102218Abl_DX7","102218Abl_DX.Littermate.Pdgfra.wt","DX","[50,70)","t0","Pdgfra","wt","R26","mKate/mKate","Fgf4","wt","fixed",17,49,"PRE",5
