"Experiment","Litter","Embryo_ID","Exp_date","Img_date","Cellcount","TE_ICM","Treatment","target","Recovery","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","group.median","litter.median.t0","Cell_diff","Stage.t0","Cellcount_t0","Identity.hc","count","Gene3","Genotype3","target_t0","pc.icm"
"010719Abl_EH.Ablated.Pdgfra.het","EH","010719Abl_EH5",20190107,20190110,112,"ICM","Ablated","PRE","24h","CD1/mixed","Pdgfra","het","R26","mKate/+",27,105,79,"kill_0.75","[70,90)",88,"PRE",7,NA,NA,NA,25.9259259259259
"010719Abl_EH.Ablated.Pdgfra.het","EH","010719Abl_EH6",20190107,20190110,90,"ICM","Ablated","PRE","24h","CD1/mixed","Pdgfra","het","R26","mKate/+",16,105,79,"kill_0.75","[70,90)",65,"PRE",12,NA,NA,NA,75
"010719Abl_EH.Control.Pdgfra.het","EH","010719Abl_EH7",20190107,20190110,122,"ICM","Control","none","24h","CD1/mixed","Pdgfra","het","R26","mKate/+",30,122,79,"zero","[70,90)",75,"PRE",20,NA,NA,NA,66.6666666666667
"010719Abl_EH.Control.Pdgfra.het","EH","010719Abl_EH8",20190107,20190110,109,"ICM","Control","none","24h","CD1/mixed","Pdgfra","het","R26","mKate/+",25,122,79,"zero","[70,90)",79,"PRE",9,NA,NA,NA,36
"012119Abl_EI.Ablated.Pdgfra.het","EI","012119Abl_EI2",20190121,20190124,60,"ICM","Ablated","EPI","24h","CD1/mixed","Pdgfra","het","R26","mKate/mKate",14,93,80,"kill_0.5","[70,90)",49,"PRE",8,NA,NA,NA,57.1428571428571
"012119Abl_EI.Ablated.Pdgfra.het","EI","012119Abl_EI3",20190121,20190124,106,"ICM","Ablated","EPI","24h","CD1/mixed","Pdgfra","het","R26","mKate/mKate",27,93,80,"kill_all","[70,90)",95,"PRE",20,NA,NA,NA,74.0740740740741
"012119Abl_EI.Ablated.Pdgfra.het","EI","012119Abl_EI4",20190121,20190124,85,"ICM","Ablated","EPI","24h","CD1/mixed","Pdgfra","het","R26","mKate/mKate",15,93,80,"kill_0.75","[70,90)",80,"PRE",14,NA,NA,NA,93.3333333333333
"012119Abl_EI.Ablated.Pdgfra.het","EI","012119Abl_EI5",20190121,20190124,93,"ICM","Ablated","EPI","24h","CD1/mixed","Pdgfra","het","R26","mKate/mKate",18,93,80,"kill_0.5","[70,90)",110,"PRE",13,NA,NA,NA,72.2222222222222
"012119Abl_EI.Random.Pdgfra.wt","EI","012119Abl_EI7",20190121,20190124,103,"ICM","Random","EPI","24h","CD1/mixed","Pdgfra","wt","R26","mKate/mKate",27,103,80,"kill_all","[70,90)",64,"PRE",14,NA,NA,NA,51.8518518518518
"012119Abl_EI.Random.Pdgfra.wt","EI","012119Abl_EI8",20190121,20190124,70,"ICM","Random","EPI","24h","CD1/mixed","Pdgfra","wt","R26","mKate/mKate",16,103,80,"kill_all","[70,90)",56,"PRE",13,NA,NA,NA,81.25
"012119Abl_EI.Random.Pdgfra.wt","EI","012119Abl_EI9",20190121,20190124,111,"ICM","Random","EPI","24h","CD1/mixed","Pdgfra","wt","R26","mKate/mKate",24,103,80,"kill_all","[70,90)",86,"PRE",18,NA,NA,NA,75
"012219Abl_EJ.Ablated.Pdgfra.het","EJ","012219Abl_EJ1",20190122,20190124,81,"ICM","Ablated","PRE","24h","CD1/mixed","Pdgfra","het","R26","mKate/mKate",12,100,65,"kill_all","[50,70)",64,"PRE",5,NA,NA,NA,41.6666666666667
"012219Abl_EJ.Ablated.Pdgfra.het","EJ","012219Abl_EJ2",20190122,20190124,100,"ICM","Ablated","PRE","24h","CD1/mixed","Pdgfra","het","R26","mKate/mKate",14,100,65,"kill_all","[50,70)",70,"PRE",4,NA,NA,NA,28.5714285714286
"012219Abl_EJ.Random.Pdgfra.wt","EJ","012219Abl_EJ3",20190122,20190124,111,"ICM","Random","PRE","24h","CD1/mixed","Pdgfra","wt","R26","mKate/mKate",21,99,65,"kill_all","[50,70)",73,"PRE",14,NA,NA,NA,66.6666666666667
"012219Abl_EJ.Random.Pdgfra.wt","EJ","012219Abl_EJ4",20190122,20190124,99,"ICM","Random","PRE","24h","CD1/mixed","Pdgfra","wt","R26","mKate/mKate",20,99,65,"kill_all","[50,70)",65,"PRE",13,NA,NA,NA,65
"012219Abl_EJ.Random.Pdgfra.wt","EJ","012219Abl_EJ5",20190122,20190124,96,"ICM","Random","PRE","24h","CD1/mixed","Pdgfra","wt","R26","mKate/mKate",18,99,65,"kill_all","[50,70)",55,"PRE",10,NA,NA,NA,55.5555555555556
"012318Abl_CJ.Control.Pdgfra.het","CJ","012318Abl_CJ4",20180123,20180130,88,"ICM","Control","none","24h","CD1/mixed","Pdgfra","het","R26","wt",31,88,73,"zero","[70,90)",0,"PRE",0,NA,NA,NA,0
